victim_qasm,victim_total_ops,victim_cross_module_ops,victim_cross_fraction,P100_avg_wait,P100_max_wait,P100_waited_frac,P100_makespan,P100_completed,P20_avg_wait,P20_max_wait,P20_waited_frac,P20_makespan,P20_completed,P50_avg_wait,P50_max_wait,P50_waited_frac,P50_makespan,P50_completed
qaoa_nativegates_ibm_qiskit_opt3_10.qasm,195,29,0.14871794871794872,907.7586206896551,1950.0,0.896551724137931,3985.0,29,75.0,225.0,0.5,1455.0,6,390.0,900.0,0.8,2445.0,15
qaoa_nativegates_ibm_qiskit_opt3_11.qasm,215,37,0.17209302325581396,1206.081081081081,2550.0,0.918918918918919,4965.0,37,140.625,375.0,0.625,1775.0,8,536.8421052631579,1200.0,0.8421052631578947,2985.0,19
qaoa_nativegates_ibm_qiskit_opt3_12.qasm,235,25,0.10638297872340426,759.0,1650.0,0.88,3745.0,25,45.0,150.0,0.4,1545.0,5,317.3076923076923,750.0,0.7692307692307693,2425.0,13
qaoa_nativegates_ibm_qiskit_opt3_13.qasm,253,37,0.14624505928853754,1201.4864864864865,2545.0,0.918918918918919,5150.0,37,137.5,370.0,0.625,1960.0,8,532.6315789473684,1195.0,0.8421052631578947,3170.0,19
qaoa_nativegates_ibm_qiskit_opt3_14.qasm,271,37,0.13653136531365315,1137.162162162162,2475.0,0.8918918918918919,5170.0,37,93.75,300.0,0.5,1980.0,8,473.6842105263158,1125.0,0.7894736842105263,3190.0,19
qaoa_nativegates_ibm_qiskit_opt3_15.qasm,291,41,0.140893470790378,1285.9756097560976,2775.0,0.9024390243902439,5710.0,41,125.0,375.0,0.5555555555555556,2190.0,9,546.4285714285714,1275.0,0.8095238095238095,3510.0,21
qaoa_nativegates_ibm_qiskit_opt3_5.qasm,99,17,0.1717171717171717,529.4117647058823,1125.0,0.8823529411764706,2260.0,17,56.25,150.0,0.5,830.0,4,233.33333333333334,525.0,0.7777777777777778,1380.0,9
qaoa_nativegates_ibm_qiskit_opt3_6.qasm,117,25,0.21367521367521367,828.0,1725.0,0.92,3230.0,25,90.0,225.0,0.6,1030.0,5,380.7692307692308,825.0,0.8461538461538461,1910.0,13
qaoa_nativegates_ibm_qiskit_opt3_7.qasm,137,25,0.18248175182481752,828.0,1725.0,0.92,3330.0,25,90.0,225.0,0.6,1130.0,5,380.7692307692308,825.0,0.8461538461538461,2010.0,13
qaoa_nativegates_ibm_qiskit_opt3_8.qasm,155,25,0.16129032258064516,828.0,1725.0,0.92,3420.0,25,90.0,225.0,0.6,1220.0,5,380.7692307692308,825.0,0.8461538461538461,2100.0,13
qaoa_nativegates_ibm_qiskit_opt3_9.qasm,173,33,0.1907514450867052,1103.7878787878788,2300.0,0.9393939393939394,4365.0,33,142.85714285714286,350.0,0.7142857142857143,1505.0,7,507.3529411764706,1100.0,0.8823529411764706,2605.0,17
