victim_qasm,victim_total_ops,victim_cross_module_ops,victim_cross_fraction,completed_stage_count,P100_avg_wait,P100_max_wait,P100_waited_frac,P100_makespan,P100_completed,P20_avg_wait,P20_max_wait,P20_waited_frac,P20_makespan,P20_completed,P50_avg_wait,P50_max_wait,P50_waited_frac,P50_makespan,P50_completed
qaoa_nativegates_ibm_qiskit_opt3_10.qasm,195,37,0.18974358974358974,69,1090.8536585365853,2550.0,0.8536585365853658,9970.0,41,102.08333333333333,375.0,0.5,6780.0,12,447.82608695652175,1200.0,0.7391304347826086,7990.0,23
qaoa_nativegates_ibm_qiskit_opt3_11.qasm,215,45,0.20930232558139536,75,1506.888888888889,3150.0,0.9555555555555556,11820.0,45,184.44444444444446,450.0,0.7777777777777778,7860.0,9,688.4782608695652,1500.0,0.9130434782608695,9400.0,23
qaoa_nativegates_ibm_qiskit_opt3_12.qasm,235,45,0.19148936170212766,77,1384.1836734693877,3150.0,0.8775510204081632,11895.0,49,128.84615384615384,450.0,0.5384615384615384,7935.0,13,587.0370370370371,1500.0,0.7777777777777778,9475.0,27
qaoa_nativegates_ibm_qiskit_opt3_13.qasm,253,45,0.17786561264822134,84,1435.0,3075.0,0.9111111111111111,12245.0,45,125.0,375.0,0.5555555555555556,8285.0,9,619.5652173913044,1425.0,0.8260869565217391,9825.0,23
qaoa_nativegates_ibm_qiskit_opt3_14.qasm,271,49,0.18081180811808117,92,1464.622641509434,3375.0,0.8490566037735849,13305.0,53,112.5,450.0,0.42857142857142855,9015.0,14,597.4137931034483,1575.0,0.7241379310344828,10665.0,29
qaoa_nativegates_ibm_qiskit_opt3_15.qasm,291,53,0.18213058419243985,95,1613.5964912280701,3675.0,0.8771929824561403,14275.0,57,146.66666666666666,525.0,0.5333333333333333,9655.0,15,670.9677419354839,1725.0,0.7741935483870968,11415.0,31
qaoa_nativegates_ibm_qiskit_opt3_5.qasm,99,21,0.21212121212121213,42,574.0,1425.0,0.8,5365.0,25,61.111111111111114,225.0,0.4444444444444444,3605.0,9,231.66666666666666,675.0,0.6666666666666666,4265.0,15
qaoa_nativegates_ibm_qiskit_opt3_6.qasm,117,25,0.21367521367521367,44,831.6,1725.0,0.96,6405.0,25,108.0,225.0,0.8,4205.0,5,387.6923076923077,825.0,0.9230769230769231,5085.0,13
qaoa_nativegates_ibm_qiskit_opt3_7.qasm,137,25,0.18248175182481752,49,828.0,1725.0,0.92,6640.0,25,90.0,225.0,0.6,4440.0,5,380.7692307692308,825.0,0.8461538461538461,5320.0,13
qaoa_nativegates_ibm_qiskit_opt3_8.qasm,155,33,0.2129032258064516,55,1130.4545454545455,2325.0,0.9696969696969697,8550.0,33,175.71428571428572,375.0,0.8571428571428571,5690.0,7,535.5882352941177,1125.0,0.9411764705882353,6790.0,17
qaoa_nativegates_ibm_qiskit_opt3_9.qasm,173,37,0.2138728323699422,66,1206.081081081081,2550.0,0.918918918918919,9920.0,37,140.625,375.0,0.625,6730.0,8,536.8421052631579,1200.0,0.8421052631578947,7940.0,19
