victim_qasm,schedule_name,probe,attack_window,fraction_of_victim_cross_ops,total_rounds,victim_total_ops,victim_cross_module_ops,victim_cross_fraction,workload_type,attacker_completed_requests,attacker_avg_waiting_time_ns,attacker_avg_turnaround_time_ns,attacker_max_waiting_time_ns,attacker_num_waited_requests,attacker_job_makespan_ns,attacker_total_events,attacker_waited_fraction,hub_makespan_ns
qaoa_nativegates_ibm_qiskit_opt3_10.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,29,195,29,0.14871794871794872,static_distributed,29,907.7586206896551,1017.7586206896551,1950.0,26,3985.0,203,0.896551724137931,4045
qaoa_nativegates_ibm_qiskit_opt3_10.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,6,195,29,0.14871794871794872,static_distributed,6,75.0,185.0,225.0,3,1455.0,42,0.5,3340
qaoa_nativegates_ibm_qiskit_opt3_10.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,15,195,29,0.14871794871794872,static_distributed,15,390.0,500.0,900.0,12,2445.0,105,0.8,3340
qaoa_nativegates_ibm_qiskit_opt3_11.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,37,215,37,0.17209302325581396,static_distributed,37,1206.081081081081,1316.081081081081,2550.0,34,4965.0,259,0.918918918918919,5025
qaoa_nativegates_ibm_qiskit_opt3_11.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,8,215,37,0.17209302325581396,static_distributed,8,140.625,250.625,375.0,5,1775.0,56,0.625,4190
qaoa_nativegates_ibm_qiskit_opt3_11.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,19,215,37,0.17209302325581396,static_distributed,19,536.8421052631579,646.8421052631579,1200.0,16,2985.0,133,0.8421052631578947,4190
qaoa_nativegates_ibm_qiskit_opt3_12.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,25,235,25,0.10638297872340426,static_distributed,25,759.0,869.0,1650.0,22,3745.0,175,0.88,3805
qaoa_nativegates_ibm_qiskit_opt3_12.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,5,235,25,0.10638297872340426,static_distributed,5,45.0,155.0,150.0,2,1545.0,35,0.4,2855
qaoa_nativegates_ibm_qiskit_opt3_12.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,13,235,25,0.10638297872340426,static_distributed,13,317.3076923076923,427.3076923076923,750.0,10,2425.0,91,0.7692307692307693,2855
qaoa_nativegates_ibm_qiskit_opt3_13.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,37,253,37,0.14624505928853754,static_distributed,37,1201.4864864864865,1311.4864864864865,2545.0,34,5150.0,259,0.918918918918919,5210
