victim_qasm,victim_total_ops,victim_cross_module_ops,victim_cross_fraction,avg_wait,avg_turn,max_wait,num_waited,waited_frac,completed,makespan,hub_makespan
qaoa_nativegates_ibm_qiskit_opt3_10.qasm,195,29,0.14871794871794872,276.6666666666667,386.6666666666667,610.0,4,0.6666666666666666,6,1840.0,3340
qaoa_nativegates_ibm_qiskit_opt3_11.qasm,215,37,0.17209302325581396,1512.5,1622.5,2840.0,7,0.875,8,4240.0,4300
qaoa_nativegates_ibm_qiskit_opt3_12.qasm,235,25,0.10638297872340426,727.0,837.0,1620.0,3,0.6,5,3015.0,3075
qaoa_nativegates_ibm_qiskit_opt3_13.qasm,253,37,0.14624505928853754,137.5,247.5,370.0,5,0.625,8,1960.0,4190
qaoa_nativegates_ibm_qiskit_opt3_14.qasm,271,37,0.13653136531365315,1582.5,1692.5,2890.0,6,0.75,8,4570.0,4630
qaoa_nativegates_ibm_qiskit_opt3_15.qasm,291,41,0.140893470790378,1378.3333333333333,1488.3333333333333,3085.0,6,0.6666666666666666,9,4900.0,4960
qaoa_nativegates_ibm_qiskit_opt3_5.qasm,99,17,0.1717171717171717,56.25,166.25,150.0,2,0.5,4,830.0,1945
qaoa_nativegates_ibm_qiskit_opt3_6.qasm,117,25,0.21367521367521367,1038.0,1148.0,2050.0,4,0.8,5,2855.0,2915
qaoa_nativegates_ibm_qiskit_opt3_7.qasm,137,25,0.18248175182481752,90.0,200.0,225.0,3,0.6,5,1130.0,2840
qaoa_nativegates_ibm_qiskit_opt3_8.qasm,155,25,0.16129032258064516,1024.0,1134.0,1895.0,4,0.8,5,2890.0,2950
qaoa_nativegates_ibm_qiskit_opt3_9.qasm,173,33,0.1907514450867052,1891.4285714285713,2001.4285714285713,2835.0,6,0.8571428571428571,7,3990.0,4050
