victim_qasm,schedule_name,probe,fixed_rate_name,fixed_rate_density,timescale,duration_name,fraction_of_victim_cross_ops,total_rounds,victim_total_ops,victim_cross_module_ops,victim_cross_fraction,workload_type,placement_case,attacker_completed_requests,attacker_avg_waiting_time_ns,attacker_avg_turnaround_time_ns,attacker_max_waiting_time_ns,attacker_num_waited_requests,attacker_job_makespan_ns,attacker_total_events,attacker_waited_fraction,hub_makespan_ns
qaoa_nativegates_ibm_qiskit_opt3_10.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,6,195,29,0.14871794871794872,static_overlap_p2,P2_one_module_overlap,6,276.6666666666667,386.6666666666667,610.0,4,1840.0,42,0.6666666666666666,3340
qaoa_nativegates_ibm_qiskit_opt3_11.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,8,215,37,0.17209302325581396,static_overlap_p2,P2_one_module_overlap,8,1512.5,1622.5,2840.0,7,4240.0,56,0.875,4300
qaoa_nativegates_ibm_qiskit_opt3_12.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,5,235,25,0.10638297872340426,static_overlap_p2,P2_one_module_overlap,5,727.0,837.0,1620.0,3,3015.0,35,0.6,3075
qaoa_nativegates_ibm_qiskit_opt3_13.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,8,253,37,0.14624505928853754,static_overlap_p2,P2_one_module_overlap,8,137.5,247.5,370.0,5,1960.0,56,0.625,4190
qaoa_nativegates_ibm_qiskit_opt3_14.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,8,271,37,0.13653136531365315,static_overlap_p2,P2_one_module_overlap,8,1582.5,1692.5,2890.0,6,4570.0,56,0.75,4630
qaoa_nativegates_ibm_qiskit_opt3_15.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,9,291,41,0.140893470790378,static_overlap_p2,P2_one_module_overlap,9,1378.3333333333333,1488.3333333333333,3085.0,6,4900.0,63,0.6666666666666666,4960
qaoa_nativegates_ibm_qiskit_opt3_5.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,4,99,17,0.1717171717171717,static_overlap_p2,P2_one_module_overlap,4,56.25,166.25,150.0,2,830.0,28,0.5,1945
qaoa_nativegates_ibm_qiskit_opt3_6.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,5,117,25,0.21367521367521367,static_overlap_p2,P2_one_module_overlap,5,1038.0,1148.0,2050.0,4,2855.0,35,0.8,2915
qaoa_nativegates_ibm_qiskit_opt3_7.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,5,137,25,0.18248175182481752,static_overlap_p2,P2_one_module_overlap,5,90.0,200.0,225.0,3,1130.0,35,0.6,2840
qaoa_nativegates_ibm_qiskit_opt3_8.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,5,155,25,0.16129032258064516,static_overlap_p2,P2_one_module_overlap,5,1024.0,1134.0,1895.0,4,2890.0,35,0.8,2950
qaoa_nativegates_ibm_qiskit_opt3_9.qasm,A5_like_light,Probe3,R1_dense,1.0,short,P20,0.2,7,173,33,0.1907514450867052,static_overlap_p2,P2_one_module_overlap,7,1891.4285714285713,2001.4285714285713,2835.0,6,3990.0,49,0.8571428571428571,4050
