victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
0,6,cx,"0,6",module_0,module_1,30,30,140,0,110,110
1,7,cx,"1,8",module_0,module_1,35,140,250,105,215,110
2,8,cx,"2,10",module_0,module_1,40,250,360,210,320,110
3,9,cx,"3,6",module_0,module_1,45,360,470,315,425,110
4,10,cx,"3,7",module_0,module_1,50,470,580,420,530,110
5,11,cx,"4,8",module_0,module_1,55,580,690,525,635,110
6,12,cx,"4,9",module_0,module_1,60,690,800,630,740,110
7,13,cx,"5,10",module_0,module_1,65,800,910,735,845,110
8,14,cx,"5,11",module_0,module_1,70,910,1020,840,950,110
9,25,ccx,"7,6,13",module_1,module_2,125,1020,1130,895,1005,110
10,26,ccx,"13,8,14",module_1,module_2,130,1130,1240,1000,1110,110
11,27,ccx,"14,9,15",module_1,module_2,135,1240,1350,1105,1215,110
12,28,ccx,"15,10,16",module_1,module_2,140,1350,1460,1210,1320,110
13,29,ccx,"16,11,17",module_1,module_2,145,1460,1570,1315,1425,110
14,31,ccx,"16,11,17",module_1,module_2,155,1570,1680,1415,1525,110
15,32,ccx,"15,10,16",module_1,module_2,160,1680,1790,1520,1630,110
16,33,ccx,"14,9,15",module_1,module_2,165,1790,1900,1625,1735,110
17,34,ccx,"13,8,14",module_1,module_2,170,1900,2010,1730,1840,110
18,35,ccx,"7,6,13",module_1,module_2,175,2010,2120,1835,1945,110
19,41,cx,"0,6",module_0,module_1,205,2120,2230,1915,2025,110
20,42,cx,"1,8",module_0,module_1,210,2230,2340,2020,2130,110
21,43,cx,"2,10",module_0,module_1,215,2340,2450,2125,2235,110
22,44,cx,"3,6",module_0,module_1,220,2450,2560,2230,2340,110
23,45,cx,"3,7",module_0,module_1,225,2560,2670,2335,2445,110
24,46,cx,"4,8",module_0,module_1,230,2670,2780,2440,2550,110
25,47,cx,"4,9",module_0,module_1,235,2780,2890,2545,2655,110
26,48,cx,"5,10",module_0,module_1,240,2890,3000,2650,2760,110
27,49,cx,"5,11",module_0,module_1,245,3000,3110,2755,2865,110
28,67,ccx,"1,0,13",module_0,module_2,335,3110,3220,2775,2885,110
29,68,ccx,"13,2,14",module_0,module_2,340,3220,3330,2880,2990,110
30,69,ccx,"14,3,15",module_0,module_2,345,3330,3440,2985,3095,110
31,70,ccx,"15,4,16",module_0,module_2,350,3440,3550,3090,3200,110
