victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
0,82,cx,"6,0",module_0,module_1,1410,1410,1520,0,110,110
1,84,cx,"6,0",module_0,module_1,1420,1520,1630,100,210,110
2,87,cx,"6,1",module_0,module_1,1435,1630,1740,195,305,110
3,89,cx,"6,1",module_0,module_1,1445,1740,1850,295,405,110
4,92,cx,"6,2",module_0,module_1,1460,1960,2070,500,610,110
5,94,cx,"6,2",module_0,module_1,1470,2070,2180,600,710,110
6,97,cx,"6,3",module_0,module_1,1485,2180,2290,695,805,110
7,99,cx,"6,3",module_0,module_1,1495,2290,2400,795,905,110
8,102,cx,"6,4",module_0,module_1,1510,2400,2510,890,1000,110
9,104,cx,"6,4",module_0,module_1,1520,2510,2620,990,1100,110
10,107,cx,"6,5",module_0,module_1,1535,2620,2730,1085,1195,110
11,109,cx,"6,5",module_0,module_1,1545,2730,2840,1185,1295,110
12,113,cx,"7,0",module_0,module_1,1565,2840,2950,1275,1385,110
13,115,cx,"7,0",module_0,module_1,1575,2950,3060,1375,1485,110
14,118,cx,"7,1",module_0,module_1,1590,3060,3170,1470,1580,110
15,120,cx,"7,1",module_0,module_1,1600,3170,3280,1570,1680,110
16,123,cx,"7,2",module_0,module_1,1615,3280,3390,1665,1775,110
17,125,cx,"7,2",module_0,module_1,1625,3390,3500,1765,1875,110
18,128,cx,"7,3",module_0,module_1,1640,3500,3610,1860,1970,110
19,130,cx,"7,3",module_0,module_1,1650,3610,3720,1960,2070,110
20,133,cx,"7,4",module_0,module_1,1665,3720,3830,2055,2165,110
21,135,cx,"7,4",module_0,module_1,1675,3830,3940,2155,2265,110
22,138,cx,"7,5",module_0,module_1,1690,3940,4050,2250,2360,110
23,140,cx,"7,5",module_0,module_1,1700,4050,4160,2350,2460,110
24,149,cx,"8,0",module_0,module_1,1745,4160,4270,2415,2525,110
25,151,cx,"8,0",module_0,module_1,1755,4270,4380,2515,2625,110
26,154,cx,"8,1",module_0,module_1,1770,4380,4490,2610,2720,110
27,156,cx,"8,1",module_0,module_1,1780,4490,4600,2710,2820,110
28,159,cx,"8,2",module_0,module_1,1795,4600,4710,2805,2915,110
29,161,cx,"8,2",module_0,module_1,1805,4710,4820,2905,3015,110
30,164,cx,"8,3",module_0,module_1,1820,4820,4930,3000,3110,110
31,166,cx,"8,3",module_0,module_1,1830,4930,5040,3100,3210,110
32,169,cx,"8,4",module_0,module_1,1845,5040,5150,3195,3305,110
33,171,cx,"8,4",module_0,module_1,1855,5150,5260,3295,3405,110
34,174,cx,"8,5",module_0,module_1,1870,5260,5370,3390,3500,110
35,176,cx,"8,5",module_0,module_1,1880,5480,5590,3600,3710,110
36,190,cx,"9,0",module_0,module_1,1950,5590,5700,3640,3750,110
37,192,cx,"9,0",module_0,module_1,1960,5700,5810,3740,3850,110
38,195,cx,"9,1",module_0,module_1,1975,5810,5920,3835,3945,110
39,197,cx,"9,1",module_0,module_1,1985,5920,6030,3935,4045,110
40,200,cx,"9,2",module_0,module_1,2000,6030,6140,4030,4140,110
41,202,cx,"9,2",module_0,module_1,2010,6140,6250,4130,4240,110
42,205,cx,"9,3",module_0,module_1,2025,6250,6360,4225,4335,110
43,207,cx,"9,3",module_0,module_1,2035,6360,6470,4325,4435,110
44,210,cx,"9,4",module_0,module_1,2050,6470,6580,4420,4530,110
45,212,cx,"9,4",module_0,module_1,2060,6580,6690,4520,4630,110
46,215,cx,"9,5",module_0,module_1,2075,6690,6800,4615,4725,110
47,217,cx,"9,5",module_0,module_1,2085,6800,6910,4715,4825,110
48,236,cx,"10,0",module_0,module_1,2180,6910,7020,4730,4840,110
49,238,cx,"10,0",module_0,module_1,2190,7020,7130,4830,4940,110
50,241,cx,"10,1",module_0,module_1,2205,7130,7240,4925,5035,110
51,243,cx,"10,1",module_0,module_1,2215,7240,7350,5025,5135,110
52,246,cx,"10,2",module_0,module_1,2230,7350,7460,5120,5230,110
53,248,cx,"10,2",module_0,module_1,2240,7460,7570,5220,5330,110
54,251,cx,"10,3",module_0,module_1,2255,7570,7680,5315,5425,110
55,253,cx,"10,3",module_0,module_1,2265,7680,7790,5415,5525,110
56,256,cx,"10,4",module_0,module_1,2280,7790,7900,5510,5620,110
57,258,cx,"10,4",module_0,module_1,2290,7900,8010,5610,5720,110
58,261,cx,"10,5",module_0,module_1,2305,8120,8230,5815,5925,110
59,263,cx,"10,5",module_0,module_1,2315,8230,8340,5915,6025,110
60,287,cx,"11,0",module_0,module_1,2435,8340,8450,5905,6015,110
61,289,cx,"11,0",module_0,module_1,2445,8450,8560,6005,6115,110
62,292,cx,"11,1",module_0,module_1,2460,8560,8670,6100,6210,110
63,294,cx,"11,1",module_0,module_1,2470,8670,8780,6200,6310,110
64,297,cx,"11,2",module_0,module_1,2485,8780,8890,6295,6405,110
65,299,cx,"11,2",module_0,module_1,2495,8890,9000,6395,6505,110
66,302,cx,"11,3",module_0,module_1,2510,9000,9110,6490,6600,110
67,304,cx,"11,3",module_0,module_1,2520,9110,9220,6590,6700,110
68,307,cx,"11,4",module_0,module_1,2535,9220,9330,6685,6795,110
69,309,cx,"11,4",module_0,module_1,2545,9330,9440,6785,6895,110
70,312,cx,"11,5",module_0,module_1,2560,9440,9550,6880,6990,110
71,314,cx,"11,5",module_0,module_1,2570,9550,9660,6980,7090,110
72,343,cx,"12,0",module_0,module_2,2715,9770,9880,7055,7165,110
73,345,cx,"12,0",module_0,module_2,2725,9880,9990,7155,7265,110
74,348,cx,"12,1",module_0,module_2,2740,9990,10100,7250,7360,110
75,350,cx,"12,1",module_0,module_2,2750,10100,10210,7350,7460,110
76,353,cx,"12,2",module_0,module_2,2765,10210,10320,7445,7555,110
77,355,cx,"12,2",module_0,module_2,2775,10320,10430,7545,7655,110
78,358,cx,"12,3",module_0,module_2,2790,10430,10540,7640,7750,110
79,360,cx,"12,3",module_0,module_2,2800,10540,10650,7740,7850,110
80,363,cx,"12,4",module_0,module_2,2815,10650,10760,7835,7945,110
81,365,cx,"12,4",module_0,module_2,2825,10760,10870,7935,8045,110
82,368,cx,"12,5",module_0,module_2,2840,10870,10980,8030,8140,110
83,370,cx,"12,5",module_0,module_2,2850,10980,11090,8130,8240,110
84,373,cx,"12,6",module_1,module_2,2865,11090,11200,8225,8335,110
85,375,cx,"12,6",module_1,module_2,2875,11200,11310,8325,8435,110
86,378,cx,"12,7",module_1,module_2,2890,11310,11420,8420,8530,110
87,380,cx,"12,7",module_1,module_2,2900,11420,11530,8520,8630,110
88,383,cx,"12,8",module_1,module_2,2915,11530,11640,8615,8725,110
89,385,cx,"12,8",module_1,module_2,2925,11640,11750,8715,8825,110
90,388,cx,"12,9",module_1,module_2,2940,11750,11860,8810,8920,110
91,390,cx,"12,9",module_1,module_2,2950,11860,11970,8910,9020,110
92,393,cx,"12,10",module_1,module_2,2965,11970,12080,9005,9115,110
93,395,cx,"12,10",module_1,module_2,2975,12080,12190,9105,9215,110
94,398,cx,"12,11",module_1,module_2,2990,12190,12300,9200,9310,110
95,400,cx,"12,11",module_1,module_2,3000,12300,12410,9300,9410,110
96,404,cx,"13,0",module_0,module_2,3020,12410,12520,9390,9500,110
97,406,cx,"13,0",module_0,module_2,3030,12520,12630,9490,9600,110
98,409,cx,"13,1",module_0,module_2,3045,12630,12740,9585,9695,110
99,411,cx,"13,1",module_0,module_2,3055,12740,12850,9685,9795,110
100,414,cx,"13,2",module_0,module_2,3070,12850,12960,9780,9890,110
101,416,cx,"13,2",module_0,module_2,3080,12960,13070,9880,9990,110
102,419,cx,"13,3",module_0,module_2,3095,13070,13180,9975,10085,110
103,421,cx,"13,3",module_0,module_2,3105,13180,13290,10075,10185,110
104,424,cx,"13,4",module_0,module_2,3120,13290,13400,10170,10280,110
105,426,cx,"13,4",module_0,module_2,3130,13400,13510,10270,10380,110
106,429,cx,"13,5",module_0,module_2,3145,13620,13730,10475,10585,110
107,431,cx,"13,5",module_0,module_2,3155,13730,13840,10575,10685,110
108,434,cx,"13,6",module_1,module_2,3170,13840,13950,10670,10780,110
109,436,cx,"13,6",module_1,module_2,3180,13950,14060,10770,10880,110
110,439,cx,"13,7",module_1,module_2,3195,14060,14170,10865,10975,110
111,441,cx,"13,7",module_1,module_2,3205,14170,14280,10965,11075,110
112,444,cx,"13,8",module_1,module_2,3220,14280,14390,11060,11170,110
113,446,cx,"13,8",module_1,module_2,3230,14390,14500,11160,11270,110
114,449,cx,"13,9",module_1,module_2,3245,14500,14610,11255,11365,110
115,451,cx,"13,9",module_1,module_2,3255,14610,14720,11355,11465,110
116,454,cx,"13,10",module_1,module_2,3270,14720,14830,11450,11560,110
117,456,cx,"13,10",module_1,module_2,3280,14830,14940,11550,11660,110
118,459,cx,"13,11",module_1,module_2,3295,14940,15050,11645,11755,110
119,461,cx,"13,11",module_1,module_2,3305,15050,15160,11745,11855,110
120,470,cx,"14,0",module_0,module_2,3350,15160,15270,11810,11920,110
121,472,cx,"14,0",module_0,module_2,3360,15270,15380,11910,12020,110
122,475,cx,"14,1",module_0,module_2,3375,15380,15490,12005,12115,110
123,477,cx,"14,1",module_0,module_2,3385,15490,15600,12105,12215,110
124,480,cx,"14,2",module_0,module_2,3400,15600,15710,12200,12310,110
125,482,cx,"14,2",module_0,module_2,3410,15710,15820,12300,12410,110
126,485,cx,"14,3",module_0,module_2,3425,15820,15930,12395,12505,110
127,487,cx,"14,3",module_0,module_2,3435,15930,16040,12495,12605,110
128,490,cx,"14,4",module_0,module_2,3450,16040,16150,12590,12700,110
