victim_qasm,victim_tag,knob,capacity_name,hub_max_concurrent_transfers,probe_name,spacing_pattern,probe_round_period_ns,observation_duration_ns,victim_true_start_ns,attacker_estimated_start_ns,workload_type,placement,threat_model,within_round_event_spacing_ns,total_probe_rounds,total_attacker_events,total_attacker_remote_requests,first_remote_probe_release_ns,last_remote_probe_release_ns,realized_remote_probe_rate_per_us,victim_total_events,victim_cross_module_ops_evaluator_only,victim_completed_remote_requests,baseline_avg_waiting_time_ns,baseline_max_waiting_time_ns,baseline_avg_turnaround_time_ns,baseline_waited_fraction,victim_on_avg_waiting_time_ns,victim_on_max_waiting_time_ns,victim_on_avg_turnaround_time_ns,avg_excess_waiting_time_ns,avg_excess_turnaround_time_ns,median_excess_turnaround_time_ns,max_excess_turnaround_time_ns,min_excess_turnaround_time_ns,total_excess_turnaround_time_ns,positive_excess_turnaround_time_ns,negative_excess_turnaround_time_ns,delayed_probe_count,contention_observed_fraction,intertenant_signal_observed,victim_only_avg_waiting_time_ns,victim_only_max_waiting_time_ns,victim_on_avg_remote_waiting_time_ns,victim_on_max_remote_waiting_time_ns,victim_only_duration_ns,victim_on_duration_ns,victim_slowdown_ns,victim_slowdown_ratio,attacker_only_hub_makespan_ns,victim_only_hub_makespan_ns,victim_on_hub_makespan_ns,capacity_1_total_signal_ns,capacity_1_avg_signal_ns,capacity_1_contention_fraction,total_signal_retention_vs_capacity_1,avg_signal_retention_vs_capacity_1,contention_retention_vs_capacity_1
bv_n19.qasm,bv_n19,hub_capacity,capacity_1_serialized,1,probe_3_light_periodic,uniform,420,20000,1000,1000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,5,48,336,48,1030,20770,2.4,76,16,16,0.0,0.0,110.0,0.0,88.54166666666667,1470.0,198.54166666666666,88.54166666666667,88.54166666666667,0.0,1470.0,0.0,4250.0,4250.0,0.0,5,0.10416666666666667,True,795.625,1565.0,835.625,1605.0,1880.0,1920.0,40.0,1.0212765957446808,20880,2880,20880,4250.0,88.54166666666667,0.10416666666666667,1.0,1.0,1.0
dnn_n16.qasm,dnn_n16,hub_capacity,capacity_1_serialized,1,probe_3_light_periodic,uniform,420,20000,1000,1000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,5,48,336,48,1030,20770,2.4,2032,72,72,0.0,0.0,110.0,0.0,678.5416666666666,2340.0,788.5416666666666,678.5416666666666,678.5416666666666,325.0,2340.0,0.0,32570.0,32570.0,0.0,25,0.5208333333333334,True,717.2916666666666,1460.0,1296.875,2315.0,11605.0,12450.0,845.0,1.0728134424816889,20880,12605,20880,32570.0,678.5416666666666,0.5208333333333334,1.0,1.0,1.0
qft_n18.qasm,qft_n18,hub_capacity,capacity_1_serialized,1,probe_3_light_periodic,uniform,420,20000,1000,1000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,5,48,336,48,1030,20770,2.4,802,217,217,0.0,0.0,110.0,0.0,14143.958333333334,21240.0,14253.958333333334,14143.958333333334,14143.958333333334,14695.0,21240.0,0.0,678910.0,678910.0,0.0,47,0.9791666666666666,True,10163.387096774193,20285.0,10653.57142857143,21245.0,24290.0,25280.0,990.0,1.0407575133799918,20880,25290,30460,678910.0,14143.958333333334,0.9791666666666666,1.0,1.0,1.0
sat_n11.qasm,sat_n11,hub_capacity,capacity_1_serialized,1,probe_3_light_periodic,uniform,420,20000,1000,1000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,5,48,336,48,1030,20770,2.4,95,42,42,0.0,0.0,110.0,0.0,672.2916666666666,4320.0,782.2916666666666,672.2916666666666,672.2916666666666,0.0,4320.0,0.0,32270.0,32270.0,0.0,14,0.2916666666666667,True,2096.0714285714284,4170.0,2191.0714285714284,4265.0,4675.0,4770.0,95.0,1.0203208556149732,20880,5675,20880,32270.0,672.2916666666666,0.2916666666666667,1.0,1.0,1.0
square_root_n18.qasm,square_root_n18,hub_capacity,capacity_1_serialized,1,probe_3_light_periodic,uniform,420,20000,1000,1000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,5,48,336,48,1030,20770,2.4,558,247,247,0.0,0.0,110.0,0.0,17767.5,25000.0,17877.5,17767.5,17767.5,18335.0,25000.0,110.0,852840.0,852840.0,0.0,48,1.0,True,12205.02024291498,24395.0,12616.518218623482,25165.0,27200.0,27970.0,770.0,1.0283088235294118,20880,28200,33480,852840.0,17767.5,1.0,1.0,1.0,1.0
bv_n19.qasm,bv_n19,hub_capacity,capacity_2_original,2,probe_3_light_periodic,uniform,420,20000,1000,1000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,5,48,336,48,1030,20770,2.4,76,16,16,0.0,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,795.625,1565.0,795.625,1565.0,1880.0,1880.0,0.0,1.0,20880,2880,20880,4250.0,88.54166666666667,0.10416666666666667,0.0,0.0,0.0
dnn_n16.qasm,dnn_n16,hub_capacity,capacity_2_original,2,probe_3_light_periodic,uniform,420,20000,1000,1000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,5,48,336,48,1030,20770,2.4,2032,72,72,0.0,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,717.2916666666666,1460.0,717.2916666666666,1460.0,11605.0,11605.0,0.0,1.0,20880,12605,20880,32570.0,678.5416666666666,0.5208333333333334,0.0,0.0,0.0
qft_n18.qasm,qft_n18,hub_capacity,capacity_2_original,2,probe_3_light_periodic,uniform,420,20000,1000,1000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,5,48,336,48,1030,20770,2.4,802,217,217,0.0,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,10163.387096774193,20285.0,10163.387096774193,20285.0,24290.0,24290.0,0.0,1.0,20880,25290,25290,678910.0,14143.958333333334,0.9791666666666666,0.0,0.0,0.0
sat_n11.qasm,sat_n11,hub_capacity,capacity_2_original,2,probe_3_light_periodic,uniform,420,20000,1000,1000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,5,48,336,48,1030,20770,2.4,95,42,42,0.0,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,2096.0714285714284,4170.0,2096.0714285714284,4170.0,4675.0,4675.0,0.0,1.0,20880,5675,20880,32270.0,672.2916666666666,0.2916666666666667,0.0,0.0,0.0
square_root_n18.qasm,square_root_n18,hub_capacity,capacity_2_original,2,probe_3_light_periodic,uniform,420,20000,1000,1000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,5,48,336,48,1030,20770,2.4,558,247,247,0.0,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,12205.02024291498,24395.0,12205.02024291498,24395.0,27200.0,27200.0,0.0,1.0,20880,28200,28200,852840.0,17767.5,1.0,0.0,0.0,0.0
