attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_alternating_mild,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_alternating_mild,1280,1310,280.0,1310,1310,1420,110,0,110,module_3,module_4,1,0,110,1420,0,0,False
2,2,spacing_alternating_mild,1840,1870,560.0,1870,5270,5380,110,3400,3510,module_3,module_4,37,0,110,1980,3400,3400,True
3,3,spacing_alternating_mild,2120,2150,280.0,2150,6810,6920,110,4660,4770,module_3,module_4,51,0,110,2260,4660,4660,True
4,4,spacing_alternating_mild,2680,2710,560.0,2710,9560,9670,110,6850,6960,module_3,module_4,76,0,110,2820,6850,6850,True
5,5,spacing_alternating_mild,2960,2990,280.0,2990,12200,12310,110,9210,9320,module_3,module_4,100,0,110,3100,9210,9210,True
6,6,spacing_alternating_mild,3520,3550,560.0,3550,16930,17040,110,13380,13490,module_3,module_4,143,0,110,3660,13380,13380,True
7,7,spacing_alternating_mild,3800,3830,280.0,3830,19020,19130,110,15190,15300,module_3,module_4,162,0,110,3940,15190,15190,True
8,8,spacing_alternating_mild,4360,4390,560.0,4390,23200,23310,110,18810,18920,module_3,module_4,200,0,110,4500,18810,18810,True
9,9,spacing_alternating_mild,4640,4670,280.0,4670,24960,25070,110,20290,20400,module_3,module_4,216,0,110,4780,20290,20290,True
10,10,spacing_alternating_mild,5200,5230,560.0,5230,26180,26290,110,20950,21060,module_3,module_4,227,0,110,5340,20950,20950,True
11,11,spacing_alternating_mild,5480,5510,280.0,5510,26290,26400,110,20780,20890,module_3,module_4,228,0,110,5620,20780,20780,True
12,12,spacing_alternating_mild,6040,6070,560.0,6070,26400,26510,110,20330,20440,module_3,module_4,229,0,110,6180,20330,20330,True
13,13,spacing_alternating_mild,6320,6350,280.0,6350,26510,26620,110,20160,20270,module_3,module_4,230,0,110,6460,20160,20160,True
14,14,spacing_alternating_mild,6880,6910,560.0,6910,26620,26730,110,19710,19820,module_3,module_4,231,0,110,7020,19710,19710,True
15,15,spacing_alternating_mild,7160,7190,280.0,7190,26730,26840,110,19540,19650,module_3,module_4,232,0,110,7300,19540,19540,True
16,16,spacing_alternating_mild,7720,7750,560.0,7750,26840,26950,110,19090,19200,module_3,module_4,233,0,110,7860,19090,19090,True
17,17,spacing_alternating_mild,8000,8030,280.0,8030,26950,27060,110,18920,19030,module_3,module_4,234,0,110,8140,18920,18920,True
18,18,spacing_alternating_mild,8560,8590,560.0,8590,27060,27170,110,18470,18580,module_3,module_4,235,0,110,8700,18470,18470,True
19,19,spacing_alternating_mild,8840,8870,280.0,8870,27170,27280,110,18300,18410,module_3,module_4,236,0,110,8980,18300,18300,True
20,20,spacing_alternating_mild,9400,9430,560.0,9430,27280,27390,110,17850,17960,module_3,module_4,237,0,110,9540,17850,17850,True
21,21,spacing_alternating_mild,9680,9710,280.0,9710,27390,27500,110,17680,17790,module_3,module_4,238,0,110,9820,17680,17680,True
22,22,spacing_alternating_mild,10240,10270,560.0,10270,27500,27610,110,17230,17340,module_3,module_4,239,0,110,10380,17230,17230,True
23,23,spacing_alternating_mild,10520,10550,280.0,10550,27610,27720,110,17060,17170,module_3,module_4,240,0,110,10660,17060,17060,True
24,24,spacing_alternating_mild,11080,11110,560.0,11110,27720,27830,110,16610,16720,module_3,module_4,241,0,110,11220,16610,16610,True
25,25,spacing_alternating_mild,11360,11390,280.0,11390,27830,27940,110,16440,16550,module_3,module_4,242,0,110,11500,16440,16440,True
26,26,spacing_alternating_mild,11920,11950,560.0,11950,27940,28050,110,15990,16100,module_3,module_4,243,0,110,12060,15990,15990,True
27,27,spacing_alternating_mild,12200,12230,280.0,12230,28050,28160,110,15820,15930,module_3,module_4,244,0,110,12340,15820,15820,True
28,28,spacing_alternating_mild,12760,12790,560.0,12790,28160,28270,110,15370,15480,module_3,module_4,245,0,110,12900,15370,15370,True
29,29,spacing_alternating_mild,13040,13070,280.0,13070,28270,28380,110,15200,15310,module_3,module_4,246,0,110,13180,15200,15200,True
30,30,spacing_alternating_mild,13600,13630,560.0,13630,28380,28490,110,14750,14860,module_3,module_4,247,0,110,13740,14750,14750,True
31,31,spacing_alternating_mild,13880,13910,280.0,13910,28490,28600,110,14580,14690,module_3,module_4,248,0,110,14020,14580,14580,True
32,32,spacing_alternating_mild,14440,14470,560.0,14470,28600,28710,110,14130,14240,module_3,module_4,249,0,110,14580,14130,14130,True
33,33,spacing_alternating_mild,14720,14750,280.0,14750,28710,28820,110,13960,14070,module_3,module_4,250,0,110,14860,13960,13960,True
34,34,spacing_alternating_mild,15280,15310,560.0,15310,28820,28930,110,13510,13620,module_3,module_4,251,0,110,15420,13510,13510,True
35,35,spacing_alternating_mild,15560,15590,280.0,15590,28930,29040,110,13340,13450,module_3,module_4,252,0,110,15700,13340,13340,True
36,36,spacing_alternating_mild,16120,16150,560.0,16150,29040,29150,110,12890,13000,module_3,module_4,253,0,110,16260,12890,12890,True
37,37,spacing_alternating_mild,16400,16430,280.0,16430,29150,29260,110,12720,12830,module_3,module_4,254,0,110,16540,12720,12720,True
38,38,spacing_alternating_mild,16960,16990,560.0,16990,29260,29370,110,12270,12380,module_3,module_4,255,0,110,17100,12270,12270,True
39,39,spacing_alternating_mild,17240,17270,280.0,17270,29370,29480,110,12100,12210,module_3,module_4,256,0,110,17380,12100,12100,True
40,40,spacing_alternating_mild,17800,17830,560.0,17830,29480,29590,110,11650,11760,module_3,module_4,257,0,110,17940,11650,11650,True
41,41,spacing_alternating_mild,18080,18110,280.0,18110,29590,29700,110,11480,11590,module_3,module_4,258,0,110,18220,11480,11480,True
42,42,spacing_alternating_mild,18640,18670,560.0,18670,29700,29810,110,11030,11140,module_3,module_4,259,0,110,18780,11030,11030,True
43,43,spacing_alternating_mild,18920,18950,280.0,18950,29810,29920,110,10860,10970,module_3,module_4,260,0,110,19060,10860,10860,True
44,44,spacing_alternating_mild,19480,19510,560.0,19510,29920,30030,110,10410,10520,module_3,module_4,261,0,110,19620,10410,10410,True
45,45,spacing_alternating_mild,19760,19790,280.0,19790,30030,30140,110,10240,10350,module_3,module_4,262,0,110,19900,10240,10240,True
46,46,spacing_alternating_mild,20320,20350,560.0,20350,30140,30250,110,9790,9900,module_3,module_4,263,0,110,20460,9790,9790,True
