attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_alternating_strong,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_alternating_strong,1140,1170,140.0,1170,1170,1280,110,0,110,module_3,module_4,1,0,110,1280,0,0,False
2,2,spacing_alternating_strong,1840,1870,700.0,1870,5260,5370,110,3390,3500,module_3,module_4,37,0,110,1980,3390,3390,True
3,3,spacing_alternating_strong,1980,2010,140.0,2010,6140,6250,110,4130,4240,module_3,module_4,45,0,110,2120,4130,4130,True
4,4,spacing_alternating_strong,2680,2710,700.0,2710,9550,9660,110,6840,6950,module_3,module_4,76,0,110,2820,6840,6840,True
5,5,spacing_alternating_strong,2820,2850,140.0,2850,10980,11090,110,8130,8240,module_3,module_4,89,0,110,2960,8130,8130,True
6,6,spacing_alternating_strong,3520,3550,700.0,3550,16920,17030,110,13370,13480,module_3,module_4,143,0,110,3660,13370,13370,True
7,7,spacing_alternating_strong,3660,3690,140.0,3690,17800,17910,110,14110,14220,module_3,module_4,151,0,110,3800,14110,14110,True
8,8,spacing_alternating_strong,4360,4390,700.0,4390,23190,23300,110,18800,18910,module_3,module_4,200,0,110,4500,18800,18800,True
9,9,spacing_alternating_strong,4500,4530,140.0,4530,23740,23850,110,19210,19320,module_3,module_4,205,0,110,4640,19210,19210,True
10,10,spacing_alternating_strong,5200,5230,700.0,5230,26170,26280,110,20940,21050,module_3,module_4,227,0,110,5340,20940,20940,True
11,11,spacing_alternating_strong,5340,5370,140.0,5370,26280,26390,110,20910,21020,module_3,module_4,228,0,110,5480,20910,20910,True
12,12,spacing_alternating_strong,6040,6070,700.0,6070,26390,26500,110,20320,20430,module_3,module_4,229,0,110,6180,20320,20320,True
13,13,spacing_alternating_strong,6180,6210,140.0,6210,26500,26610,110,20290,20400,module_3,module_4,230,0,110,6320,20290,20290,True
14,14,spacing_alternating_strong,6880,6910,700.0,6910,26610,26720,110,19700,19810,module_3,module_4,231,0,110,7020,19700,19700,True
15,15,spacing_alternating_strong,7020,7050,140.0,7050,26720,26830,110,19670,19780,module_3,module_4,232,0,110,7160,19670,19670,True
16,16,spacing_alternating_strong,7720,7750,700.0,7750,26830,26940,110,19080,19190,module_3,module_4,233,0,110,7860,19080,19080,True
17,17,spacing_alternating_strong,7860,7890,140.0,7890,26940,27050,110,19050,19160,module_3,module_4,234,0,110,8000,19050,19050,True
18,18,spacing_alternating_strong,8560,8590,700.0,8590,27050,27160,110,18460,18570,module_3,module_4,235,0,110,8700,18460,18460,True
19,19,spacing_alternating_strong,8700,8730,140.0,8730,27160,27270,110,18430,18540,module_3,module_4,236,0,110,8840,18430,18430,True
20,20,spacing_alternating_strong,9400,9430,700.0,9430,27270,27380,110,17840,17950,module_3,module_4,237,0,110,9540,17840,17840,True
21,21,spacing_alternating_strong,9540,9570,140.0,9570,27380,27490,110,17810,17920,module_3,module_4,238,0,110,9680,17810,17810,True
22,22,spacing_alternating_strong,10240,10270,700.0,10270,27490,27600,110,17220,17330,module_3,module_4,239,0,110,10380,17220,17220,True
23,23,spacing_alternating_strong,10380,10410,140.0,10410,27600,27710,110,17190,17300,module_3,module_4,240,0,110,10520,17190,17190,True
24,24,spacing_alternating_strong,11080,11110,700.0,11110,27710,27820,110,16600,16710,module_3,module_4,241,0,110,11220,16600,16600,True
25,25,spacing_alternating_strong,11220,11250,140.0,11250,27820,27930,110,16570,16680,module_3,module_4,242,0,110,11360,16570,16570,True
26,26,spacing_alternating_strong,11920,11950,700.0,11950,27930,28040,110,15980,16090,module_3,module_4,243,0,110,12060,15980,15980,True
27,27,spacing_alternating_strong,12060,12090,140.0,12090,28040,28150,110,15950,16060,module_3,module_4,244,0,110,12200,15950,15950,True
28,28,spacing_alternating_strong,12760,12790,700.0,12790,28150,28260,110,15360,15470,module_3,module_4,245,0,110,12900,15360,15360,True
29,29,spacing_alternating_strong,12900,12930,140.0,12930,28260,28370,110,15330,15440,module_3,module_4,246,0,110,13040,15330,15330,True
30,30,spacing_alternating_strong,13600,13630,700.0,13630,28370,28480,110,14740,14850,module_3,module_4,247,0,110,13740,14740,14740,True
31,31,spacing_alternating_strong,13740,13770,140.0,13770,28480,28590,110,14710,14820,module_3,module_4,248,0,110,13880,14710,14710,True
32,32,spacing_alternating_strong,14440,14470,700.0,14470,28590,28700,110,14120,14230,module_3,module_4,249,0,110,14580,14120,14120,True
33,33,spacing_alternating_strong,14580,14610,140.0,14610,28700,28810,110,14090,14200,module_3,module_4,250,0,110,14720,14090,14090,True
34,34,spacing_alternating_strong,15280,15310,700.0,15310,28810,28920,110,13500,13610,module_3,module_4,251,0,110,15420,13500,13500,True
35,35,spacing_alternating_strong,15420,15450,140.0,15450,28920,29030,110,13470,13580,module_3,module_4,252,0,110,15560,13470,13470,True
36,36,spacing_alternating_strong,16120,16150,700.0,16150,29030,29140,110,12880,12990,module_3,module_4,253,0,110,16260,12880,12880,True
37,37,spacing_alternating_strong,16260,16290,140.0,16290,29140,29250,110,12850,12960,module_3,module_4,254,0,110,16400,12850,12850,True
38,38,spacing_alternating_strong,16960,16990,700.0,16990,29250,29360,110,12260,12370,module_3,module_4,255,0,110,17100,12260,12260,True
39,39,spacing_alternating_strong,17100,17130,140.0,17130,29360,29470,110,12230,12340,module_3,module_4,256,0,110,17240,12230,12230,True
40,40,spacing_alternating_strong,17800,17830,700.0,17830,29470,29580,110,11640,11750,module_3,module_4,257,0,110,17940,11640,11640,True
41,41,spacing_alternating_strong,17940,17970,140.0,17970,29580,29690,110,11610,11720,module_3,module_4,258,0,110,18080,11610,11610,True
42,42,spacing_alternating_strong,18640,18670,700.0,18670,29690,29800,110,11020,11130,module_3,module_4,259,0,110,18780,11020,11020,True
43,43,spacing_alternating_strong,18780,18810,140.0,18810,29800,29910,110,10990,11100,module_3,module_4,260,0,110,18920,10990,10990,True
44,44,spacing_alternating_strong,19480,19510,700.0,19510,29910,30020,110,10400,10510,module_3,module_4,261,0,110,19620,10400,10400,True
45,45,spacing_alternating_strong,19620,19650,140.0,19650,30020,30130,110,10370,10480,module_3,module_4,262,0,110,19760,10370,10370,True
46,46,spacing_alternating_strong,20320,20350,700.0,20350,30130,30240,110,9780,9890,module_3,module_4,263,0,110,20460,9780,9780,True
47,47,spacing_alternating_strong,20740,20770,420.0,20770,30240,30350,110,9470,9580,module_3,module_4,264,0,110,20880,9470,9470,True
