attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_burst4,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_burst4,1140,1170,140.0,1170,1170,1280,110,0,110,module_3,module_4,1,0,110,1280,0,0,False
2,2,spacing_burst4,1280,1310,140.0,1310,1310,1420,110,0,110,module_3,module_4,2,0,110,1420,0,0,False
3,3,spacing_burst4,1420,1450,140.0,1450,1450,1560,110,0,110,module_3,module_4,3,0,110,1560,0,0,False
4,4,spacing_burst4,2680,2710,1260.0,2710,2710,2820,110,0,110,module_3,module_4,4,0,110,2820,0,0,False
5,5,spacing_burst4,2820,2850,140.0,2850,2850,2960,110,0,110,module_3,module_4,5,0,110,2960,0,0,False
6,6,spacing_burst4,2960,2990,140.0,2990,2990,3100,110,0,110,module_3,module_4,6,0,110,3100,0,0,False
7,7,spacing_burst4,3100,3130,140.0,3130,3130,3240,110,0,110,module_3,module_4,7,0,110,3240,0,0,False
8,8,spacing_burst4,4360,4390,1260.0,4390,5095,5205,110,705,815,module_3,module_4,22,0,110,4500,705,705,True
9,9,spacing_burst4,4500,4530,140.0,4530,5645,5755,110,1115,1225,module_3,module_4,27,0,110,4640,1115,1115,True
10,10,spacing_burst4,4640,4670,140.0,4670,5755,5865,110,1085,1195,module_3,module_4,28,0,110,4780,1085,1085,True
11,11,spacing_burst4,4780,4810,140.0,4810,5975,6085,110,1165,1275,module_3,module_4,30,0,110,4920,1165,1165,True
12,12,spacing_burst4,6040,6070,1260.0,6070,6965,7075,110,895,1005,module_3,module_4,39,0,110,6180,895,895,True
13,13,spacing_burst4,6180,6210,140.0,6210,7185,7295,110,975,1085,module_3,module_4,41,0,110,6320,975,975,True
14,14,spacing_burst4,6320,6350,140.0,6350,7515,7625,110,1165,1275,module_3,module_4,44,0,110,6460,1165,1165,True
15,15,spacing_burst4,6460,6490,140.0,6490,7955,8065,110,1465,1575,module_3,module_4,48,0,110,6600,1465,1465,True
16,16,spacing_burst4,7720,7750,1260.0,7750,9385,9495,110,1635,1745,module_3,module_4,61,0,110,7860,1635,1635,True
17,17,spacing_burst4,7860,7890,140.0,7890,9495,9605,110,1605,1715,module_3,module_4,62,0,110,8000,1605,1605,True
18,18,spacing_burst4,8000,8030,140.0,8030,9605,9715,110,1575,1685,module_3,module_4,63,0,110,8140,1575,1575,True
19,19,spacing_burst4,8140,8170,140.0,8170,9715,9825,110,1545,1655,module_3,module_4,64,0,110,8280,1545,1545,True
20,20,spacing_burst4,9400,9430,1260.0,9430,9825,9935,110,395,505,module_3,module_4,65,0,110,9540,395,395,True
21,21,spacing_burst4,9540,9570,140.0,9570,9935,10045,110,365,475,module_3,module_4,66,0,110,9680,365,365,True
22,22,spacing_burst4,9680,9710,140.0,9710,10595,10705,110,885,995,module_3,module_4,72,0,110,9820,885,885,True
23,23,spacing_burst4,9820,9850,140.0,9850,11145,11255,110,1295,1405,module_3,module_4,77,0,110,9960,1295,1295,True
24,24,spacing_burst4,11080,11110,1260.0,11110,13235,13345,110,2125,2235,module_3,module_4,96,0,110,11220,2125,2125,True
25,25,spacing_burst4,11220,11250,140.0,11250,13345,13455,110,2095,2205,module_3,module_4,97,0,110,11360,2095,2095,True
26,26,spacing_burst4,11360,11390,140.0,11390,13455,13565,110,2065,2175,module_3,module_4,98,0,110,11500,2065,2065,True
27,27,spacing_burst4,11500,11530,140.0,11530,13565,13675,110,2035,2145,module_3,module_4,99,0,110,11640,2035,2035,True
28,28,spacing_burst4,12760,12790,1260.0,12790,13675,13785,110,885,995,module_3,module_4,100,0,110,12900,885,885,True
29,29,spacing_burst4,12900,12930,140.0,12930,13785,13895,110,855,965,module_3,module_4,101,0,110,13040,855,855,True
30,30,spacing_burst4,13040,13070,140.0,13070,13895,14005,110,825,935,module_3,module_4,102,0,110,13180,825,825,True
31,31,spacing_burst4,13180,13210,140.0,13210,14005,14115,110,795,905,module_3,module_4,103,0,110,13320,795,795,True
32,32,spacing_burst4,14440,14470,1260.0,14470,14470,14580,110,0,110,module_3,module_4,104,0,110,14580,0,0,False
33,33,spacing_burst4,14580,14610,140.0,14610,14610,14720,110,0,110,module_3,module_4,105,0,110,14720,0,0,False
34,34,spacing_burst4,14720,14750,140.0,14750,14750,14860,110,0,110,module_3,module_4,106,0,110,14860,0,0,False
35,35,spacing_burst4,14860,14890,140.0,14890,14890,15000,110,0,110,module_3,module_4,107,0,110,15000,0,0,False
36,36,spacing_burst4,16120,16150,1260.0,16150,16150,16260,110,0,110,module_3,module_4,108,0,110,16260,0,0,False
37,37,spacing_burst4,16260,16290,140.0,16290,16290,16400,110,0,110,module_3,module_4,109,0,110,16400,0,0,False
38,38,spacing_burst4,16400,16430,140.0,16430,16430,16540,110,0,110,module_3,module_4,110,0,110,16540,0,0,False
