attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_jittered,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_jittered,1360,1390,360.0,1390,1390,1500,110,0,110,module_3,module_4,1,0,110,1500,0,0,False
2,2,spacing_jittered,1610,1640,250.0,1640,1640,1750,110,0,110,module_3,module_4,2,0,110,1750,0,0,False
3,3,spacing_jittered,2170,2200,560.0,2200,2200,2310,110,0,110,module_3,module_4,3,0,110,2310,0,0,False
4,4,spacing_jittered,2660,2690,490.0,2690,2690,2800,110,0,110,module_3,module_4,4,0,110,2800,0,0,False
5,5,spacing_jittered,2870,2900,210.0,2900,2900,3010,110,0,110,module_3,module_4,5,0,110,3010,0,0,False
6,6,spacing_jittered,3350,3380,480.0,3380,3380,3490,110,0,110,module_3,module_4,6,0,110,3490,0,0,False
7,7,spacing_jittered,3670,3700,320.0,3700,4435,4545,110,735,845,module_3,module_4,15,0,110,3810,735,735,True
8,8,spacing_jittered,3890,3920,220.0,3920,4655,4765,110,735,845,module_3,module_4,17,0,110,4030,735,735,True
9,9,spacing_jittered,4530,4560,640.0,4560,5755,5865,110,1195,1305,module_3,module_4,27,0,110,4670,1195,1195,True
10,10,spacing_jittered,4780,4810,250.0,4810,5975,6085,110,1165,1275,module_3,module_4,29,0,110,4920,1165,1165,True
11,11,spacing_jittered,5150,5180,370.0,5180,6965,7075,110,1785,1895,module_3,module_4,38,0,110,5290,1785,1785,True
12,12,spacing_jittered,5420,5450,270.0,5450,7075,7185,110,1625,1735,module_3,module_4,39,0,110,5560,1625,1625,True
13,13,spacing_jittered,5780,5810,360.0,5810,7185,7295,110,1375,1485,module_3,module_4,40,0,110,5920,1375,1375,True
14,14,spacing_jittered,6060,6090,280.0,6090,7295,7405,110,1205,1315,module_3,module_4,41,0,110,6200,1205,1205,True
15,15,spacing_jittered,6420,6450,360.0,6450,8065,8175,110,1615,1725,module_3,module_4,48,0,110,6560,1615,1615,True
16,16,spacing_jittered,7010,7040,590.0,7040,9275,9385,110,2235,2345,module_3,module_4,59,0,110,7150,2235,2235,True
17,17,spacing_jittered,7630,7660,620.0,7660,9605,9715,110,1945,2055,module_3,module_4,62,0,110,7770,1945,1945,True
18,18,spacing_jittered,8110,8140,480.0,8140,9715,9825,110,1575,1685,module_3,module_4,63,0,110,8250,1575,1575,True
19,19,spacing_jittered,8290,8320,180.0,8320,9825,9935,110,1505,1615,module_3,module_4,64,0,110,8430,1505,1505,True
20,20,spacing_jittered,8660,8690,370.0,8690,9935,10045,110,1245,1355,module_3,module_4,65,0,110,8800,1245,1245,True
21,21,spacing_jittered,9030,9060,370.0,9060,10045,10155,110,985,1095,module_3,module_4,66,0,110,9170,985,985,True
22,22,spacing_jittered,9500,9530,470.0,9530,10155,10265,110,625,735,module_3,module_4,67,0,110,9640,625,625,True
23,23,spacing_jittered,10080,10110,580.0,10110,11255,11365,110,1145,1255,module_3,module_4,77,0,110,10220,1145,1145,True
24,24,spacing_jittered,10550,10580,470.0,10580,12355,12465,110,1775,1885,module_3,module_4,87,0,110,10690,1775,1775,True
25,25,spacing_jittered,10910,10940,360.0,10940,12795,12905,110,1855,1965,module_3,module_4,91,0,110,11050,1855,1855,True
26,26,spacing_jittered,11380,11410,470.0,11410,13565,13675,110,2155,2265,module_3,module_4,98,0,110,11520,2155,2155,True
27,27,spacing_jittered,11970,12000,590.0,12000,13675,13785,110,1675,1785,module_3,module_4,99,0,110,12110,1675,1675,True
28,28,spacing_jittered,12450,12480,480.0,12480,13785,13895,110,1305,1415,module_3,module_4,100,0,110,12590,1305,1305,True
29,29,spacing_jittered,13020,13050,570.0,13050,13895,14005,110,845,955,module_3,module_4,101,0,110,13160,845,845,True
30,30,spacing_jittered,13280,13310,260.0,13310,14005,14115,110,695,805,module_3,module_4,102,0,110,13420,695,695,True
31,31,spacing_jittered,13910,13940,630.0,13940,14115,14225,110,175,285,module_3,module_4,103,0,110,14050,175,175,True
32,32,spacing_jittered,14110,14140,200.0,14140,14225,14335,110,85,195,module_3,module_4,104,0,110,14250,85,85,True
33,33,spacing_jittered,14480,14510,370.0,14510,14510,14620,110,0,110,module_3,module_4,105,0,110,14620,0,0,False
34,34,spacing_jittered,14820,14850,340.0,14850,14850,14960,110,0,110,module_3,module_4,106,0,110,14960,0,0,False
35,35,spacing_jittered,15410,15440,590.0,15440,15440,15550,110,0,110,module_3,module_4,107,0,110,15550,0,0,False
36,36,spacing_jittered,15890,15920,480.0,15920,15920,16030,110,0,110,module_3,module_4,108,0,110,16030,0,0,False
37,37,spacing_jittered,16410,16440,520.0,16440,16440,16550,110,0,110,module_3,module_4,109,0,110,16550,0,0,False
38,38,spacing_jittered,17040,17070,630.0,17070,17070,17180,110,0,110,module_3,module_4,110,0,110,17180,0,0,False
39,39,spacing_jittered,17510,17540,470.0,17540,17540,17650,110,0,110,module_3,module_4,111,0,110,17650,0,0,False
40,40,spacing_jittered,18010,18040,500.0,18040,18040,18150,110,0,110,module_3,module_4,112,0,110,18150,0,0,False
41,41,spacing_jittered,18540,18570,530.0,18570,18570,18680,110,0,110,module_3,module_4,113,0,110,18680,0,0,False
42,42,spacing_jittered,18790,18820,250.0,18820,18820,18930,110,0,110,module_3,module_4,114,0,110,18930,0,0,False
43,43,spacing_jittered,19000,19030,210.0,19030,19030,19140,110,0,110,module_3,module_4,115,0,110,19140,0,0,False
44,44,spacing_jittered,19350,19380,350.0,19380,19380,19490,110,0,110,module_3,module_4,116,0,110,19490,0,0,False
45,45,spacing_jittered,20010,20040,660.0,20040,20040,20150,110,0,110,module_3,module_4,117,0,110,20150,0,0,False
46,46,spacing_jittered,20320,20350,310.0,20350,20350,20460,110,0,110,module_3,module_4,118,0,110,20460,0,0,False
47,47,spacing_jittered,20740,20770,420.0,20770,20770,20880,110,0,110,module_3,module_4,119,0,110,20880,0,0,False
