attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_jittered,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_jittered,1360,1390,360.0,1390,5660,5770,110,4270,4380,module_3,module_4,42,0,110,1500,4270,4270,True
2,2,spacing_jittered,1610,1640,250.0,1640,5880,5990,110,4240,4350,module_3,module_4,44,0,110,1750,4240,4240,True
3,3,spacing_jittered,2170,2200,560.0,2200,5990,6100,110,3790,3900,module_3,module_4,45,0,110,2310,3790,3790,True
4,4,spacing_jittered,2660,2690,490.0,2690,6100,6210,110,3410,3520,module_3,module_4,46,0,110,2800,3410,3410,True
5,5,spacing_jittered,2870,2900,210.0,2900,6210,6320,110,3310,3420,module_3,module_4,47,0,110,3010,3310,3310,True
6,6,spacing_jittered,3350,3380,480.0,3380,6320,6430,110,2940,3050,module_3,module_4,48,0,110,3490,2940,2940,True
7,7,spacing_jittered,3670,3700,320.0,3700,6430,6540,110,2730,2840,module_3,module_4,49,0,110,3810,2730,2730,True
8,8,spacing_jittered,3890,3920,220.0,3920,6540,6650,110,2620,2730,module_3,module_4,50,0,110,4030,2620,2620,True
9,9,spacing_jittered,4530,4560,640.0,4560,6650,6760,110,2090,2200,module_3,module_4,51,0,110,4670,2090,2090,True
10,10,spacing_jittered,4780,4810,250.0,4810,6760,6870,110,1950,2060,module_3,module_4,52,0,110,4920,1950,1950,True
11,11,spacing_jittered,5150,5180,370.0,5180,6870,6980,110,1690,1800,module_3,module_4,53,0,110,5290,1690,1690,True
12,12,spacing_jittered,5420,5450,270.0,5450,6980,7090,110,1530,1640,module_3,module_4,54,0,110,5560,1530,1530,True
13,13,spacing_jittered,5780,5810,360.0,5810,7090,7200,110,1280,1390,module_3,module_4,55,0,110,5920,1280,1280,True
14,14,spacing_jittered,6060,6090,280.0,6090,7200,7310,110,1110,1220,module_3,module_4,56,0,110,6200,1110,1110,True
15,15,spacing_jittered,6420,6450,360.0,6450,7310,7420,110,860,970,module_3,module_4,57,0,110,6560,860,860,True
16,16,spacing_jittered,7010,7040,590.0,7040,7420,7530,110,380,490,module_3,module_4,58,0,110,7150,380,380,True
17,17,spacing_jittered,7630,7660,620.0,7660,7660,7770,110,0,110,module_3,module_4,59,0,110,7770,0,0,False
18,18,spacing_jittered,8110,8140,480.0,8140,8140,8250,110,0,110,module_3,module_4,60,0,110,8250,0,0,False
19,19,spacing_jittered,8290,8320,180.0,8320,8320,8430,110,0,110,module_3,module_4,61,0,110,8430,0,0,False
20,20,spacing_jittered,8660,8690,370.0,8690,8690,8800,110,0,110,module_3,module_4,62,0,110,8800,0,0,False
21,21,spacing_jittered,9030,9060,370.0,9060,9060,9170,110,0,110,module_3,module_4,63,0,110,9170,0,0,False
22,22,spacing_jittered,9500,9530,470.0,9530,9530,9640,110,0,110,module_3,module_4,64,0,110,9640,0,0,False
23,23,spacing_jittered,10080,10110,580.0,10110,10110,10220,110,0,110,module_3,module_4,65,0,110,10220,0,0,False
24,24,spacing_jittered,10550,10580,470.0,10580,10580,10690,110,0,110,module_3,module_4,66,0,110,10690,0,0,False
25,25,spacing_jittered,10910,10940,360.0,10940,10940,11050,110,0,110,module_3,module_4,67,0,110,11050,0,0,False
26,26,spacing_jittered,11380,11410,470.0,11410,11410,11520,110,0,110,module_3,module_4,68,0,110,11520,0,0,False
27,27,spacing_jittered,11970,12000,590.0,12000,12000,12110,110,0,110,module_3,module_4,69,0,110,12110,0,0,False
28,28,spacing_jittered,12450,12480,480.0,12480,12480,12590,110,0,110,module_3,module_4,70,0,110,12590,0,0,False
29,29,spacing_jittered,13020,13050,570.0,13050,13050,13160,110,0,110,module_3,module_4,71,0,110,13160,0,0,False
30,30,spacing_jittered,13280,13310,260.0,13310,13310,13420,110,0,110,module_3,module_4,72,0,110,13420,0,0,False
31,31,spacing_jittered,13910,13940,630.0,13940,13940,14050,110,0,110,module_3,module_4,73,0,110,14050,0,0,False
32,32,spacing_jittered,14110,14140,200.0,14140,14140,14250,110,0,110,module_3,module_4,74,0,110,14250,0,0,False
33,33,spacing_jittered,14480,14510,370.0,14510,14510,14620,110,0,110,module_3,module_4,75,0,110,14620,0,0,False
34,34,spacing_jittered,14820,14850,340.0,14850,14850,14960,110,0,110,module_3,module_4,76,0,110,14960,0,0,False
35,35,spacing_jittered,15410,15440,590.0,15440,15440,15550,110,0,110,module_3,module_4,77,0,110,15550,0,0,False
36,36,spacing_jittered,15890,15920,480.0,15920,15920,16030,110,0,110,module_3,module_4,78,0,110,16030,0,0,False
37,37,spacing_jittered,16410,16440,520.0,16440,16440,16550,110,0,110,module_3,module_4,79,0,110,16550,0,0,False
38,38,spacing_jittered,17040,17070,630.0,17070,17070,17180,110,0,110,module_3,module_4,80,0,110,17180,0,0,False
39,39,spacing_jittered,17510,17540,470.0,17540,17540,17650,110,0,110,module_3,module_4,81,0,110,17650,0,0,False
40,40,spacing_jittered,18010,18040,500.0,18040,18040,18150,110,0,110,module_3,module_4,82,0,110,18150,0,0,False
41,41,spacing_jittered,18540,18570,530.0,18570,18570,18680,110,0,110,module_3,module_4,83,0,110,18680,0,0,False
42,42,spacing_jittered,18790,18820,250.0,18820,18820,18930,110,0,110,module_3,module_4,84,0,110,18930,0,0,False
43,43,spacing_jittered,19000,19030,210.0,19030,19030,19140,110,0,110,module_3,module_4,85,0,110,19140,0,0,False
44,44,spacing_jittered,19350,19380,350.0,19380,19380,19490,110,0,110,module_3,module_4,86,0,110,19490,0,0,False
