victim_qasm,victim_tag,knob,window_name,observation_duration_ns,probe_name,probe_round_period_ns,spacing_pattern,workload_type,placement,threat_model,hub_max_concurrent_transfers,victim_true_start_ns,attacker_estimated_window_start_ns,within_round_event_spacing_ns,observation_window_start_ns,observation_window_end_ns,total_probe_rounds,total_attacker_events,total_attacker_remote_requests,first_remote_probe_release_ns,last_remote_probe_release_ns,realized_remote_probe_rate_per_us,victim_total_events,victim_cross_module_ops_evaluator_only,victim_completed_remote_requests,baseline_avg_waiting_time_ns,baseline_max_waiting_time_ns,baseline_avg_turnaround_time_ns,victim_on_avg_waiting_time_ns,victim_on_max_waiting_time_ns,victim_on_avg_turnaround_time_ns,avg_excess_waiting_time_ns,avg_excess_turnaround_time_ns,median_excess_turnaround_time_ns,max_excess_turnaround_time_ns,total_excess_turnaround_time_ns,delayed_probe_count,contention_observed_fraction,victim_only_completion_offset_ns,victim_on_completion_offset_ns,victim_slowdown_ns,victim_slowdown_ratio,window_to_victim_duration_ratio_evaluator_only,probes_before_victim_completion_evaluator_only,active_window_probe_fraction_evaluator_only,attacker_only_hub_makespan_ns,victim_only_hub_makespan_ns,victim_on_hub_makespan_ns
bv_n19.qasm,bv_n19,observation_window,window_5us_short,5000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,6000,12,84,12,1030,5650,2.4,76,16,16,0.0,0.0,110.0,354.1666666666667,1470.0,464.1666666666667,354.1666666666667,354.1666666666667,0.0,1470.0,4250.0,5,0.4166666666666667,1880.0,1920.0,40.0,1.0212765957446808,2.6595744680851063,5,0.4166666666666667,5760,2880,5760
dnn_n16.qasm,dnn_n16,observation_window,window_5us_short,5000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,6000,12,84,12,1030,5650,2.4,2032,72,72,0.0,0.0,110.0,492.5,1730.0,602.5,492.5,492.5,0.0,1730.0,5910.0,5,0.4166666666666667,11605.0,11605.0,0.0,1.0,0.4308487720809996,12,1.0,5760,12605,12605
qft_n18.qasm,qft_n18,observation_window,window_5us_short,5000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,6000,12,84,12,1030,5650,2.4,802,217,217,0.0,0.0,110.0,11560.833333333334,21240.0,11670.833333333334,11560.833333333334,11560.833333333334,11930.0,21240.0,138730.0,11,0.9166666666666666,24290.0,25280.0,990.0,1.0407575133799918,0.20584602717167558,12,1.0,5760,25290,26500
sat_n11.qasm,sat_n11,observation_window,window_5us_short,5000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,6000,12,84,12,1030,5650,2.4,95,42,42,0.0,0.0,110.0,2539.1666666666665,4320.0,2649.1666666666665,2539.1666666666665,2539.1666666666665,2615.0,4320.0,30470.0,11,0.9166666666666666,4675.0,4770.0,95.0,1.0203208556149732,1.0695187165775402,12,1.0,5760,5675,6980
square_root_n18.qasm,square_root_n18,observation_window,window_5us_short,5000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,6000,12,84,12,1030,5650,2.4,558,247,247,0.0,0.0,110.0,16995.0,25000.0,17105.0,16995.0,16995.0,21395.0,25000.0,203940.0,12,1.0,27200.0,27970.0,770.0,1.0283088235294118,0.18382352941176472,12,1.0,5760,28200,29520
bv_n19.qasm,bv_n19,observation_window,window_10us_medium,10000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,11000,24,168,24,1030,10690,2.4,76,16,16,0.0,0.0,110.0,177.08333333333334,1470.0,287.0833333333333,177.08333333333334,177.08333333333334,0.0,1470.0,4250.0,5,0.20833333333333334,1880.0,1920.0,40.0,1.0212765957446808,5.319148936170213,5,0.20833333333333334,10800,2880,10800
dnn_n16.qasm,dnn_n16,observation_window,window_10us_medium,10000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,11000,24,168,24,1030,10690,2.4,2032,72,72,0.0,0.0,110.0,938.75,2160.0,1048.75,938.75,938.75,1045.0,2160.0,22530.0,17,0.7083333333333334,11605.0,12450.0,845.0,1.0728134424816889,0.8616975441619992,24,1.0,10800,12605,13450
qft_n18.qasm,qft_n18,observation_window,window_10us_medium,10000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,11000,24,168,24,1030,10690,2.4,802,217,217,0.0,0.0,110.0,15142.916666666666,21240.0,15252.916666666666,15142.916666666666,15142.916666666666,18105.0,21240.0,363430.0,23,0.9583333333333334,24290.0,25280.0,990.0,1.0407575133799918,0.41169205434335115,24,1.0,10800,25290,27820
sat_n11.qasm,sat_n11,observation_window,window_10us_medium,10000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,11000,24,168,24,1030,10690,2.4,95,42,42,0.0,0.0,110.0,1344.5833333333333,4320.0,1454.5833333333333,1344.5833333333333,1344.5833333333333,755.0,4320.0,32270.0,14,0.5833333333333334,4675.0,4770.0,95.0,1.0203208556149732,2.1390374331550803,12,0.5,10800,5675,10800
square_root_n18.qasm,square_root_n18,observation_window,window_10us_medium,10000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,11000,24,168,24,1030,10690,2.4,558,247,247,0.0,0.0,110.0,19370.0,25000.0,19480.0,19370.0,19370.0,21745.0,25000.0,464880.0,24,1.0,27200.0,27970.0,770.0,1.0283088235294118,0.36764705882352944,24,1.0,10800,28200,30840
