run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,20,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",1100,1140,1260,40,160,120
victim_present,1,21,cx,"0,18",module_0,module_2,1105,1260,1370,155,265,110
victim_present,2,22,cx,"1,18",module_0,module_2,1110,1370,1480,260,370,110
victim_present,3,23,cx,"2,18",module_0,module_2,1115,1480,1590,365,475,110
victim_present,4,24,cx,"3,18",module_0,module_2,1120,1590,1700,470,580,110
victim_present,5,25,cx,"4,18",module_0,module_2,1125,1700,1810,575,685,110
victim_present,6,26,cx,"5,18",module_0,module_2,1130,1810,1920,680,790,110
victim_present,7,27,cx,"6,18",module_0,module_2,1135,1920,2030,785,895,110
victim_present,8,28,cx,"7,18",module_1,module_2,1140,2030,2140,890,1000,110
victim_present,9,29,cx,"8,18",module_1,module_2,1145,2140,2250,995,1105,110
victim_present,10,30,cx,"9,18",module_1,module_2,1150,2250,2360,1100,1210,110
victim_present,11,31,cx,"10,18",module_1,module_2,1155,2360,2470,1205,1315,110
victim_present,12,32,cx,"11,18",module_1,module_2,1160,2470,2580,1310,1420,110
victim_present,13,33,cx,"12,18",module_1,module_2,1165,2580,2690,1415,1525,110
victim_present,14,34,cx,"13,18",module_1,module_2,1170,2690,2800,1520,1630,110
victim_present,15,39,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",1195,2800,2920,1605,1725,120
