attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,window_40us_extended,40000,1000,1030,1030,1140,1250,110,110,220,module_3,module_4,1,0,110,1140,110,110,True
1,1,window_40us_extended,40000,1420,1450,1450,5430,5540,110,3980,4090,module_3,module_4,40,0,110,1560,3980,3980,True
2,2,window_40us_extended,40000,1840,1870,1870,9720,9830,110,7850,7960,module_3,module_4,79,0,110,1980,7850,7850,True
3,3,window_40us_extended,40000,2260,2290,2290,14010,14120,110,11720,11830,module_3,module_4,118,0,110,2400,11720,11720,True
4,4,window_40us_extended,40000,2680,2710,2710,18300,18410,110,15590,15700,module_3,module_4,157,0,110,2820,15590,15590,True
5,5,window_40us_extended,40000,3100,3130,3130,22590,22700,110,19460,19570,module_3,module_4,196,0,110,3240,19460,19460,True
6,6,window_40us_extended,40000,3520,3550,3550,26880,26990,110,23330,23440,module_3,module_4,235,0,110,3660,23330,23330,True
7,7,window_40us_extended,40000,3940,3970,3970,28970,29080,110,25000,25110,module_3,module_4,254,0,110,4080,25000,25000,True
8,8,window_40us_extended,40000,4360,4390,4390,29080,29190,110,24690,24800,module_3,module_4,255,0,110,4500,24690,24690,True
9,9,window_40us_extended,40000,4780,4810,4810,29190,29300,110,24380,24490,module_3,module_4,256,0,110,4920,24380,24380,True
10,10,window_40us_extended,40000,5200,5230,5230,29300,29410,110,24070,24180,module_3,module_4,257,0,110,5340,24070,24070,True
11,11,window_40us_extended,40000,5620,5650,5650,29410,29520,110,23760,23870,module_3,module_4,258,0,110,5760,23760,23760,True
12,12,window_40us_extended,40000,6040,6070,6070,29520,29630,110,23450,23560,module_3,module_4,259,0,110,6180,23450,23450,True
13,13,window_40us_extended,40000,6460,6490,6490,29630,29740,110,23140,23250,module_3,module_4,260,0,110,6600,23140,23140,True
14,14,window_40us_extended,40000,6880,6910,6910,29740,29850,110,22830,22940,module_3,module_4,261,0,110,7020,22830,22830,True
15,15,window_40us_extended,40000,7300,7330,7330,29850,29960,110,22520,22630,module_3,module_4,262,0,110,7440,22520,22520,True
16,16,window_40us_extended,40000,7720,7750,7750,29960,30070,110,22210,22320,module_3,module_4,263,0,110,7860,22210,22210,True
17,17,window_40us_extended,40000,8140,8170,8170,30070,30180,110,21900,22010,module_3,module_4,264,0,110,8280,21900,21900,True
18,18,window_40us_extended,40000,8560,8590,8590,30180,30290,110,21590,21700,module_3,module_4,265,0,110,8700,21590,21590,True
19,19,window_40us_extended,40000,8980,9010,9010,30290,30400,110,21280,21390,module_3,module_4,266,0,110,9120,21280,21280,True
20,20,window_40us_extended,40000,9400,9430,9430,30400,30510,110,20970,21080,module_3,module_4,267,0,110,9540,20970,20970,True
21,21,window_40us_extended,40000,9820,9850,9850,30510,30620,110,20660,20770,module_3,module_4,268,0,110,9960,20660,20660,True
22,22,window_40us_extended,40000,10240,10270,10270,30620,30730,110,20350,20460,module_3,module_4,269,0,110,10380,20350,20350,True
23,23,window_40us_extended,40000,10660,10690,10690,30730,30840,110,20040,20150,module_3,module_4,270,0,110,10800,20040,20040,True
24,24,window_40us_extended,40000,11080,11110,11110,30840,30950,110,19730,19840,module_3,module_4,271,0,110,11220,19730,19730,True
25,25,window_40us_extended,40000,11500,11530,11530,30950,31060,110,19420,19530,module_3,module_4,272,0,110,11640,19420,19420,True
26,26,window_40us_extended,40000,11920,11950,11950,31060,31170,110,19110,19220,module_3,module_4,273,0,110,12060,19110,19110,True
27,27,window_40us_extended,40000,12340,12370,12370,31170,31280,110,18800,18910,module_3,module_4,274,0,110,12480,18800,18800,True
28,28,window_40us_extended,40000,12760,12790,12790,31280,31390,110,18490,18600,module_3,module_4,275,0,110,12900,18490,18490,True
29,29,window_40us_extended,40000,13180,13210,13210,31390,31500,110,18180,18290,module_3,module_4,276,0,110,13320,18180,18180,True
30,30,window_40us_extended,40000,13600,13630,13630,31500,31610,110,17870,17980,module_3,module_4,277,0,110,13740,17870,17870,True
31,31,window_40us_extended,40000,14020,14050,14050,31610,31720,110,17560,17670,module_3,module_4,278,0,110,14160,17560,17560,True
32,32,window_40us_extended,40000,14440,14470,14470,31720,31830,110,17250,17360,module_3,module_4,279,0,110,14580,17250,17250,True
33,33,window_40us_extended,40000,14860,14890,14890,31830,31940,110,16940,17050,module_3,module_4,280,0,110,15000,16940,16940,True
34,34,window_40us_extended,40000,15280,15310,15310,31940,32050,110,16630,16740,module_3,module_4,281,0,110,15420,16630,16630,True
35,35,window_40us_extended,40000,15700,15730,15730,32050,32160,110,16320,16430,module_3,module_4,282,0,110,15840,16320,16320,True
36,36,window_40us_extended,40000,16120,16150,16150,32160,32270,110,16010,16120,module_3,module_4,283,0,110,16260,16010,16010,True
37,37,window_40us_extended,40000,16540,16570,16570,32270,32380,110,15700,15810,module_3,module_4,284,0,110,16680,15700,15700,True
38,38,window_40us_extended,40000,16960,16990,16990,32380,32490,110,15390,15500,module_3,module_4,285,0,110,17100,15390,15390,True
39,39,window_40us_extended,40000,17380,17410,17410,32490,32600,110,15080,15190,module_3,module_4,286,0,110,17520,15080,15080,True
40,40,window_40us_extended,40000,17800,17830,17830,32600,32710,110,14770,14880,module_3,module_4,287,0,110,17940,14770,14770,True
41,41,window_40us_extended,40000,18220,18250,18250,32710,32820,110,14460,14570,module_3,module_4,288,0,110,18360,14460,14460,True
42,42,window_40us_extended,40000,18640,18670,18670,32820,32930,110,14150,14260,module_3,module_4,289,0,110,18780,14150,14150,True
43,43,window_40us_extended,40000,19060,19090,19090,32930,33040,110,13840,13950,module_3,module_4,290,0,110,19200,13840,13840,True
44,44,window_40us_extended,40000,19480,19510,19510,33040,33150,110,13530,13640,module_3,module_4,291,0,110,19620,13530,13530,True
45,45,window_40us_extended,40000,19900,19930,19930,33150,33260,110,13220,13330,module_3,module_4,292,0,110,20040,13220,13220,True
46,46,window_40us_extended,40000,20320,20350,20350,33260,33370,110,12910,13020,module_3,module_4,293,0,110,20460,12910,12910,True
47,47,window_40us_extended,40000,20740,20770,20770,33370,33480,110,12600,12710,module_3,module_4,294,0,110,20880,12600,12600,True
48,48,window_40us_extended,40000,21160,21190,21190,33480,33590,110,12290,12400,module_3,module_4,295,0,110,21300,12290,12290,True
49,49,window_40us_extended,40000,21580,21610,21610,33590,33700,110,11980,12090,module_3,module_4,296,0,110,21720,11980,11980,True
50,50,window_40us_extended,40000,22000,22030,22030,33700,33810,110,11670,11780,module_3,module_4,297,0,110,22140,11670,11670,True
51,51,window_40us_extended,40000,22420,22450,22450,33810,33920,110,11360,11470,module_3,module_4,298,0,110,22560,11360,11360,True
52,52,window_40us_extended,40000,22840,22870,22870,33920,34030,110,11050,11160,module_3,module_4,299,0,110,22980,11050,11050,True
53,53,window_40us_extended,40000,23260,23290,23290,34030,34140,110,10740,10850,module_3,module_4,300,0,110,23400,10740,10740,True
54,54,window_40us_extended,40000,23680,23710,23710,34140,34250,110,10430,10540,module_3,module_4,301,0,110,23820,10430,10430,True
55,55,window_40us_extended,40000,24100,24130,24130,34250,34360,110,10120,10230,module_3,module_4,302,0,110,24240,10120,10120,True
56,56,window_40us_extended,40000,24520,24550,24550,34360,34470,110,9810,9920,module_3,module_4,303,0,110,24660,9810,9810,True
57,57,window_40us_extended,40000,24940,24970,24970,34470,34580,110,9500,9610,module_3,module_4,304,0,110,25080,9500,9500,True
58,58,window_40us_extended,40000,25360,25390,25390,34580,34690,110,9190,9300,module_3,module_4,305,0,110,25500,9190,9190,True
59,59,window_40us_extended,40000,25780,25810,25810,34690,34800,110,8880,8990,module_3,module_4,306,0,110,25920,8880,8880,True
60,60,window_40us_extended,40000,26200,26230,26230,34800,34910,110,8570,8680,module_3,module_4,307,0,110,26340,8570,8570,True
61,61,window_40us_extended,40000,26620,26650,26650,34910,35020,110,8260,8370,module_3,module_4,308,0,110,26760,8260,8260,True
62,62,window_40us_extended,40000,27040,27070,27070,35020,35130,110,7950,8060,module_3,module_4,309,0,110,27180,7950,7950,True
63,63,window_40us_extended,40000,27460,27490,27490,35130,35240,110,7640,7750,module_3,module_4,310,0,110,27600,7640,7640,True
64,64,window_40us_extended,40000,27880,27910,27910,35240,35350,110,7330,7440,module_3,module_4,311,0,110,28020,7330,7330,True
