allocation_policy,num_modules,simultaneous_tenants,victim_modules_requested,trials,victim_rejection_probability,attacker_rejection_probability,mean_job_rejection_rate
communication_consolidating,5,2,2,100,0.0,0.0,0.0
communication_consolidating,5,2,3,100,0.0,0.0,0.0
communication_consolidating,5,3,2,100,0.0,0.0,0.0
communication_consolidating,5,3,3,100,0.0,0.0,0.0
communication_consolidating,5,4,2,100,0.0,0.0,0.0
communication_consolidating,5,4,3,100,0.0,0.0,0.25
communication_consolidating,5,8,2,100,0.0,0.0,0.5
communication_consolidating,5,8,3,100,0.0,0.0,0.625
communication_consolidating,8,2,2,100,0.0,0.0,0.0
communication_consolidating,8,2,3,100,0.0,0.0,0.0
communication_consolidating,8,3,2,100,0.0,0.0,0.0
communication_consolidating,8,3,3,100,0.0,0.0,0.0
communication_consolidating,8,4,2,100,0.0,0.0,0.0
communication_consolidating,8,4,3,100,0.0,0.0,0.0
communication_consolidating,8,8,2,100,0.0,0.0,0.0
communication_consolidating,8,8,3,100,0.0,0.0,0.375
communication_consolidating,12,2,2,100,0.0,0.0,0.0
communication_consolidating,12,2,3,100,0.0,0.0,0.0
communication_consolidating,12,3,2,100,0.0,0.0,0.0
communication_consolidating,12,3,3,100,0.0,0.0,0.0
communication_consolidating,12,4,2,100,0.0,0.0,0.0
communication_consolidating,12,4,3,100,0.0,0.0,0.0
communication_consolidating,12,8,2,100,0.0,0.0,0.0
communication_consolidating,12,8,3,100,0.0,0.0,0.0
communication_consolidating,16,2,2,100,0.0,0.0,0.0
communication_consolidating,16,2,3,100,0.0,0.0,0.0
communication_consolidating,16,3,2,100,0.0,0.0,0.0
communication_consolidating,16,3,3,100,0.0,0.0,0.0
communication_consolidating,16,4,2,100,0.0,0.0,0.0
communication_consolidating,16,4,3,100,0.0,0.0,0.0
communication_consolidating,16,8,2,100,0.0,0.0,0.0
communication_consolidating,16,8,3,100,0.0,0.0,0.0
communication_minimizing,5,2,2,100,0.0,0.0,0.0
communication_minimizing,5,2,3,100,0.0,0.0,0.0
communication_minimizing,5,3,2,100,0.0,0.0,0.0
communication_minimizing,5,3,3,100,0.0,0.0,0.0
communication_minimizing,5,4,2,100,0.0,0.0,0.0
communication_minimizing,5,4,3,100,0.0,0.0,0.25
communication_minimizing,5,8,2,100,0.0,0.0,0.375
communication_minimizing,5,8,3,100,0.0,0.0,0.625
communication_minimizing,8,2,2,100,0.0,0.0,0.0
communication_minimizing,8,2,3,100,0.0,0.0,0.0
communication_minimizing,8,3,2,100,0.0,0.0,0.0
communication_minimizing,8,3,3,100,0.0,0.0,0.0
communication_minimizing,8,4,2,100,0.0,0.0,0.0
communication_minimizing,8,4,3,100,0.0,0.0,0.0
communication_minimizing,8,8,2,100,0.0,0.0,0.0
communication_minimizing,8,8,3,100,0.0,0.0,0.375
communication_minimizing,12,2,2,100,0.0,0.0,0.0
communication_minimizing,12,2,3,100,0.0,0.0,0.0
communication_minimizing,12,3,2,100,0.0,0.0,0.0
communication_minimizing,12,3,3,100,0.0,0.0,0.0
communication_minimizing,12,4,2,100,0.0,0.0,0.0
communication_minimizing,12,4,3,100,0.0,0.0,0.0
communication_minimizing,12,8,2,100,0.0,0.0,0.0
communication_minimizing,12,8,3,100,0.0,0.0,0.0
communication_minimizing,16,2,2,100,0.0,0.0,0.0
communication_minimizing,16,2,3,100,0.0,0.0,0.0
communication_minimizing,16,3,2,100,0.0,0.0,0.0
communication_minimizing,16,3,3,100,0.0,0.0,0.0
communication_minimizing,16,4,2,100,0.0,0.0,0.0
communication_minimizing,16,4,3,100,0.0,0.0,0.0
communication_minimizing,16,8,2,100,0.0,0.0,0.0
communication_minimizing,16,8,3,100,0.0,0.0,0.0
endpoint_separation,5,2,2,100,0.0,0.0,0.0
endpoint_separation,5,2,3,100,0.0,0.0,0.0
endpoint_separation,5,3,2,100,0.0,0.0,0.33333333333333326
endpoint_separation,5,3,3,100,0.0,0.0,0.33333333333333326
endpoint_separation,5,4,2,100,0.0,0.0,0.5
endpoint_separation,5,4,3,100,0.0,0.0,0.5
endpoint_separation,5,8,2,100,0.0,0.0,0.75
endpoint_separation,5,8,3,100,0.0,0.0,0.75
endpoint_separation,8,2,2,100,0.0,0.0,0.0
endpoint_separation,8,2,3,100,0.0,0.0,0.0
endpoint_separation,8,3,2,100,0.0,0.0,0.0
endpoint_separation,8,3,3,100,0.0,0.0,0.0
endpoint_separation,8,4,2,100,0.0,0.0,0.0
endpoint_separation,8,4,3,100,0.0,0.0,0.25
endpoint_separation,8,8,2,100,0.0,0.0,0.5
endpoint_separation,8,8,3,100,0.0,0.0,0.625
endpoint_separation,12,2,2,100,0.0,0.0,0.0
endpoint_separation,12,2,3,100,0.0,0.0,0.0
endpoint_separation,12,3,2,100,0.0,0.0,0.0
endpoint_separation,12,3,3,100,0.0,0.0,0.0
