tenancy_model,endpoint_lock_scope,actual_sharing_condition,trial_count,mean_node_only_endpoint_wait_ns,mean_node_only_leakage_ns,detection_probability
dedicated_communication_interface,communication_qubit_specific,local_route_overlap,316,5.122626582278481,50.270965189873415,0.2016745780590717
dedicated_communication_interface,communication_qubit_specific,reset_pipeline_overlap,416,4.0041566506410255,44.089793669871796,0.1999198717948718
dedicated_communication_interface,communication_qubit_specific,shared_module_fully_isolated,420,0.0,0.0,0.0
dedicated_communication_interface,module_wide,module_wide_endpoint_lock,1152,51.44965277777778,46.953125,0.201171875
hybrid_shared_pipeline,communication_qubit_specific,local_route_overlap,321,4.706645898234683,47.80081775700935,0.19931204569055036
hybrid_shared_pipeline,communication_qubit_specific,reset_pipeline_overlap,831,4.415363016446049,46.62567689530686,0.2018902928198957
hybrid_shared_pipeline,module_wide,module_wide_endpoint_lock,1152,51.44965277777778,46.953125,0.201171875
module_exclusive,communication_qubit_specific,module_disjoint,2340,0.0,0.0,0.0
module_exclusive,module_wide,module_disjoint,2340,0.0,0.0,0.0
shared_communication_interface,communication_qubit_specific,communication_qubit_overlap,1920,35.22482638888889,41.63400607638889,0.18441840277777777
shared_communication_interface,module_wide,module_wide_endpoint_lock,1920,84.17708333333333,46.953125,0.201171875
spatial_qubit_partitioning,communication_qubit_specific,communication_qubit_overlap,1391,30.474179247543734,39.711688233884495,0.17691109513539421
spatial_qubit_partitioning,communication_qubit_specific,local_route_overlap,139,5.508093525179856,45.41591726618705,0.19349520383693045
spatial_qubit_partitioning,communication_qubit_specific,reset_pipeline_overlap,190,5.239035087719298,47.35361842105263,0.19879385964912283
spatial_qubit_partitioning,communication_qubit_specific,shared_module_fully_isolated,200,0.0,0.0,0.0
spatial_qubit_partitioning,module_wide,module_wide_endpoint_lock,1920,71.6181640625,46.953125,0.201171875
time_sliced_module_sharing,communication_qubit_specific,time_sliced_shared_module,2160,135.1659915123457,376.08323688271605,0.7035300925925926
time_sliced_module_sharing,module_wide,time_sliced_shared_module,2160,319.400462962963,384.56886574074076,0.7100694444444444
