allocation_policy,tenants_sharing_module,trial_count,mean_cq_queue_delay_ns,mean_excess_cq_queue_delay_ns,mean_excess_latency_ns,mean_detection_probability,mean_balanced_detection_accuracy,mean_conflict_count,mean_request_failure_rate,mean_cq_utilization,mean_reset_utilization,mean_allocation_hold_utilization,mean_reservation_utilization,mean_effective_cq_utilization,mean_epr_wastage_fraction,mean_grant_fairness,mean_wait_fairness,mean_victim_slowdown_ratio,mean_allocation_change_probability,mean_redirected_endpoints
coherence_aware,2,60,0.0,0.0,0.0,0.0,0.5,4546.7,0.06925316339629561,0.08697853476434904,0.039535697620158655,0.0,0.2612103359776015,0.38772456836210917,0.0,0.8928075390481245,0.5543234094236252,0.9179459614069312,0.0,0.0
coherence_aware,3,60,3.276736111111111,0.0,0.0,0.0,0.5,5536.1,0.07864879050756728,0.09414351600927996,0.04279250727694543,0.0,0.28880018588142525,0.42573620916765065,0.0,0.7858768634388774,0.4716900562740592,0.9207388642493002,0.012847222222222223,0.0
coherence_aware,4,375,75.68255555555555,55.13927777777778,55.13927777777778,0.03383333333333333,0.5169166666666667,9687.709333333334,0.06315643959245477,0.12002894085268018,0.0697429378532021,0.02636470377763001,0.3883484766421531,0.6044850591256653,0.05316090809688513,0.7547548415945675,0.32670090339885977,1.186162115610486,0.12322222222222223,0.0
coherence_aware,8,60,5.965972222222222,-5.102777777777778,-5.102777777777778,0.0,0.5,18310.466666666667,0.141994942252813,0.12471157013437854,0.05668707733380843,0.0,0.3766974054006119,0.5580960528687988,0.0,0.6644296401669237,0.22385423398147047,0.9660691747233188,0.03715277777777778,0.0
fair_share,2,60,0.0,0.0,0.0,0.0,0.5,4611.35,0.06925316339629561,0.08697853476434904,0.039535697620158655,0.0,0.306677554829678,0.43319178721418566,0.0,0.8928075390481245,0.5534682211451366,0.9179459614069312,0.415625,0.0
fair_share,3,60,1.6850694444444443,0.0,0.0,0.0,0.5,5708.7,0.07849318119151019,0.09471674982259294,0.04305306810117861,0.0,0.3352022993171188,0.47297211724089033,0.0,0.7867021170218031,0.4456725754689335,0.9350592082854393,0.3993055555555555,0.0
fair_share,4,375,41.87416666666667,39.227,39.10755555555556,0.03411111111111111,0.5170555555555556,10020.586666666666,0.07639754749993839,0.11845615754538374,0.06838010600137694,0.02880700981618948,0.46458394989734847,0.6802272232602986,0.07295240825846587,0.7545337947110149,0.3174729619246887,1.142765339176594,0.3652222222222222,0.0
fair_share,8,60,3.7305555555555556,0.0,0.0,0.0,0.5,19044.533333333333,0.15355350259762027,0.12286871580365315,0.05584941627438779,0.0,0.42854003916052097,0.607258171238562,0.0,0.6825728270203804,0.19400855776627915,0.9526525059797504,0.45,0.0
first_available,2,60,0.0,0.0,0.0,0.0,0.5,4611.35,0.06925316339629561,0.08697853476434904,0.039535697620158655,0.0,0.3114745683621092,0.43798880074661695,0.0,0.8928075390481245,0.5534682211451366,0.9179459614069312,0.5145833333333333,0.0
first_available,3,60,1.7770833333333333,0.0,0.0,0.0,0.5,5686.85,0.0821002652171536,0.09417566702205525,0.04280712137366148,0.0,0.3384480261998683,0.475430814595585,0.0,0.7812309130291625,0.42147825654957544,0.9200312883347151,0.5350694444444444,0.0
