victim_qasm,victim_tag,trial_id,configuration_id,subexperiment,allocation_policy,communication_qubits_per_module,tenants_sharing_module,reservation_duration_ns,reset_time_ns,epr_prefetch_enabled,allocation_coordination,allocation_granularity,hub_capacity,attacker_probe_count,attacker_baseline_rejected,attacker_combined_rejected,victim_only_rejected,victim_combined_rejected,attacker_combined_failed_request_count,victim_combined_failed_request_count,baseline_avg_communication_qubit_queue_delay_ns,combined_avg_communication_qubit_queue_delay_ns,avg_excess_communication_qubit_queue_delay_ns,avg_excess_turnaround_time_ns,max_excess_turnaround_time_ns,total_effective_excess_turnaround_time_ns,delayed_or_failed_probe_count,attacker_detection_probability,balanced_detection_accuracy,allocation_change_probability,allocation_conflict_count,redirected_endpoint_count,combined_failed_request_count,combined_request_failure_rate,communication_qubit_utilization,reset_utilization,allocation_hold_utilization,reservation_utilization,effective_communication_qubit_utilization,epr_prefetched_pair_count,epr_used_pair_count,epr_wasted_pair_count,epr_stranded_pair_count,epr_pair_wastage_fraction,jain_grant_fairness,jain_inverse_wait_fairness,victim_only_completion_time_ns,combined_victim_completion_time_ns,victim_slowdown_ratio,victim_failed_in_combined,mean_attacker_reuse_delay_ns,mean_victim_reuse_delay_ns
bv_n19.qasm,bv_n19,0,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,810,0,6,0.1,0.11087260849276714,0.050396640223985066,0.0,0.40802613159122725,0.5692953803079794,0,0,0,0,0.0,0.6230769230769231,0.5028489797243552,1970.0,1010.0,0.5126903553299492,True,276.0416666666667,210.83333333333334
bv_n19.qasm,bv_n19,1,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,810,0,6,0.1,0.11087260849276714,0.050396640223985066,0.0,0.40802613159122725,0.5692953803079794,0,0,0,0,0.0,0.6230769230769231,0.5028489797243552,1970.0,1010.0,0.5126903553299492,True,276.0416666666667,210.83333333333334
bv_n19.qasm,bv_n19,2,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,810,0,6,0.1,0.11087260849276714,0.050396640223985066,0.0,0.40802613159122725,0.5692953803079794,0,0,0,0,0.0,0.6230769230769231,0.5028489797243552,1970.0,1010.0,0.5126903553299492,True,276.0416666666667,210.83333333333334
dnn_n16.qasm,dnn_n16,0,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,8835,0,48,0.4,0.14783014465702288,0.06719552029864675,0.0,0.4818478768082128,0.6968735417638824,0,0,0,0,0.0,0.9,0.502169187190032,11835.0,7525.0,0.6358259400084495,True,276.0416666666667,98.4375
dnn_n16.qasm,dnn_n16,1,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,8835,0,48,0.4,0.14783014465702288,0.06719552029864675,0.0,0.4818478768082128,0.6968735417638824,0,0,0,0,0.0,0.9,0.502169187190032,11835.0,7525.0,0.6358259400084495,True,276.0416666666667,98.4375
dnn_n16.qasm,dnn_n16,2,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,8835,0,48,0.4,0.14783014465702288,0.06719552029864675,0.0,0.4818478768082128,0.6968735417638824,0,0,0,0,0.0,0.9,0.502169187190032,11835.0,7525.0,0.6358259400084495,True,276.0416666666667,98.4375
qft_n18.qasm,qft_n18,0,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,8460,0,34,0.2982456140350877,0.16425571628558097,0.07466168922071861,0.0,0.4856742883807746,0.7245916938870742,0,0,0,0,0.0,0.9615384615384616,0.5008795551438686,10520.0,5080.0,0.4828897338403042,True,276.0416666666667,100.53030303030303
qft_n18.qasm,qft_n18,1,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,8460,0,34,0.2982456140350877,0.16425571628558097,0.07466168922071861,0.0,0.4856742883807746,0.7245916938870742,0,0,0,0,0.0,0.9615384615384616,0.5008795551438686,10520.0,5080.0,0.4828897338403042,True,276.0416666666667,100.53030303030303
qft_n18.qasm,qft_n18,2,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,8460,0,34,0.2982456140350877,0.16425571628558097,0.07466168922071861,0.0,0.4856742883807746,0.7245916938870742,0,0,0,0,0.0,0.9615384615384616,0.5008795551438686,10520.0,5080.0,0.4828897338403042,True,276.0416666666667,100.53030303030303
sat_n11.qasm,sat_n11,0,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,3805,0,16,0.19047619047619047,0.13961735884274382,0.06346243583761083,0.0,0.4498366775548297,0.6529164722351843,0,0,0,0,0.0,0.8550295857988166,0.5007351585808062,5755.0,3200.0,0.5560382276281495,True,276.0416666666667,121.31944444444444
sat_n11.qasm,sat_n11,1,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,3805,0,16,0.19047619047619047,0.13961735884274382,0.06346243583761083,0.0,0.4498366775548297,0.6529164722351843,0,0,0,0,0.0,0.8550295857988166,0.5007351585808062,5755.0,3200.0,0.5560382276281495,True,276.0416666666667,121.31944444444444
sat_n11.qasm,sat_n11,2,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,3805,0,16,0.19047619047619047,0.13961735884274382,0.06346243583761083,0.0,0.4498366775548297,0.6529164722351843,0,0,0,0,0.0,0.8550295857988166,0.5007351585808062,5755.0,3200.0,0.5560382276281495,True,276.0416666666667,121.31944444444444
square_root_n18.qasm,square_root_n18,0,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,24514,0,65,0.39634146341463417,0.20326644890340645,0.09239384041063929,0.0,0.5424171721885208,0.8380774615025665,0,0,0,0,0.0,0.9990825688073395,0.5003535993900295,12465.0,8145.0,0.6534296028880866,True,276.0416666666667,98.87820512820512
square_root_n18.qasm,square_root_n18,1,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,24514,0,65,0.39634146341463417,0.20326644890340645,0.09239384041063929,0.0,0.5424171721885208,0.8380774615025665,0,0,0,0,0.0,0.9990825688073395,0.5003535993900295,12465.0,8145.0,0.6534296028880866,True,276.0416666666667,98.87820512820512
square_root_n18.qasm,square_root_n18,2,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,2,500,50,False,global,per_operation,64,48,False,False,False,False,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,24514,0,65,0.39634146341463417,0.20326644890340645,0.09239384041063929,0.0,0.5424171721885208,0.8380774615025665,0,0,0,0,0.0,0.9990825688073395,0.5003535993900295,12465.0,8145.0,0.6534296028880866,True,276.0416666666667,98.87820512820512
bv_n19.qasm,bv_n19,0,core_policy_capacity_tenancy__coherence_aware__cq1__ten3__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,3,500,50,False,global,per_operation,64,48,False,False,False,False,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,2859,0,15,0.1875,0.12072604474461798,0.054875474883917266,0.0,0.40726044744617984,0.582861967074715,0,0,0,0,0.0,0.5722605986726264,0.33532478518471964,1970.0,1010.0,0.5126903553299492,True,276.0416666666667,160.45833333333334
bv_n19.qasm,bv_n19,1,core_policy_capacity_tenancy__coherence_aware__cq1__ten3__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,3,500,50,False,global,per_operation,64,48,False,False,False,False,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,2366,0,15,0.1875,0.12072604474461798,0.054875474883917266,0.0,0.40726044744617984,0.582861967074715,0,0,0,0,0.0,0.5722605986726264,0.33542833617823814,1970.0,1010.0,0.5126903553299492,True,276.0416666666667,210.83333333333334
bv_n19.qasm,bv_n19,2,core_policy_capacity_tenancy__coherence_aware__cq1__ten3__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,3,500,50,False,global,per_operation,64,48,False,False,False,False,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,2642,0,13,0.1625,0.12278217409412745,0.0558100791336943,0.0,0.40716368179925033,0.585755935027072,0,0,0,0,0.0,0.5963863425003322,0.3353317092764664,1970.0,1010.0,0.5126903553299492,True,276.0416666666667,210.83333333333334
dnn_n16.qasm,dnn_n16,0,core_policy_capacity_tenancy__coherence_aware__cq1__ten3__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,3,500,50,False,global,per_operation,64,48,False,False,False,False,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,12081,0,57,0.40714285714285714,0.15415787252005064,0.07007176023638666,0.0,0.47403967918953144,0.6982693119459688,0,0,0,0,0.0,0.7651893813173387,0.3349154411530125,12675.0,7525.0,0.5936883629191322,True,276.0416666666667,103.57638888888889
dnn_n16.qasm,dnn_n16,1,core_policy_capacity_tenancy__coherence_aware__cq1__ten3__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,3,500,50,False,global,per_operation,64,48,False,False,False,False,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,12725,0,58,0.4142857142857143,0.1533361665958351,0.06969825754356142,0.0,0.47454313642158946,0.697577560560986,0,0,0,0,0.0,0.7521252796420582,0.334876537423748,13143.0,7525.0,0.5725481244769078,True,276.0416666666667,94.06944444444444
dnn_n16.qasm,dnn_n16,2,core_policy_capacity_tenancy__coherence_aware__cq1__ten3__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,3,500,50,False,global,per_operation,64,48,False,False,False,False,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,11815,0,55,0.39285714285714285,0.15576842982090797,0.07080383173677635,0.0,0.47305289462723865,0.6996251561849229,0,0,0,0,0.0,0.789876462228053,0.3349166295673997,11875.0,7525.0,0.6336842105263157,True,276.0416666666667,78.57638888888889
qft_n18.qasm,qft_n18,0,core_policy_capacity_tenancy__coherence_aware__cq1__ten3__res500__reset50__noepr__global__per_operation,core_policy_capacity_tenancy,coherence_aware,1,3,500,50,False,global,per_operation,64,48,False,False,False,False,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,11545,0,47,0.35074626865671643,0.16463099948391535,0.0748322724926888,0.0,0.4789609495957337,0.7184242215723379,0,0,0,0,0.0,0.7471128220313888,0.3340621613106589,10520.0,5080.0,0.4828897338403042,True,276.0416666666667,100.53030303030303
