subexperiment,configuration_id,allocation_policy,communication_qubits_per_module,tenants_sharing_module,reservation_duration_ns,reset_time_ns,epr_prefetch_enabled,allocation_coordination,allocation_granularity,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq1__ten2__res500__reset50__noepr__global__per_operation,coherence_aware,1,2,500,50,False,global,per_operation,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.27701265358518246,0.1531684554363042,0.06962202519832004,0.473560429304713,0.0,0.6963509099393372,0.0,,0,0,0,0.8677455078443082,0.5013972960058183,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq1__ten3__res500__reset50__noepr__global__per_operation,coherence_aware,1,3,500,50,False,global,per_operation,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.31459516203026905,0.1590167445714482,0.07228033844156735,0.4671396008094152,0.0,0.6984366838224307,0.0,,0,0,0,0.7286333916263108,0.3405727294119867,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq1__ten4__res500__reset50__noepr__global__per_operation,coherence_aware,1,4,500,50,False,global,per_operation,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3500621921300289,0.16235736015583963,0.07379880007083618,0.46175343668711155,0.0,0.6979095969137873,0.0,,0,0,0,0.6550421395485686,0.26293158012264145,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq1__ten8__res500__reset50__noepr__global__per_operation,coherence_aware,1,8,500,50,False,global,per_operation,15,0,1.0,0.0,0.023611111111111114,0.023611111111111114,0.0,0.0,0.023611111111111114,0.023611111111111114,-20.41111111111111,20.41111111111111,979.7333333333333,-20.41111111111111,20.41111111111111,,,0.4883984980774541,0.1651263476733256,0.07505743076060252,0.45149497718772785,0.0,0.6916787556216559,0.0,,0,0,0,0.4774702420662243,0.14118562272454868,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq2__ten2__res500__reset50__noepr__global__per_operation,coherence_aware,2,2,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992059005155985,1.2503008423586042,0.0,0.11128324778348107,0.0505832944470368,0.30480634624358377,0.0,0.4666728884741016,0.0,,0,0,0,0.9011615494493965,0.5012184224087022,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq2__ten3__res500__reset50__noepr__global__per_operation,coherence_aware,2,3,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043055555555555555,0.0,0.0,0.0,0.0,0.0,1.1159697360057392,1.3394332939787486,0.0,0.12390690101289309,0.056321318642224116,0.3613325324979779,0.0,0.5415607521530952,0.0,,0,0,0,0.804958020709733,0.34843557475850595,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq2__ten4__res500__reset50__noepr__global__per_operation,coherence_aware,2,4,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10555555555555556,0.0,0.0,0.0,0.0,0.0,1.2055289570945213,2.1379310344827585,0.00531862745098038,0.14028552125724172,0.06376614602601896,0.4105905137073234,0.0,0.6146421809905841,0.0,,0,0,0,0.7625299952274943,0.2518539709200986,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq2__ten8__res500__reset50__noepr__global__per_operation,coherence_aware,2,8,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2866660212212297,2.107389162561576,0.07958127093379783,0.17292373609211245,0.07860169822368744,0.4311466609055448,0.0,0.6826720952213446,0.0,,0,0,0,0.6837718517924822,0.13159778721608578,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq4__ten2__res500__reset50__noepr__global__per_operation,coherence_aware,4,2,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0040462427745664,1.0202312138728324,0.0,0.05564162389174052,0.02529164722351838,0.1696966868875408,0.0,0.2506299580027997,0.0,,0,0,0,0.9011615494493965,0.5061773510579961,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq4__ten3__res500__reset50__noepr__global__per_operation,coherence_aware,4,3,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005656883552859,1.033467974610502,0.0,0.06267610702373692,0.028489139556244027,0.2105928631741313,0.0,0.30175810975411227,0.0,,0,0,0,0.804958020709733,0.46642207222538157,1.0,
