scope,sample_count,true_positive,true_negative,false_positive,false_negative,accuracy,balanced_accuracy,sensitivity_recall,specificity,precision,f1,subexperiment,allocation_policy,communication_qubits_per_module
overall,11100,603,4759,791,4947,0.48306306306306307,0.48306306306306307,0.10864864864864865,0.8574774774774775,0.43256814921090386,0.17367511520737325,,,
subexperiment,4800,90,2205,195,2310,0.478125,0.47812499999999997,0.0375,0.91875,0.3157894736842105,0.0670391061452514,core_policy_capacity_tenancy,,
subexperiment,3600,192,1503,297,1608,0.4708333333333333,0.4708333333333333,0.10666666666666667,0.835,0.39263803680981596,0.16775884665792923,epr_coordination_granularity,,
subexperiment,2700,321,1051,299,1029,0.5081481481481481,0.5081481481481481,0.23777777777777778,0.7785185185185185,0.5177419354838709,0.3258883248730965,reservation_reset,,
policy,480,2,211,29,238,0.44375,0.44375,0.008333333333333333,0.8791666666666667,0.06451612903225806,0.014760147601476016,core_policy_capacity_tenancy,coherence_aware,
policy,480,1,218,22,239,0.45625,0.45625,0.004166666666666667,0.9083333333333333,0.043478260869565216,0.007604562737642586,core_policy_capacity_tenancy,fair_share,
policy,480,2,214,26,238,0.45,0.45,0.008333333333333333,0.8916666666666667,0.07142857142857142,0.014925373134328358,core_policy_capacity_tenancy,first_available,
policy,480,60,240,0,180,0.625,0.625,0.25,1.0,1.0,0.4,core_policy_capacity_tenancy,per_tenant_reserved,
policy,480,2,226,14,238,0.475,0.475,0.008333333333333333,0.9416666666666667,0.125,0.015625,core_policy_capacity_tenancy,predicted_demand,
policy,480,5,207,33,235,0.44166666666666665,0.4416666666666667,0.020833333333333332,0.8625,0.13157894736842105,0.03597122302158273,core_policy_capacity_tenancy,priority_allocation,
policy,480,2,212,28,238,0.44583333333333336,0.4458333333333333,0.008333333333333333,0.8833333333333333,0.06666666666666667,0.014814814814814815,core_policy_capacity_tenancy,random_allocation,
policy,480,1,217,23,239,0.45416666666666666,0.45416666666666666,0.004166666666666667,0.9041666666666667,0.041666666666666664,0.007575757575757575,core_policy_capacity_tenancy,round_robin,
policy,480,14,232,8,226,0.5125,0.5125,0.058333333333333334,0.9666666666666667,0.6363636363636364,0.1068702290076336,core_policy_capacity_tenancy,shared_global_pool,
policy,480,1,228,12,239,0.47708333333333336,0.4770833333333333,0.004166666666666667,0.95,0.07692307692307693,0.007905138339920948,core_policy_capacity_tenancy,static_assignment,
policy,360,1,174,6,179,0.4861111111111111,0.4861111111111111,0.005555555555555556,0.9666666666666667,0.14285714285714285,0.0106951871657754,epr_coordination_granularity,coherence_aware,
policy,360,33,129,51,147,0.45,0.45,0.18333333333333332,0.7166666666666667,0.39285714285714285,0.25,epr_coordination_granularity,fair_share,
policy,360,1,170,10,179,0.475,0.475,0.005555555555555556,0.9444444444444444,0.09090909090909091,0.010471204188481676,epr_coordination_granularity,first_available,
policy,360,0,180,0,180,0.5,0.5,0.0,1.0,,,epr_coordination_granularity,per_tenant_reserved,
policy,360,2,174,6,178,0.4888888888888889,0.4888888888888889,0.011111111111111112,0.9666666666666667,0.25,0.02127659574468085,epr_coordination_granularity,predicted_demand,
policy,360,0,174,6,180,0.48333333333333334,0.48333333333333334,0.0,0.9666666666666667,0.0,,epr_coordination_granularity,priority_allocation,
policy,360,38,90,90,142,0.35555555555555557,0.35555555555555557,0.2111111111111111,0.5,0.296875,0.24675324675324672,epr_coordination_granularity,random_allocation,
policy,360,28,118,62,152,0.40555555555555556,0.40555555555555556,0.15555555555555556,0.6555555555555556,0.3111111111111111,0.2074074074074074,epr_coordination_granularity,round_robin,
policy,360,89,114,66,91,0.5638888888888889,0.5638888888888889,0.49444444444444446,0.6333333333333333,0.5741935483870968,0.5313432835820896,epr_coordination_granularity,shared_global_pool,
policy,360,0,180,0,180,0.5,0.5,0.0,1.0,,,epr_coordination_granularity,static_assignment,
policy,270,41,94,41,94,0.5,0.5,0.3037037037037037,0.6962962962962963,0.5,0.3778801843317972,reservation_reset,coherence_aware,
policy,270,40,95,40,95,0.5,0.5,0.2962962962962963,0.7037037037037037,0.5,0.37209302325581395,reservation_reset,fair_share,
policy,270,40,92,43,95,0.4888888888888889,0.4888888888888889,0.2962962962962963,0.6814814814814815,0.4819277108433735,0.36697247706422015,reservation_reset,first_available,
policy,270,0,135,0,135,0.5,0.5,0.0,1.0,,,reservation_reset,per_tenant_reserved,
policy,270,39,87,48,96,0.4666666666666667,0.4666666666666667,0.28888888888888886,0.6444444444444445,0.4482758620689655,0.35135135135135137,reservation_reset,predicted_demand,
policy,270,41,95,40,94,0.5037037037037037,0.5037037037037038,0.3037037037037037,0.7037037037037037,0.5061728395061729,0.3796296296296296,reservation_reset,priority_allocation,
policy,270,39,92,43,96,0.48518518518518516,0.48518518518518516,0.28888888888888886,0.6814814814814815,0.47560975609756095,0.35944700460829493,reservation_reset,random_allocation,
policy,270,39,91,44,96,0.48148148148148145,0.48148148148148145,0.28888888888888886,0.674074074074074,0.46987951807228917,0.3577981651376147,reservation_reset,round_robin,
policy,270,42,135,0,93,0.6555555555555556,0.6555555555555556,0.3111111111111111,1.0,1.0,0.4745762711864407,reservation_reset,shared_global_pool,
policy,270,0,135,0,135,0.5,0.5,0.0,1.0,,,reservation_reset,static_assignment,
capacity,1200,87,446,154,513,0.44416666666666665,0.44416666666666665,0.145,0.7433333333333333,0.36099585062240663,0.20689655172413796,core_policy_capacity_tenancy,,1.0
capacity,1200,3,559,41,597,0.4683333333333333,0.4683333333333333,0.005,0.9316666666666666,0.06818181818181818,0.009316770186335402,core_policy_capacity_tenancy,,2.0
capacity,1200,0,600,0,600,0.5,0.5,0.0,1.0,,,core_policy_capacity_tenancy,,4.0
capacity,1200,0,600,0,600,0.5,0.5,0.0,1.0,,,core_policy_capacity_tenancy,,8.0
capacity,3600,192,1503,297,1608,0.4708333333333333,0.4708333333333333,0.10666666666666667,0.835,0.39263803680981596,0.16775884665792923,epr_coordination_granularity,,2.0
capacity,2700,321,1051,299,1029,0.5081481481481481,0.5081481481481481,0.23777777777777778,0.7785185185185185,0.5177419354838709,0.3258883248730965,reservation_reset,,2.0
