task,knowledge_level,probe_strategy,sample_count,class_count,chance_accuracy,accuracy,balanced_accuracy,macro_f1,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,false_positive_rate
victim_presence,attacker_known_victim_unknown_policy_known,adaptive_explore_exploit,720,2,0.5,0.6583333333333333,0.6583333333333333,0.620253164556962,123,351,9,237,0.3416666666666667,0.975,0.025
victim_presence,attacker_known_victim_unknown_policy_known,one_shot_candidate_cycle,720,2,0.5,0.6902777777777778,0.6902777777777778,0.6646609537613906,149,348,12,211,0.41388888888888886,0.9666666666666667,0.03333333333333333
victim_presence,attacker_known_victim_unknown_policy_known,one_shot_fixed,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,attacker_known_victim_unknown_policy_known,one_shot_knowledge_guided,720,2,0.5,0.6708333333333333,0.6708333333333333,0.6352092352092352,129,354,6,231,0.35833333333333334,0.9833333333333333,0.016666666666666666
victim_presence,attacker_known_victim_unknown_policy_unknown,adaptive_explore_exploit,720,2,0.5,0.6583333333333333,0.6583333333333333,0.620253164556962,123,351,9,237,0.3416666666666667,0.975,0.025
victim_presence,attacker_known_victim_unknown_policy_unknown,one_shot_candidate_cycle,720,2,0.5,0.6902777777777778,0.6902777777777778,0.6646609537613906,149,348,12,211,0.41388888888888886,0.9666666666666667,0.03333333333333333
victim_presence,attacker_known_victim_unknown_policy_unknown,one_shot_fixed,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,attacker_known_victim_unknown_policy_unknown,one_shot_knowledge_guided,720,2,0.5,0.6791666666666667,0.6791666666666667,0.6457953100675315,134,355,5,226,0.37222222222222223,0.9861111111111112,0.013888888888888888
victim_presence,both_physical_unknown_policy_known,adaptive_explore_exploit,720,2,0.5,0.6583333333333333,0.6583333333333333,0.620253164556962,123,351,9,237,0.3416666666666667,0.975,0.025
victim_presence,both_physical_unknown_policy_known,one_shot_candidate_cycle,720,2,0.5,0.6902777777777778,0.6902777777777778,0.6646609537613906,149,348,12,211,0.41388888888888886,0.9666666666666667,0.03333333333333333
victim_presence,both_physical_unknown_policy_known,one_shot_fixed,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,both_physical_unknown_policy_known,one_shot_knowledge_guided,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,both_physical_unknown_policy_unknown,adaptive_explore_exploit,720,2,0.5,0.6583333333333333,0.6583333333333333,0.620253164556962,123,351,9,237,0.3416666666666667,0.975,0.025
victim_presence,both_physical_unknown_policy_unknown,one_shot_candidate_cycle,720,2,0.5,0.6902777777777778,0.6902777777777778,0.6646609537613906,149,348,12,211,0.41388888888888886,0.9666666666666667,0.03333333333333333
victim_presence,both_physical_unknown_policy_unknown,one_shot_fixed,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,both_physical_unknown_policy_unknown,one_shot_knowledge_guided,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,exact_both_policy_known,adaptive_explore_exploit,720,2,0.5,0.6583333333333333,0.6583333333333333,0.620253164556962,123,351,9,237,0.3416666666666667,0.975,0.025
