task,method,knowledge_level,probe_strategy,sample_count,feature_count,fold_count,accuracy,balanced_accuracy,macro_f1,victim_present_precision,victim_present_recall,specificity,true_negative,false_positive,false_negative,true_positive
victim_presence,random_forest,attacker_known_victim_unknown_policy_known,adaptive_explore_exploit,720,198,5,0.7430555555555556,0.7430555555555556,0.7430510946370597,0.7410468319559229,0.7472222222222222,0.7388888888888889,266,94,91,269
victim_presence,random_forest,attacker_known_victim_unknown_policy_known,one_shot_candidate_cycle,720,198,5,0.7416666666666667,0.7416666666666667,0.7416168242330696,0.7485714285714286,0.7277777777777777,0.7555555555555555,272,88,98,262
victim_presence,random_forest,attacker_known_victim_unknown_policy_known,one_shot_fixed,720,198,5,0.7444444444444445,0.7444444444444445,0.7433035714285714,0.782051282051282,0.6777777777777778,0.8111111111111111,292,68,116,244
victim_presence,random_forest,attacker_known_victim_unknown_policy_known,one_shot_knowledge_guided,720,198,5,0.7444444444444445,0.7444444444444445,0.7436532507739938,0.775,0.6888888888888889,0.8,288,72,112,248
victim_presence,random_forest,attacker_known_victim_unknown_policy_unknown,adaptive_explore_exploit,720,198,5,0.7458333333333333,0.7458333333333333,0.7415208601846784,0.8314606741573034,0.6166666666666667,0.875,315,45,138,222
victim_presence,random_forest,attacker_known_victim_unknown_policy_unknown,one_shot_candidate_cycle,720,198,5,0.7430555555555556,0.7430555555555556,0.7321940185976377,0.9069767441860465,0.5416666666666666,0.9444444444444444,340,20,165,195
victim_presence,random_forest,attacker_known_victim_unknown_policy_unknown,one_shot_fixed,720,198,5,0.75,0.75,0.737012987012987,0.95,0.5277777777777778,0.9722222222222222,350,10,170,190
victim_presence,random_forest,attacker_known_victim_unknown_policy_unknown,one_shot_knowledge_guided,720,198,5,0.7402777777777778,0.7402777777777778,0.7283287496544586,0.9138755980861244,0.5305555555555556,0.95,342,18,169,191
victim_presence,random_forest,both_physical_unknown_policy_known,adaptive_explore_exploit,720,198,5,0.7458333333333333,0.7458333333333333,0.7458093068210537,0.7411444141689373,0.7555555555555555,0.7361111111111112,265,95,88,272
victim_presence,random_forest,both_physical_unknown_policy_known,one_shot_candidate_cycle,720,198,5,0.7416666666666667,0.7416666666666667,0.7402053216006704,0.7843137254901961,0.6666666666666666,0.8166666666666667,294,66,120,240
victim_presence,random_forest,both_physical_unknown_policy_known,one_shot_fixed,720,198,5,0.7444444444444445,0.7444444444444445,0.741564967695621,0.8098591549295775,0.6388888888888888,0.85,306,54,130,230
victim_presence,random_forest,both_physical_unknown_policy_known,one_shot_knowledge_guided,720,198,5,0.7444444444444445,0.7444444444444445,0.7433970450372276,0.7802547770700637,0.6805555555555556,0.8083333333333333,291,69,115,245
victim_presence,random_forest,both_physical_unknown_policy_unknown,adaptive_explore_exploit,720,198,5,0.7402777777777778,0.7402777777777778,0.7305211245899473,0.8878923766816144,0.55,0.9305555555555556,335,25,162,198
victim_presence,random_forest,both_physical_unknown_policy_unknown,one_shot_candidate_cycle,720,198,5,0.7416666666666667,0.7416666666666667,0.7309027777777778,0.9027777777777778,0.5416666666666666,0.9416666666666667,339,21,165,195
victim_presence,random_forest,both_physical_unknown_policy_unknown,one_shot_fixed,720,198,5,0.7458333333333333,0.7458333333333333,0.7328028325819934,0.9402985074626866,0.525,0.9666666666666667,348,12,171,189
victim_presence,random_forest,both_physical_unknown_policy_unknown,one_shot_knowledge_guided,720,198,5,0.7402777777777778,0.7402777777777778,0.7279950544555356,0.9178743961352657,0.5277777777777778,0.9527777777777777,343,17,170,190
victim_presence,random_forest,exact_both_policy_known,adaptive_explore_exploit,720,198,5,0.7444444444444445,0.7444444444444445,0.7442056240780358,0.7603550295857988,0.7138888888888889,0.775,279,81,103,257
victim_presence,random_forest,exact_both_policy_known,one_shot_candidate_cycle,720,198,5,0.7430555555555556,0.7430555555555556,0.7421358200835929,0.7760252365930599,0.6833333333333333,0.8027777777777778,289,71,114,246
victim_presence,random_forest,exact_both_policy_known,one_shot_fixed,720,198,5,0.7444444444444445,0.7444444444444445,0.744,0.7666666666666667,0.7027777777777777,0.7861111111111111,283,77,107,253
victim_presence,random_forest,exact_both_policy_known,one_shot_knowledge_guided,720,198,5,0.7486111111111111,0.7486111111111111,0.7479454810253157,0.7770897832817337,0.6972222222222222,0.8,288,72,109,251
victim_presence,random_forest,exact_both_policy_unknown,adaptive_explore_exploit,720,198,5,0.7472222222222222,0.7472222222222222,0.7469410456062291,0.7648809523809523,0.7138888888888889,0.7805555555555556,281,79,103,257
victim_presence,random_forest,exact_both_policy_unknown,one_shot_candidate_cycle,720,198,5,0.7444444444444445,0.7444444444444445,0.7337962962962963,0.9074074074074074,0.5444444444444444,0.9444444444444444,340,20,164,196
victim_presence,random_forest,exact_both_policy_unknown,one_shot_fixed,720,198,5,0.7486111111111111,0.7486111111111111,0.7357230202040481,0.945273631840796,0.5277777777777778,0.9694444444444444,349,11,170,190
victim_presence,random_forest,exact_both_policy_unknown,one_shot_knowledge_guided,720,198,5,0.7513888888888889,0.7513888888888889,0.741474246718781,0.91324200913242,0.5555555555555556,0.9472222222222222,341,19,160,200
victim_presence,random_forest,logical_identifiers_only_policy_known,adaptive_explore_exploit,720,198,5,0.7416666666666667,0.7416666666666667,0.7416168242330696,0.7351351351351352,0.7555555555555555,0.7277777777777777,262,98,88,272
victim_presence,random_forest,logical_identifiers_only_policy_known,one_shot_candidate_cycle,720,198,5,0.7388888888888889,0.7388888888888889,0.7382344750765804,0.7654320987654321,0.6888888888888889,0.7888888888888889,284,76,112,248
victim_presence,random_forest,logical_identifiers_only_policy_known,one_shot_fixed,720,198,5,0.7430555555555556,0.7430555555555556,0.7422196590409875,0.774294670846395,0.6861111111111111,0.8,288,72,113,247
victim_presence,random_forest,logical_identifiers_only_policy_known,one_shot_knowledge_guided,720,198,5,0.7430555555555556,0.7430555555555556,0.7415474169294203,0.7868852459016393,0.6666666666666666,0.8194444444444444,295,65,120,240
victim_presence,random_forest,logical_identifiers_only_policy_unknown,adaptive_explore_exploit,720,198,5,0.7444444444444445,0.7444444444444445,0.7346982913993223,0.8963963963963963,0.5527777777777778,0.9361111111111111,337,23,161,199
victim_presence,random_forest,logical_identifiers_only_policy_unknown,one_shot_candidate_cycle,720,198,5,0.7444444444444445,0.7444444444444445,0.7331700557507009,0.9150943396226415,0.5388888888888889,0.95,342,18,166,194
victim_presence,random_forest,logical_identifiers_only_policy_unknown,one_shot_fixed,720,198,5,0.7430555555555556,0.7430555555555556,0.7305689001264223,0.926829268292683,0.5277777777777778,0.9583333333333334,345,15,170,190
victim_presence,random_forest,logical_identifiers_only_policy_unknown,one_shot_knowledge_guided,720,198,5,0.7444444444444445,0.7444444444444445,0.7321926724939558,0.9271844660194175,0.5305555555555556,0.9583333333333334,345,15,169,191
