scenario_name,workload_name,dominant_blocking_component,affected_probe_count,mean_dominant_added_wait_ns,max_dominant_added_wait_ns,total_affected_probes,fraction_of_affected_probes
shared_communication_qubit_only,layered_bursty,communication_qubit,250,271.05636919018724,360.0,330,0.7575757575757576
shared_communication_qubit_only,layered_bursty,none,80,0.0,0.0,330,0.24242424242424243
shared_communication_qubit_only,periodic_dense,communication_qubit,243,96.73016860948415,194.67618319384383,243,1.0
shared_communication_qubit_only,periodic_sparse,communication_qubit,121,96.18645464860136,188.17293144115683,121,1.0
shared_endpoint_without_reset,layered_bursty,communication_qubit,60,146.61176077705917,165.0,330,0.18181818181818182
shared_endpoint_without_reset,layered_bursty,local_route,133,249.47489505573967,390.0,330,0.403030303030303
shared_endpoint_without_reset,layered_bursty,none,137,0.0,0.0,330,0.41515151515151516
shared_endpoint_without_reset,periodic_dense,communication_qubit,243,94.40754375118193,165.0,243,1.0
shared_endpoint_without_reset,periodic_sparse,communication_qubit,121,94.10828453463363,165.0,121,1.0
shared_full_endpoint_pipeline,layered_bursty,communication_qubit,60,146.61176077705917,165.0,330,0.18181818181818182
shared_full_endpoint_pipeline,layered_bursty,local_route,133,249.47489505573967,390.0,330,0.403030303030303
shared_full_endpoint_pipeline,layered_bursty,none,137,0.0,0.0,330,0.41515151515151516
shared_full_endpoint_pipeline,periodic_dense,communication_qubit,243,94.40754375118193,165.0,243,1.0
shared_full_endpoint_pipeline,periodic_sparse,communication_qubit,121,94.10828453463363,165.0,121,1.0
shared_interconnect_port_only,layered_bursty,interconnect_port,106,47.07157970751978,101.19296891943077,106,1.0
shared_interconnect_port_only,periodic_dense,interconnect_port,129,53.02507709119887,104.67618319384383,129,1.0
shared_interconnect_port_only,periodic_sparse,interconnect_port,64,52.19233013091717,98.17293144115683,64,1.0
shared_local_route_only,layered_bursty,local_route,129,107.87270580645905,244.69199003772724,137,0.9416058394160584
shared_local_route_only,layered_bursty,none,8,0.0,0.0,137,0.058394160583941604
shared_local_route_only,periodic_dense,local_route,36,15.677717793540044,29.676183193843826,36,1.0
shared_local_route_only,periodic_sparse,local_route,18,13.96992132167203,23.172931441156834,18,1.0
shared_reset_engine_only,layered_bursty,reset_engine,29,17.756404134123706,36.19296891943077,29,1.0
shared_reset_engine_only,periodic_dense,reset_engine,48,20.868060561681563,39.676183193843826,48,1.0
shared_reset_engine_only,periodic_sparse,reset_engine,27,17.683433773697466,33.172931441156834,27,1.0
