scenario_name,scenario_family,sharing_mode,component_capacity,shared_components,expected_mechanism,scenario_description,workload_name,workload_description,release_pattern,shared_controller_admission,shared_source_link_interface,shared_switch_arbiter,shared_switch_path,shared_transmission_segment,shared_destination_link_interface
fully_isolated_interconnect_control,isolated_control,dedicated,1,none,no_cross_tenant_interconnect_contention,"Attacker and victim have independent endpoints, controller lanes, link interfaces, switch paths, and transmission paths.",periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,False,False,False,False
fully_isolated_interconnect_control,isolated_control,dedicated,1,none,no_cross_tenant_interconnect_contention,"Attacker and victim have independent endpoints, controller lanes, link interfaces, switch paths, and transmission paths.",periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,False,False,False,False
fully_isolated_interconnect_control,isolated_control,dedicated,1,none,no_cross_tenant_interconnect_contention,"Attacker and victim have independent endpoints, controller lanes, link interfaces, switch paths, and transmission paths.",layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,False,False,False,False
shared_controller_admission_capacity1,single_controller_admission,shared_pool,1,controller_admission,controller_admission_serialization,One cross-tenant shared controller admission lane.,periodic_sparse,One victim remote operation every 900 ns.,period=900,True,False,False,False,False,False
shared_controller_admission_capacity1,single_controller_admission,shared_pool,1,controller_admission,controller_admission_serialization,One cross-tenant shared controller admission lane.,periodic_dense,One victim remote operation every 460 ns.,period=460,True,False,False,False,False,False
shared_controller_admission_capacity1,single_controller_admission,shared_pool,1,controller_admission,controller_admission_serialization,One cross-tenant shared controller admission lane.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",True,False,False,False,False,False
shared_controller_admission_capacity2,single_controller_admission,shared_pool,2,controller_admission,controller_admission_two_lane_pool,Two simultaneous cross-tenant controller admission lanes.,periodic_sparse,One victim remote operation every 900 ns.,period=900,True,False,False,False,False,False
shared_controller_admission_capacity2,single_controller_admission,shared_pool,2,controller_admission,controller_admission_two_lane_pool,Two simultaneous cross-tenant controller admission lanes.,periodic_dense,One victim remote operation every 460 ns.,period=460,True,False,False,False,False,False
shared_controller_admission_capacity2,single_controller_admission,shared_pool,2,controller_admission,controller_admission_two_lane_pool,Two simultaneous cross-tenant controller admission lanes.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",True,False,False,False,False,False
partitioned_controller_admission_two_lanes,single_controller_admission,partitioned,2,controller_admission,controller_admission_partitioned_isolation,"Two controller admission lanes, statically partitioned by tenant.",periodic_sparse,One victim remote operation every 900 ns.,period=900,True,False,False,False,False,False
partitioned_controller_admission_two_lanes,single_controller_admission,partitioned,2,controller_admission,controller_admission_partitioned_isolation,"Two controller admission lanes, statically partitioned by tenant.",periodic_dense,One victim remote operation every 460 ns.,period=460,True,False,False,False,False,False
partitioned_controller_admission_two_lanes,single_controller_admission,partitioned,2,controller_admission,controller_admission_partitioned_isolation,"Two controller admission lanes, statically partitioned by tenant.",layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",True,False,False,False,False,False
shared_source_link_interface_capacity1,single_source_link_interface,shared_pool,1,source_link_interface,source_link_interface_serialization,One cross-tenant shared source link interface lane.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,True,False,False,False,False
shared_source_link_interface_capacity1,single_source_link_interface,shared_pool,1,source_link_interface,source_link_interface_serialization,One cross-tenant shared source link interface lane.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,True,False,False,False,False
shared_source_link_interface_capacity1,single_source_link_interface,shared_pool,1,source_link_interface,source_link_interface_serialization,One cross-tenant shared source link interface lane.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,True,False,False,False,False
shared_source_link_interface_capacity2,single_source_link_interface,shared_pool,2,source_link_interface,source_link_interface_two_lane_pool,Two simultaneous cross-tenant source link interface lanes.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,True,False,False,False,False
shared_source_link_interface_capacity2,single_source_link_interface,shared_pool,2,source_link_interface,source_link_interface_two_lane_pool,Two simultaneous cross-tenant source link interface lanes.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,True,False,False,False,False
shared_source_link_interface_capacity2,single_source_link_interface,shared_pool,2,source_link_interface,source_link_interface_two_lane_pool,Two simultaneous cross-tenant source link interface lanes.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,True,False,False,False,False
partitioned_source_link_interface_two_lanes,single_source_link_interface,partitioned,2,source_link_interface,source_link_interface_partitioned_isolation,"Two source link interface lanes, statically partitioned by tenant.",periodic_sparse,One victim remote operation every 900 ns.,period=900,False,True,False,False,False,False
partitioned_source_link_interface_two_lanes,single_source_link_interface,partitioned,2,source_link_interface,source_link_interface_partitioned_isolation,"Two source link interface lanes, statically partitioned by tenant.",periodic_dense,One victim remote operation every 460 ns.,period=460,False,True,False,False,False,False
partitioned_source_link_interface_two_lanes,single_source_link_interface,partitioned,2,source_link_interface,source_link_interface_partitioned_isolation,"Two source link interface lanes, statically partitioned by tenant.",layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,True,False,False,False,False
