scenario_name,logical_component,sharing_mode,component_capacity,trial_count,maximum_observed_concurrency,all_capacity_checks_passed,mean_aggregate_lane_utilization,max_aggregate_lane_utilization
fully_isolated_interconnect_control,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
fully_isolated_interconnect_control,destination_link_interface,dedicated,1,30,2,True,0.024212027298672095,0.0276
fully_isolated_interconnect_control,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
fully_isolated_interconnect_control,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
fully_isolated_interconnect_control,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
fully_isolated_interconnect_control,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
partitioned_controller_admission_two_lanes,controller_admission,partitioned,2,30,2,True,0.01616707632150222,0.0184
partitioned_controller_admission_two_lanes,destination_link_interface,dedicated,1,30,2,True,0.024212027298672095,0.0276
partitioned_controller_admission_two_lanes,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
partitioned_controller_admission_two_lanes,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
partitioned_controller_admission_two_lanes,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
partitioned_controller_admission_two_lanes,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
partitioned_destination_link_interface_two_lanes,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
partitioned_destination_link_interface_two_lanes,destination_link_interface,partitioned,2,30,2,True,0.024212027298672095,0.0276
partitioned_destination_link_interface_two_lanes,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
partitioned_destination_link_interface_two_lanes,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
partitioned_destination_link_interface_two_lanes,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
partitioned_destination_link_interface_two_lanes,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
partitioned_source_link_interface_two_lanes,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
partitioned_source_link_interface_two_lanes,destination_link_interface,dedicated,1,30,2,True,0.024212027298672095,0.0276
partitioned_source_link_interface_two_lanes,source_link_interface,partitioned,2,30,2,True,0.24014406183764408,0.2737
partitioned_source_link_interface_two_lanes,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
partitioned_source_link_interface_two_lanes,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
partitioned_source_link_interface_two_lanes,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
partitioned_switch_arbiter_two_lanes,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
partitioned_switch_arbiter_two_lanes,destination_link_interface,dedicated,1,30,2,True,0.024212027298672095,0.0276
partitioned_switch_arbiter_two_lanes,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
partitioned_switch_arbiter_two_lanes,switch_arbiter,partitioned,2,30,2,True,0.024244872420862977,0.0276
partitioned_switch_arbiter_two_lanes,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
partitioned_switch_arbiter_two_lanes,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
partitioned_switch_path_two_lanes,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
partitioned_switch_path_two_lanes,destination_link_interface,dedicated,1,30,2,True,0.024212027298672095,0.0276
partitioned_switch_path_two_lanes,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
partitioned_switch_path_two_lanes,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
partitioned_switch_path_two_lanes,switch_path,partitioned,2,30,2,True,0.19171164600484192,0.2185
partitioned_switch_path_two_lanes,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
partitioned_transmission_segment_two_lanes,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
partitioned_transmission_segment_two_lanes,destination_link_interface,dedicated,1,30,2,True,0.024212027298672095,0.0276
partitioned_transmission_segment_two_lanes,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
partitioned_transmission_segment_two_lanes,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
partitioned_transmission_segment_two_lanes,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
partitioned_transmission_segment_two_lanes,transmission_segment,partitioned,2,30,2,True,0.16144138610934056,0.184
shared_controller_admission_capacity1,controller_admission,shared_pool,1,30,1,True,0.03233415264300444,0.0368
