trace_id,probe_index,release_ns,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,affected
isolated_backend_link1::sparse_periodic::trial0,0,30.0,295.0,295.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,1,450.0,715.0,715.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,2,870.0,1135.0,1135.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,3,1290.0,1555.0,1555.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,4,1710.0,1975.0,1975.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,5,2130.0,2395.0,2395.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,6,2550.0,2815.0,2815.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,7,2970.0,3235.0,3235.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,8,3390.0,3655.0,3655.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,9,3810.0,4075.0,4075.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,10,4230.0,4495.0,4495.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,11,4650.0,4915.0,4915.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,12,5070.0,5335.0,5335.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,13,5490.0,5755.0,5755.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,14,5910.0,6175.0,6227.227037665685,265.0,317.2270376656852,52.2270376656852,True
isolated_backend_link1::sparse_periodic::trial0,15,6330.0,6595.0,6612.227037665685,265.0,282.2270376656852,17.227037665685202,True
isolated_backend_link1::sparse_periodic::trial0,16,6750.0,7015.0,7015.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,17,7170.0,7435.0,7435.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,18,7590.0,7855.0,7855.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,19,8010.0,8275.0,8275.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,20,8430.0,8695.0,8695.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,21,8850.0,9115.0,9115.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,22,9270.0,9535.0,9535.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,23,9690.0,9955.0,9955.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,24,10110.0,10375.0,10375.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,25,10530.0,10795.0,10795.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,26,10950.0,11215.0,11215.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,27,11370.0,11635.0,11635.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,28,11790.0,12055.0,12055.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,29,12210.0,12475.0,12526.667364431292,265.0,316.6673644312923,51.6673644312923,True
isolated_backend_link1::sparse_periodic::trial0,30,12630.0,12895.0,12911.667364431292,265.0,281.6673644312923,16.6673644312923,True
isolated_backend_link1::sparse_periodic::trial0,31,13050.0,13315.0,13315.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,32,13470.0,13735.0,13735.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial0,33,13890.0,14155.0,14155.0,265.0,265.0,0.0,False
