scenario_name,workload_name,run_kind,generation_attempts,successful_attempts,mean_queue_wait_ns,max_queue_wait_ns,cross_tenant_blocked_fraction,generation_success_rate
isolated_on_demand,dense_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
isolated_on_demand,dense_periodic,combined,903,903,0.0,0.0,0.0,1.0
isolated_on_demand,dense_periodic,victim_only,423,423,0.0,0.0,0.0,1.0
isolated_on_demand,sparse_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
isolated_on_demand,sparse_periodic,combined,703,703,0.0,0.0,0.0,1.0
isolated_on_demand,sparse_periodic,victim_only,223,223,0.0,0.0,0.0,1.0
isolated_on_demand,synchronization_bursty,attacker_only,480,480,0.0,0.0,0.0,1.0
isolated_on_demand,synchronization_bursty,combined,845,845,70.81497198502952,334.9169295006386,0.0,1.0
isolated_on_demand,synchronization_bursty,victim_only,365,365,163.94151048589023,334.9169295006386,0.0,1.0
reserved_pool1_dedicated_generators,dense_periodic,attacker_only,620,620,0.0,0.0,0.0,1.0
reserved_pool1_dedicated_generators,dense_periodic,combined,903,903,0.0,0.0,0.0,1.0
reserved_pool1_dedicated_generators,dense_periodic,victim_only,563,563,0.0,0.0,0.0,1.0
reserved_pool1_dedicated_generators,sparse_periodic,attacker_only,620,620,0.0,0.0,0.0,1.0
reserved_pool1_dedicated_generators,sparse_periodic,combined,703,703,0.0,0.0,0.0,1.0
reserved_pool1_dedicated_generators,sparse_periodic,victim_only,363,363,0.0,0.0,0.0,1.0
reserved_pool1_dedicated_generators,synchronization_bursty,attacker_only,620,620,0.0,0.0,0.0,1.0
reserved_pool1_dedicated_generators,synchronization_bursty,combined,843,843,12.87528435520426,94.91692950063862,0.0,1.0
reserved_pool1_dedicated_generators,synchronization_bursty,victim_only,503,503,21.578259863692228,94.91692950063862,0.0,1.0
reserved_pool1_shared_generator,dense_periodic,attacker_only,610,610,39.34426229508197,240.0,0.21311475409836064,1.0
reserved_pool1_shared_generator,dense_periodic,combined,866,866,354.3523541842145,960.0,0.25981524249422633,1.0
reserved_pool1_shared_generator,dense_periodic,victim_only,553,553,29.87222400031044,238.21132223812492,0.23508137432188064,1.0
reserved_pool1_shared_generator,sparse_periodic,attacker_only,610,610,39.34426229508197,240.0,0.21311475409836064,1.0
reserved_pool1_shared_generator,sparse_periodic,combined,703,703,52.86375293929927,238.69928071253707,0.49786628733997157,1.0
reserved_pool1_shared_generator,sparse_periodic,victim_only,353,353,35.11084409244983,227.07523338269266,0.11898016997167139,1.0
reserved_pool1_shared_generator,synchronization_bursty,attacker_only,610,610,39.34426229508197,240.0,0.21311475409836064,1.0
reserved_pool1_shared_generator,synchronization_bursty,combined,840,840,186.82832980916552,476.1746805166258,0.3333333333333333,1.0
reserved_pool1_shared_generator,synchronization_bursty,victim_only,483,483,69.04994123646617,214.77672328413064,0.0,1.0
shared_buffer4_lowwater1,dense_periodic,attacker_only,560,560,240.0,480.0,0.0,1.0
shared_buffer4_lowwater1,dense_periodic,combined,843,843,386.02613280120374,720.0,0.19217081850533807,1.0
shared_buffer4_lowwater1,dense_periodic,victim_only,489,489,227.48548988053116,480.0000000000018,0.2147239263803681,1.0
shared_buffer4_lowwater1,sparse_periodic,attacker_only,560,560,240.0,480.0,0.0,1.0
shared_buffer4_lowwater1,sparse_periodic,combined,701,701,219.09322562757364,480.0000000000001,0.15691868758915833,1.0
shared_buffer4_lowwater1,sparse_periodic,victim_only,382,382,257.6182762938889,480.0,0.13089005235602094,1.0
shared_buffer4_lowwater1,synchronization_bursty,attacker_only,560,560,240.0,480.0,0.0,1.0
shared_buffer4_lowwater1,synchronization_bursty,combined,833,833,320.5194065785565,480.0000000000001,0.34933973589435774,1.0
shared_buffer4_lowwater1,synchronization_bursty,victim_only,426,426,239.19036500045516,480.00000000000045,0.0,1.0
shared_on_demand_gen1,dense_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_on_demand_gen1,dense_periodic,combined,903,903,846.1615403227395,1797.2717768130315,0.5083056478405316,1.0
shared_on_demand_gen1,dense_periodic,victim_only,423,423,0.0,0.0,0.0,1.0
shared_on_demand_gen1,sparse_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_on_demand_gen1,sparse_periodic,combined,703,703,53.80035637181718,238.69928071253707,0.49786628733997157,1.0
shared_on_demand_gen1,sparse_periodic,victim_only,223,223,0.0,0.0,0.0,1.0
shared_on_demand_gen1,synchronization_bursty,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_on_demand_gen1,synchronization_bursty,combined,845,845,354.78444581164683,720.0,0.6331360946745562,1.0
shared_on_demand_gen1,synchronization_bursty,victim_only,365,365,163.94151048589023,334.9169295006386,0.0,1.0
shared_on_demand_gen2,dense_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_on_demand_gen2,dense_periodic,combined,903,903,0.0,0.0,0.5359911406423035,1.0
shared_on_demand_gen2,dense_periodic,victim_only,423,423,0.0,0.0,0.0,1.0
shared_on_demand_gen2,sparse_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_on_demand_gen2,sparse_periodic,combined,703,703,0.0,0.0,0.3613086770981508,1.0
shared_on_demand_gen2,sparse_periodic,victim_only,223,223,0.0,0.0,0.0,1.0
shared_on_demand_gen2,synchronization_bursty,attacker_only,480,480,0.0,0.0,0.0,1.0
