scenario_name,workload_name,trial_id,run_kind,pool_key,capacity,max_occupancy,mean_occupancy,unused_capacity_fraction,pair_store_events,pair_consumption_events,pair_expiration_events,pool_wait_events,dropped_full_events
reserved_pool1_dedicated_generators,dense_periodic,0,attacker_only,attacker::reserved_epr_pool,1,1.0,0.45685997171145687,0.5431400282885431,49,48,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,0,attacker_only,victim::reserved_epr_pool,1,1.0,0.8426966292134831,0.1573033707865169,15,0,15,0,0
reserved_pool1_dedicated_generators,dense_periodic,0,combined,attacker::reserved_epr_pool,1,1.0,0.45685997171145687,0.5431400282885431,49,48,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,0,combined,victim::reserved_epr_pool,1,1.0,0.5263470743802737,0.4736529256197263,43,42,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,0,victim_only,attacker::reserved_epr_pool,1,1.0,0.8426966292134831,0.1573033707865169,15,0,15,0,0
reserved_pool1_dedicated_generators,dense_periodic,0,victim_only,victim::reserved_epr_pool,1,1.0,0.5263470743802737,0.4736529256197263,43,42,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,1,attacker_only,attacker::reserved_epr_pool,1,1.0,0.45685997171145687,0.5431400282885431,49,48,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,1,attacker_only,victim::reserved_epr_pool,1,1.0,0.8426966292134831,0.1573033707865169,15,0,15,0,0
reserved_pool1_dedicated_generators,dense_periodic,1,combined,attacker::reserved_epr_pool,1,1.0,0.45685997171145687,0.5431400282885431,49,48,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,1,combined,victim::reserved_epr_pool,1,1.0,0.5274511976822438,0.4725488023177562,43,42,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,1,victim_only,attacker::reserved_epr_pool,1,1.0,0.8426966292134831,0.1573033707865169,15,0,15,0,0
reserved_pool1_dedicated_generators,dense_periodic,1,victim_only,victim::reserved_epr_pool,1,1.0,0.5274511976822438,0.4725488023177562,43,42,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,2,attacker_only,attacker::reserved_epr_pool,1,1.0,0.45685997171145687,0.5431400282885431,49,48,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,2,attacker_only,victim::reserved_epr_pool,1,1.0,0.8426966292134831,0.1573033707865169,15,0,15,0,0
reserved_pool1_dedicated_generators,dense_periodic,2,combined,attacker::reserved_epr_pool,1,1.0,0.45685997171145687,0.5431400282885431,49,48,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,2,combined,victim::reserved_epr_pool,1,1.0,0.5276617148358634,0.47233828516413656,43,42,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,2,victim_only,attacker::reserved_epr_pool,1,1.0,0.8426966292134831,0.1573033707865169,15,0,15,0,0
reserved_pool1_dedicated_generators,dense_periodic,2,victim_only,victim::reserved_epr_pool,1,1.0,0.5276617148358634,0.47233828516413656,43,42,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,3,attacker_only,attacker::reserved_epr_pool,1,1.0,0.45685997171145687,0.5431400282885431,49,48,1,0,0
reserved_pool1_dedicated_generators,dense_periodic,3,attacker_only,victim::reserved_epr_pool,1,1.0,0.8426966292134831,0.1573033707865169,15,0,15,0,0
reserved_pool1_dedicated_generators,dense_periodic,3,combined,attacker::reserved_epr_pool,1,1.0,0.45685997171145687,0.5431400282885431,49,48,1,0,0
