configuration_id,shared_endpoint,shared_switch_path,shared_link,shared_readout,shared_feedforward,shared_reset,shared_epr_pool,shared_count,shared_resources,configuration_class
cfg_0000000,False,False,False,False,False,False,False,0,none,everything_isolated
cfg_0000001,False,False,False,False,False,False,True,1,epr_pool,single_resource
cfg_0000010,False,False,False,False,False,True,False,1,reset,single_resource
cfg_0000011,False,False,False,False,False,True,True,2,reset+epr_pool,resource_pair
cfg_0000100,False,False,False,False,True,False,False,1,feedforward,single_resource
cfg_0000101,False,False,False,False,True,False,True,2,feedforward+epr_pool,resource_pair
cfg_0000110,False,False,False,False,True,True,False,2,feedforward+reset,resource_pair
cfg_0000111,False,False,False,False,True,True,True,3,feedforward+reset+epr_pool,multi_resource
cfg_0001000,False,False,False,True,False,False,False,1,readout,single_resource
cfg_0001001,False,False,False,True,False,False,True,2,readout+epr_pool,resource_pair
cfg_0001010,False,False,False,True,False,True,False,2,readout+reset,resource_pair
cfg_0001011,False,False,False,True,False,True,True,3,readout+reset+epr_pool,multi_resource
cfg_0001100,False,False,False,True,True,False,False,2,readout+feedforward,resource_pair
cfg_0001101,False,False,False,True,True,False,True,3,readout+feedforward+epr_pool,multi_resource
cfg_0001110,False,False,False,True,True,True,False,3,readout+feedforward+reset,multi_resource
cfg_0001111,False,False,False,True,True,True,True,4,readout+feedforward+reset+epr_pool,multi_resource
cfg_0010000,False,False,True,False,False,False,False,1,link,single_resource
cfg_0010001,False,False,True,False,False,False,True,2,link+epr_pool,resource_pair
cfg_0010010,False,False,True,False,False,True,False,2,link+reset,resource_pair
cfg_0010011,False,False,True,False,False,True,True,3,link+reset+epr_pool,multi_resource
cfg_0010100,False,False,True,False,True,False,False,2,link+feedforward,resource_pair
cfg_0010101,False,False,True,False,True,False,True,3,link+feedforward+epr_pool,multi_resource
cfg_0010110,False,False,True,False,True,True,False,3,link+feedforward+reset,multi_resource
cfg_0010111,False,False,True,False,True,True,True,4,link+feedforward+reset+epr_pool,multi_resource
cfg_0011000,False,False,True,True,False,False,False,2,link+readout,resource_pair
cfg_0011001,False,False,True,True,False,False,True,3,link+readout+epr_pool,multi_resource
cfg_0011010,False,False,True,True,False,True,False,3,link+readout+reset,multi_resource
cfg_0011011,False,False,True,True,False,True,True,4,link+readout+reset+epr_pool,multi_resource
cfg_0011100,False,False,True,True,True,False,False,3,link+readout+feedforward,multi_resource
cfg_0011101,False,False,True,True,True,False,True,4,link+readout+feedforward+epr_pool,multi_resource
cfg_0011110,False,False,True,True,True,True,False,4,link+readout+feedforward+reset,multi_resource
cfg_0011111,False,False,True,True,True,True,True,5,link+readout+feedforward+reset+epr_pool,multi_resource
cfg_0100000,False,True,False,False,False,False,False,1,switch_path,single_resource
cfg_0100001,False,True,False,False,False,False,True,2,switch_path+epr_pool,resource_pair
cfg_0100010,False,True,False,False,False,True,False,2,switch_path+reset,resource_pair
cfg_0100011,False,True,False,False,False,True,True,3,switch_path+reset+epr_pool,multi_resource
cfg_0100100,False,True,False,False,True,False,False,2,switch_path+feedforward,resource_pair
cfg_0100101,False,True,False,False,True,False,True,3,switch_path+feedforward+epr_pool,multi_resource
cfg_0100110,False,True,False,False,True,True,False,3,switch_path+feedforward+reset,multi_resource
cfg_0100111,False,True,False,False,True,True,True,4,switch_path+feedforward+reset+epr_pool,multi_resource
cfg_0101000,False,True,False,True,False,False,False,2,switch_path+readout,resource_pair
cfg_0101001,False,True,False,True,False,False,True,3,switch_path+readout+epr_pool,multi_resource
cfg_0101010,False,True,False,True,False,True,False,3,switch_path+readout+reset,multi_resource
cfg_0101011,False,True,False,True,False,True,True,4,switch_path+readout+reset+epr_pool,multi_resource
cfg_0101100,False,True,False,True,True,False,False,3,switch_path+readout+feedforward,multi_resource
cfg_0101101,False,True,False,True,True,False,True,4,switch_path+readout+feedforward+epr_pool,multi_resource
cfg_0101110,False,True,False,True,True,True,False,4,switch_path+readout+feedforward+reset,multi_resource
cfg_0101111,False,True,False,True,True,True,True,5,switch_path+readout+feedforward+reset+epr_pool,multi_resource
cfg_0110000,False,True,True,False,False,False,False,2,switch_path+link,resource_pair
cfg_0110001,False,True,True,False,False,False,True,3,switch_path+link+epr_pool,multi_resource
cfg_0110010,False,True,True,False,False,True,False,3,switch_path+link+reset,multi_resource
