scenario_id,protocol_name,scenario_class,shared_resources,description,shared_resource_count,protocol_family,logical_operation,nominal_critical_latency_ns,postcompletion_cleanup_ns
direct_coherent_remote_cx__isolated,direct_coherent_remote_cx,isolated_control,none,All resources used by this protocol are tenant-private.,0,direct_coherent,logical_remote_cx,150.0,120.0
direct_coherent_remote_cx__share_endpoint,direct_coherent_remote_cx,single_resource,endpoint,Only endpoint is cross-tenant shared.,1,direct_coherent,logical_remote_cx,150.0,120.0
direct_coherent_remote_cx__share_switch_path,direct_coherent_remote_cx,single_resource,switch_path,Only switch_path is cross-tenant shared.,1,direct_coherent,logical_remote_cx,150.0,120.0
direct_coherent_remote_cx__share_quantum_link,direct_coherent_remote_cx,single_resource,quantum_link,Only quantum_link is cross-tenant shared.,1,direct_coherent,logical_remote_cx,150.0,120.0
direct_coherent_remote_cx__share_reset,direct_coherent_remote_cx,single_resource,reset,Only reset is cross-tenant shared.,1,direct_coherent,logical_remote_cx,150.0,120.0
direct_coherent_remote_cx__share_interconnect_stack,direct_coherent_remote_cx,protocol_stack,quantum_link+switch_path,Direct protocol switch/path and synchronous quantum link are shared.,2,direct_coherent,logical_remote_cx,150.0,120.0
direct_coherent_remote_cx__all_used_shared,direct_coherent_remote_cx,all_used_shared,endpoint+quantum_link+reset+switch_path,Every resource used by the direct coherent protocol is shared.,4,direct_coherent,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__isolated,entanglement_assisted_remote_cx,isolated_control,none,All resources used by this protocol are tenant-private.,0,entanglement_assisted,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__share_endpoint,entanglement_assisted_remote_cx,single_resource,endpoint,Only endpoint is cross-tenant shared.,1,entanglement_assisted,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__share_quantum_link,entanglement_assisted_remote_cx,single_resource,quantum_link,Only quantum_link is cross-tenant shared.,1,entanglement_assisted,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__share_epr_pool,entanglement_assisted_remote_cx,single_resource,epr_pool,Only epr_pool is cross-tenant shared.,1,entanglement_assisted,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__share_epr_generator,entanglement_assisted_remote_cx,single_resource,epr_generator,Only epr_generator is cross-tenant shared.,1,entanglement_assisted,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__share_readout,entanglement_assisted_remote_cx,single_resource,readout,Only readout is cross-tenant shared.,1,entanglement_assisted,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__share_feedforward,entanglement_assisted_remote_cx,single_resource,feedforward,Only feedforward is cross-tenant shared.,1,entanglement_assisted,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__share_reset,entanglement_assisted_remote_cx,single_resource,reset,Only reset is cross-tenant shared.,1,entanglement_assisted,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__share_epr_management_stack,entanglement_assisted_remote_cx,protocol_stack,epr_generator+epr_pool+quantum_link,"EPR inventory, refill generator, and refill quantum link are shared.",3,entanglement_assisted,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__share_measurement_stack,entanglement_assisted_remote_cx,protocol_stack,feedforward+readout,Measurement/readout and classical feedforward are shared.,2,entanglement_assisted,logical_remote_cx,150.0,120.0
entanglement_assisted_remote_cx__all_used_shared,entanglement_assisted_remote_cx,all_used_shared,endpoint+epr_generator+epr_pool+feedforward+quantum_link+readout+reset,Every resource used by the entanglement-assisted protocol is shared.,7,entanglement_assisted,logical_remote_cx,150.0,120.0
