protocol_name,protocol_family,logical_operation,resource_name,used_by_protocol,occupancy_phase,nominal_hold_ns,role,state_type,possible_external_feature,single_share_affected_probe_fraction,single_share_mean_abs_timing_change_ns,single_share_maximum_positive_excess_ns,single_share_longest_affected_run,single_share_classification_accuracy
direct_coherent_remote_cx,direct_coherent,logical_remote_cx,endpoint,True,synchronous; acquired at request start and held through reset,270.0,communication endpoint / communication-qubit lifetime,held critical-path + post-completion,large direct delay and reuse cascades when shared,0.8486111111111111,1280.1241117306965,2539.3425648761186,32.666666666666664,1.0
direct_coherent_remote_cx,direct_coherent,logical_remote_cx,switch_path,True,synchronous; setup plus link transfer,95.0,route/path reservation,critical-path,path-queue delay,0.17847222222222223,8.555934445707758,77.72751254112653,1.3333333333333333,1.0
direct_coherent_remote_cx,direct_coherent,logical_remote_cx,quantum_link,True,synchronous during every logical remote CX,80.0,coherent/microwave intermodule transfer,critical-path,direct transfer latency,0.16041666666666668,5.484441169463503,62.72751254112653,1.3333333333333333,1.0
direct_coherent_remote_cx,direct_coherent,logical_remote_cx,epr_pool,False,not used,0.0,not on this protocol path,none,none,,,,,
direct_coherent_remote_cx,direct_coherent,logical_remote_cx,epr_generator,False,not used,0.0,not on this protocol path,none,none,,,,,
direct_coherent_remote_cx,direct_coherent,logical_remote_cx,readout,False,not used,0.0,not on this protocol path,none,none,,,,,
direct_coherent_remote_cx,direct_coherent,logical_remote_cx,feedforward,False,not used,0.0,not on this protocol path,none,none,,,,,
direct_coherent_remote_cx,direct_coherent,logical_remote_cx,reset,True,after external completion,120.0,communication resource recovery,post-completion persistent reuse state,later-probe delay,0.0,0.0,0.0,0.0,0.3333333333333333
entanglement_assisted_remote_cx,entanglement_assisted,logical_remote_cx,endpoint,True,short synchronous local access after EPR acquisition,20.0,consume/access locally stored entangled resource,critical-path scoped,short endpoint-access delay,0.03333333333333333,0.30121574450579186,8.236584983943597,0.7,0.8
entanglement_assisted_remote_cx,entanglement_assisted,logical_remote_cx,switch_path,False,not used,0.0,not on this protocol path,none,none,,,,,
entanglement_assisted_remote_cx,entanglement_assisted,logical_remote_cx,quantum_link,True,"asynchronous during EPR refill, decoupled from logical request",200.0,entanglement distribution/refill,background resource-management path,refill delay / depletion persistence,0.0,0.0,0.0,0.0,0.3333333333333333
entanglement_assisted_remote_cx,entanglement_assisted,logical_remote_cx,epr_pool,True,persistent storage between generation and consumption,2000.0,finite prefetched EPR inventory,persistent inventory state,"pool miss, refill wait, delayed depletion fingerprint",0.1125,11.618546397142628,88.80865157952972,0.6666666666666666,0.6666666666666666
entanglement_assisted_remote_cx,entanglement_assisted,logical_remote_cx,epr_generator,True,asynchronous refill before/after logical requests,40.0,EPR generation setup/control,background resource-management path,refill queueing visible after pool miss,0.0,0.0,0.0,0.0,0.3333333333333333
entanglement_assisted_remote_cx,entanglement_assisted,logical_remote_cx,readout,True,synchronous after EPR consumption,70.0,Bell/ancilla measurement readout,critical-path,measurement queue delay,0.11319444444444444,3.970115262354978,52.72751254112653,1.3333333333333333,0.9333333333333333
entanglement_assisted_remote_cx,entanglement_assisted,logical_remote_cx,feedforward,True,synchronous after measurement,40.0,classical coordination / conditional decision,critical-path,feedforward queue delay,0.06944444444444445,1.2645570616159856,24.18489488010535,0.9,0.5333333333333333
entanglement_assisted_remote_cx,entanglement_assisted,logical_remote_cx,reset,True,after external completion,120.0,measurement/local communication ancilla recovery,post-completion persistent reuse state,later-probe local-slot delay,0.0,0.0,0.0,0.0,0.3333333333333333
