victim_instance_id,activity_class,split
bursty_remote::instance_000,bursty_remote,train
bursty_remote::instance_001,bursty_remote,train
bursty_remote::instance_002,bursty_remote,test
bursty_remote::instance_003,bursty_remote,train
bursty_remote::instance_004,bursty_remote,train
bursty_remote::instance_005,bursty_remote,train
bursty_remote::instance_006,bursty_remote,test
bursty_remote::instance_007,bursty_remote,train
bursty_remote::instance_008,bursty_remote,train
bursty_remote::instance_009,bursty_remote,test
bursty_remote::instance_010,bursty_remote,train
bursty_remote::instance_011,bursty_remote,test
bursty_remote::instance_012,bursty_remote,train
bursty_remote::instance_013,bursty_remote,train
bursty_remote::instance_014,bursty_remote,train
bursty_remote::instance_015,bursty_remote,test
bursty_remote::instance_016,bursty_remote,train
bursty_remote::instance_017,bursty_remote,test
heavy_remote::instance_000,heavy_remote,train
heavy_remote::instance_001,heavy_remote,train
heavy_remote::instance_002,heavy_remote,train
heavy_remote::instance_003,heavy_remote,test
heavy_remote::instance_004,heavy_remote,test
heavy_remote::instance_005,heavy_remote,test
heavy_remote::instance_006,heavy_remote,train
heavy_remote::instance_007,heavy_remote,test
heavy_remote::instance_008,heavy_remote,test
heavy_remote::instance_009,heavy_remote,train
heavy_remote::instance_010,heavy_remote,train
heavy_remote::instance_011,heavy_remote,train
heavy_remote::instance_012,heavy_remote,train
heavy_remote::instance_013,heavy_remote,train
heavy_remote::instance_014,heavy_remote,train
heavy_remote::instance_015,heavy_remote,train
heavy_remote::instance_016,heavy_remote,train
heavy_remote::instance_017,heavy_remote,train
local_only::instance_000,local_only,train
local_only::instance_001,local_only,test
local_only::instance_002,local_only,test
local_only::instance_003,local_only,test
local_only::instance_004,local_only,train
local_only::instance_005,local_only,train
local_only::instance_006,local_only,train
local_only::instance_007,local_only,train
local_only::instance_008,local_only,train
local_only::instance_009,local_only,train
local_only::instance_010,local_only,train
local_only::instance_011,local_only,train
local_only::instance_012,local_only,train
local_only::instance_013,local_only,train
local_only::instance_014,local_only,test
local_only::instance_015,local_only,train
local_only::instance_016,local_only,train
local_only::instance_017,local_only,test
moderate_remote::instance_000,moderate_remote,test
moderate_remote::instance_001,moderate_remote,train
moderate_remote::instance_002,moderate_remote,test
moderate_remote::instance_003,moderate_remote,train
moderate_remote::instance_004,moderate_remote,train
moderate_remote::instance_005,moderate_remote,train
moderate_remote::instance_006,moderate_remote,test
moderate_remote::instance_007,moderate_remote,train
moderate_remote::instance_008,moderate_remote,train
moderate_remote::instance_009,moderate_remote,train
moderate_remote::instance_010,moderate_remote,train
moderate_remote::instance_011,moderate_remote,train
moderate_remote::instance_012,moderate_remote,train
moderate_remote::instance_013,moderate_remote,test
moderate_remote::instance_014,moderate_remote,test
moderate_remote::instance_015,moderate_remote,train
moderate_remote::instance_016,moderate_remote,test
moderate_remote::instance_017,moderate_remote,train
no_victim::instance_000,no_victim,train
no_victim::instance_001,no_victim,train
no_victim::instance_002,no_victim,train
no_victim::instance_003,no_victim,test
no_victim::instance_004,no_victim,train
no_victim::instance_005,no_victim,train
no_victim::instance_006,no_victim,test
no_victim::instance_007,no_victim,train
no_victim::instance_008,no_victim,train
no_victim::instance_009,no_victim,test
no_victim::instance_010,no_victim,train
no_victim::instance_011,no_victim,train
no_victim::instance_012,no_victim,train
no_victim::instance_013,no_victim,test
no_victim::instance_014,no_victim,test
no_victim::instance_015,no_victim,test
no_victim::instance_016,no_victim,train
no_victim::instance_017,no_victim,train
sparse_remote::instance_000,sparse_remote,train
sparse_remote::instance_001,sparse_remote,test
sparse_remote::instance_002,sparse_remote,test
sparse_remote::instance_003,sparse_remote,train
sparse_remote::instance_004,sparse_remote,train
sparse_remote::instance_005,sparse_remote,test
sparse_remote::instance_006,sparse_remote,train
sparse_remote::instance_007,sparse_remote,train
sparse_remote::instance_008,sparse_remote,train
sparse_remote::instance_009,sparse_remote,train
sparse_remote::instance_010,sparse_remote,train
sparse_remote::instance_011,sparse_remote,train
sparse_remote::instance_012,sparse_remote,test
sparse_remote::instance_013,sparse_remote,test
sparse_remote::instance_014,sparse_remote,train
sparse_remote::instance_015,sparse_remote,train
sparse_remote::instance_016,sparse_remote,train
sparse_remote::instance_017,sparse_remote,train
