protocol_context,model_name,model_variant,true_phase_label,predicted_phase_label,count,true_normalized_fraction
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,local_compute,local_compute,220,0.859375
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,local_compute,sparse_remote,22,0.0859375
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,local_compute,dense_remote,8,0.03125
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,local_compute,synchronization_bursty,6,0.0234375
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,sparse_remote,local_compute,13,0.045774647887323945
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,sparse_remote,sparse_remote,223,0.7852112676056338
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,sparse_remote,dense_remote,40,0.14084507042253522
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,sparse_remote,synchronization_bursty,8,0.028169014084507043
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,dense_remote,local_compute,14,0.04929577464788732
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,dense_remote,sparse_remote,27,0.09507042253521127
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,dense_remote,dense_remote,217,0.7640845070422535
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,dense_remote,synchronization_bursty,26,0.09154929577464789
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,synchronization_bursty,local_compute,5,0.021551724137931036
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,synchronization_bursty,sparse_remote,19,0.08189655172413793
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,synchronization_bursty,dense_remote,3,0.01293103448275862
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,synchronization_bursty,synchronization_bursty,205,0.8836206896551724
direct_coherent_all_shared,hist_gradient_boosting,raw_online,local_compute,local_compute,210,0.8203125
direct_coherent_all_shared,hist_gradient_boosting,raw_online,local_compute,sparse_remote,26,0.1015625
direct_coherent_all_shared,hist_gradient_boosting,raw_online,local_compute,dense_remote,10,0.0390625
direct_coherent_all_shared,hist_gradient_boosting,raw_online,local_compute,synchronization_bursty,10,0.0390625
direct_coherent_all_shared,hist_gradient_boosting,raw_online,sparse_remote,local_compute,20,0.07042253521126761
direct_coherent_all_shared,hist_gradient_boosting,raw_online,sparse_remote,sparse_remote,214,0.7535211267605634
direct_coherent_all_shared,hist_gradient_boosting,raw_online,sparse_remote,dense_remote,38,0.13380281690140844
direct_coherent_all_shared,hist_gradient_boosting,raw_online,sparse_remote,synchronization_bursty,12,0.04225352112676056
direct_coherent_all_shared,hist_gradient_boosting,raw_online,dense_remote,local_compute,15,0.0528169014084507
direct_coherent_all_shared,hist_gradient_boosting,raw_online,dense_remote,sparse_remote,32,0.11267605633802817
direct_coherent_all_shared,hist_gradient_boosting,raw_online,dense_remote,dense_remote,212,0.7464788732394366
direct_coherent_all_shared,hist_gradient_boosting,raw_online,dense_remote,synchronization_bursty,25,0.0880281690140845
direct_coherent_all_shared,hist_gradient_boosting,raw_online,synchronization_bursty,local_compute,9,0.03879310344827586
direct_coherent_all_shared,hist_gradient_boosting,raw_online,synchronization_bursty,sparse_remote,20,0.08620689655172414
direct_coherent_all_shared,hist_gradient_boosting,raw_online,synchronization_bursty,dense_remote,4,0.017241379310344827
direct_coherent_all_shared,hist_gradient_boosting,raw_online,synchronization_bursty,synchronization_bursty,199,0.8577586206896551
direct_coherent_all_shared,logistic_regression,debounced_offline,local_compute,local_compute,215,0.83984375
direct_coherent_all_shared,logistic_regression,debounced_offline,local_compute,sparse_remote,27,0.10546875
direct_coherent_all_shared,logistic_regression,debounced_offline,local_compute,dense_remote,11,0.04296875
direct_coherent_all_shared,logistic_regression,debounced_offline,local_compute,synchronization_bursty,3,0.01171875
direct_coherent_all_shared,logistic_regression,debounced_offline,sparse_remote,local_compute,8,0.028169014084507043
direct_coherent_all_shared,logistic_regression,debounced_offline,sparse_remote,sparse_remote,227,0.7992957746478874
direct_coherent_all_shared,logistic_regression,debounced_offline,sparse_remote,dense_remote,46,0.1619718309859155
direct_coherent_all_shared,logistic_regression,debounced_offline,sparse_remote,synchronization_bursty,3,0.01056338028169014
direct_coherent_all_shared,logistic_regression,debounced_offline,dense_remote,local_compute,13,0.045774647887323945
direct_coherent_all_shared,logistic_regression,debounced_offline,dense_remote,sparse_remote,32,0.11267605633802817
direct_coherent_all_shared,logistic_regression,debounced_offline,dense_remote,dense_remote,222,0.7816901408450704
direct_coherent_all_shared,logistic_regression,debounced_offline,dense_remote,synchronization_bursty,17,0.05985915492957746
direct_coherent_all_shared,logistic_regression,debounced_offline,synchronization_bursty,local_compute,9,0.03879310344827586
direct_coherent_all_shared,logistic_regression,debounced_offline,synchronization_bursty,sparse_remote,14,0.0603448275862069
direct_coherent_all_shared,logistic_regression,debounced_offline,synchronization_bursty,dense_remote,17,0.07327586206896551
direct_coherent_all_shared,logistic_regression,debounced_offline,synchronization_bursty,synchronization_bursty,192,0.8275862068965517
direct_coherent_all_shared,logistic_regression,raw_online,local_compute,local_compute,215,0.83984375
direct_coherent_all_shared,logistic_regression,raw_online,local_compute,sparse_remote,26,0.1015625
direct_coherent_all_shared,logistic_regression,raw_online,local_compute,dense_remote,12,0.046875
direct_coherent_all_shared,logistic_regression,raw_online,local_compute,synchronization_bursty,3,0.01171875
direct_coherent_all_shared,logistic_regression,raw_online,sparse_remote,local_compute,9,0.03169014084507042
direct_coherent_all_shared,logistic_regression,raw_online,sparse_remote,sparse_remote,205,0.721830985915493
direct_coherent_all_shared,logistic_regression,raw_online,sparse_remote,dense_remote,67,0.23591549295774647
direct_coherent_all_shared,logistic_regression,raw_online,sparse_remote,synchronization_bursty,3,0.01056338028169014
direct_coherent_all_shared,logistic_regression,raw_online,dense_remote,local_compute,13,0.045774647887323945
direct_coherent_all_shared,logistic_regression,raw_online,dense_remote,sparse_remote,34,0.11971830985915492
direct_coherent_all_shared,logistic_regression,raw_online,dense_remote,dense_remote,220,0.7746478873239436
direct_coherent_all_shared,logistic_regression,raw_online,dense_remote,synchronization_bursty,17,0.05985915492957746
direct_coherent_all_shared,logistic_regression,raw_online,synchronization_bursty,local_compute,11,0.04741379310344827
direct_coherent_all_shared,logistic_regression,raw_online,synchronization_bursty,sparse_remote,14,0.0603448275862069
direct_coherent_all_shared,logistic_regression,raw_online,synchronization_bursty,dense_remote,16,0.06896551724137931
direct_coherent_all_shared,logistic_regression,raw_online,synchronization_bursty,synchronization_bursty,191,0.8232758620689655
direct_coherent_all_shared,random_forest,debounced_offline,local_compute,local_compute,220,0.859375
direct_coherent_all_shared,random_forest,debounced_offline,local_compute,sparse_remote,24,0.09375
direct_coherent_all_shared,random_forest,debounced_offline,local_compute,dense_remote,8,0.03125
direct_coherent_all_shared,random_forest,debounced_offline,local_compute,synchronization_bursty,4,0.015625
direct_coherent_all_shared,random_forest,debounced_offline,sparse_remote,local_compute,11,0.03873239436619718
direct_coherent_all_shared,random_forest,debounced_offline,sparse_remote,sparse_remote,232,0.8169014084507042
direct_coherent_all_shared,random_forest,debounced_offline,sparse_remote,dense_remote,32,0.11267605633802817
direct_coherent_all_shared,random_forest,debounced_offline,sparse_remote,synchronization_bursty,9,0.03169014084507042
direct_coherent_all_shared,random_forest,debounced_offline,dense_remote,local_compute,14,0.04929577464788732
direct_coherent_all_shared,random_forest,debounced_offline,dense_remote,sparse_remote,32,0.11267605633802817
direct_coherent_all_shared,random_forest,debounced_offline,dense_remote,dense_remote,209,0.7359154929577465
direct_coherent_all_shared,random_forest,debounced_offline,dense_remote,synchronization_bursty,29,0.10211267605633803
direct_coherent_all_shared,random_forest,debounced_offline,synchronization_bursty,local_compute,6,0.02586206896551724
direct_coherent_all_shared,random_forest,debounced_offline,synchronization_bursty,sparse_remote,15,0.06465517241379311
direct_coherent_all_shared,random_forest,debounced_offline,synchronization_bursty,dense_remote,4,0.017241379310344827
direct_coherent_all_shared,random_forest,debounced_offline,synchronization_bursty,synchronization_bursty,207,0.8922413793103449
direct_coherent_all_shared,random_forest,raw_online,local_compute,local_compute,220,0.859375
direct_coherent_all_shared,random_forest,raw_online,local_compute,sparse_remote,24,0.09375
direct_coherent_all_shared,random_forest,raw_online,local_compute,dense_remote,8,0.03125
direct_coherent_all_shared,random_forest,raw_online,local_compute,synchronization_bursty,4,0.015625
direct_coherent_all_shared,random_forest,raw_online,sparse_remote,local_compute,12,0.04225352112676056
direct_coherent_all_shared,random_forest,raw_online,sparse_remote,sparse_remote,231,0.8133802816901409
direct_coherent_all_shared,random_forest,raw_online,sparse_remote,dense_remote,32,0.11267605633802817
direct_coherent_all_shared,random_forest,raw_online,sparse_remote,synchronization_bursty,9,0.03169014084507042
direct_coherent_all_shared,random_forest,raw_online,dense_remote,local_compute,14,0.04929577464788732
direct_coherent_all_shared,random_forest,raw_online,dense_remote,sparse_remote,34,0.11971830985915492
direct_coherent_all_shared,random_forest,raw_online,dense_remote,dense_remote,209,0.7359154929577465
direct_coherent_all_shared,random_forest,raw_online,dense_remote,synchronization_bursty,27,0.09507042253521127
direct_coherent_all_shared,random_forest,raw_online,synchronization_bursty,local_compute,7,0.03017241379310345
direct_coherent_all_shared,random_forest,raw_online,synchronization_bursty,sparse_remote,15,0.06465517241379311
direct_coherent_all_shared,random_forest,raw_online,synchronization_bursty,dense_remote,5,0.021551724137931036
direct_coherent_all_shared,random_forest,raw_online,synchronization_bursty,synchronization_bursty,205,0.8836206896551724
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,local_compute,local_compute,184,0.71875
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,local_compute,sparse_remote,41,0.16015625
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,local_compute,dense_remote,20,0.078125
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,local_compute,synchronization_bursty,11,0.04296875
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,sparse_remote,local_compute,150,0.528169014084507
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,sparse_remote,sparse_remote,72,0.2535211267605634
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,sparse_remote,dense_remote,54,0.19014084507042253
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,sparse_remote,synchronization_bursty,8,0.028169014084507043
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,dense_remote,local_compute,126,0.44366197183098594
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,dense_remote,sparse_remote,60,0.2112676056338028
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,dense_remote,dense_remote,88,0.30985915492957744
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,dense_remote,synchronization_bursty,10,0.035211267605633804
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,synchronization_bursty,local_compute,12,0.05172413793103448
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,synchronization_bursty,sparse_remote,13,0.05603448275862069
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,synchronization_bursty,dense_remote,7,0.03017241379310345
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,synchronization_bursty,synchronization_bursty,200,0.8620689655172413
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,local_compute,local_compute,181,0.70703125
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,local_compute,sparse_remote,42,0.1640625
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,local_compute,dense_remote,21,0.08203125
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,local_compute,synchronization_bursty,12,0.046875
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,sparse_remote,local_compute,153,0.5387323943661971
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,sparse_remote,sparse_remote,69,0.24295774647887325
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,sparse_remote,dense_remote,52,0.18309859154929578
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,sparse_remote,synchronization_bursty,10,0.035211267605633804
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,dense_remote,local_compute,126,0.44366197183098594
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,dense_remote,sparse_remote,61,0.2147887323943662
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,dense_remote,dense_remote,85,0.2992957746478873
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,dense_remote,synchronization_bursty,12,0.04225352112676056
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,synchronization_bursty,local_compute,16,0.06896551724137931
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,synchronization_bursty,sparse_remote,11,0.04741379310344827
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,synchronization_bursty,dense_remote,14,0.0603448275862069
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,synchronization_bursty,synchronization_bursty,191,0.8232758620689655
entanglement_assisted_all_shared,logistic_regression,debounced_offline,local_compute,local_compute,187,0.73046875
entanglement_assisted_all_shared,logistic_regression,debounced_offline,local_compute,sparse_remote,54,0.2109375
entanglement_assisted_all_shared,logistic_regression,debounced_offline,local_compute,dense_remote,13,0.05078125
entanglement_assisted_all_shared,logistic_regression,debounced_offline,local_compute,synchronization_bursty,2,0.0078125
entanglement_assisted_all_shared,logistic_regression,debounced_offline,sparse_remote,local_compute,150,0.528169014084507
entanglement_assisted_all_shared,logistic_regression,debounced_offline,sparse_remote,sparse_remote,53,0.18661971830985916
entanglement_assisted_all_shared,logistic_regression,debounced_offline,sparse_remote,dense_remote,78,0.2746478873239437
entanglement_assisted_all_shared,logistic_regression,debounced_offline,sparse_remote,synchronization_bursty,3,0.01056338028169014
entanglement_assisted_all_shared,logistic_regression,debounced_offline,dense_remote,local_compute,125,0.44014084507042256
entanglement_assisted_all_shared,logistic_regression,debounced_offline,dense_remote,sparse_remote,45,0.15845070422535212
entanglement_assisted_all_shared,logistic_regression,debounced_offline,dense_remote,dense_remote,95,0.3345070422535211
entanglement_assisted_all_shared,logistic_regression,debounced_offline,dense_remote,synchronization_bursty,19,0.06690140845070422
entanglement_assisted_all_shared,logistic_regression,debounced_offline,synchronization_bursty,local_compute,10,0.04310344827586207
entanglement_assisted_all_shared,logistic_regression,debounced_offline,synchronization_bursty,sparse_remote,4,0.017241379310344827
entanglement_assisted_all_shared,logistic_regression,debounced_offline,synchronization_bursty,dense_remote,23,0.09913793103448276
entanglement_assisted_all_shared,logistic_regression,debounced_offline,synchronization_bursty,synchronization_bursty,195,0.8405172413793104
entanglement_assisted_all_shared,logistic_regression,raw_online,local_compute,local_compute,185,0.72265625
entanglement_assisted_all_shared,logistic_regression,raw_online,local_compute,sparse_remote,56,0.21875
entanglement_assisted_all_shared,logistic_regression,raw_online,local_compute,dense_remote,13,0.05078125
entanglement_assisted_all_shared,logistic_regression,raw_online,local_compute,synchronization_bursty,2,0.0078125
entanglement_assisted_all_shared,logistic_regression,raw_online,sparse_remote,local_compute,150,0.528169014084507
entanglement_assisted_all_shared,logistic_regression,raw_online,sparse_remote,sparse_remote,53,0.18661971830985916
entanglement_assisted_all_shared,logistic_regression,raw_online,sparse_remote,dense_remote,78,0.2746478873239437
entanglement_assisted_all_shared,logistic_regression,raw_online,sparse_remote,synchronization_bursty,3,0.01056338028169014
entanglement_assisted_all_shared,logistic_regression,raw_online,dense_remote,local_compute,127,0.4471830985915493
entanglement_assisted_all_shared,logistic_regression,raw_online,dense_remote,sparse_remote,45,0.15845070422535212
entanglement_assisted_all_shared,logistic_regression,raw_online,dense_remote,dense_remote,94,0.33098591549295775
entanglement_assisted_all_shared,logistic_regression,raw_online,dense_remote,synchronization_bursty,18,0.06338028169014084
entanglement_assisted_all_shared,logistic_regression,raw_online,synchronization_bursty,local_compute,11,0.04741379310344827
entanglement_assisted_all_shared,logistic_regression,raw_online,synchronization_bursty,sparse_remote,4,0.017241379310344827
entanglement_assisted_all_shared,logistic_regression,raw_online,synchronization_bursty,dense_remote,24,0.10344827586206896
entanglement_assisted_all_shared,logistic_regression,raw_online,synchronization_bursty,synchronization_bursty,193,0.8318965517241379
entanglement_assisted_all_shared,random_forest,debounced_offline,local_compute,local_compute,182,0.7109375
entanglement_assisted_all_shared,random_forest,debounced_offline,local_compute,sparse_remote,53,0.20703125
entanglement_assisted_all_shared,random_forest,debounced_offline,local_compute,dense_remote,13,0.05078125
entanglement_assisted_all_shared,random_forest,debounced_offline,local_compute,synchronization_bursty,8,0.03125
entanglement_assisted_all_shared,random_forest,debounced_offline,sparse_remote,local_compute,144,0.5070422535211268
entanglement_assisted_all_shared,random_forest,debounced_offline,sparse_remote,sparse_remote,71,0.25
entanglement_assisted_all_shared,random_forest,debounced_offline,sparse_remote,dense_remote,65,0.22887323943661972
entanglement_assisted_all_shared,random_forest,debounced_offline,sparse_remote,synchronization_bursty,4,0.014084507042253521
entanglement_assisted_all_shared,random_forest,debounced_offline,dense_remote,local_compute,118,0.4154929577464789
entanglement_assisted_all_shared,random_forest,debounced_offline,dense_remote,sparse_remote,64,0.22535211267605634
entanglement_assisted_all_shared,random_forest,debounced_offline,dense_remote,dense_remote,84,0.29577464788732394
