victim_instance_id,split
victim_0000,train
victim_0001,train
victim_0002,test
victim_0003,test
victim_0004,train
victim_0005,train
victim_0006,test
victim_0007,train
victim_0008,test
victim_0009,train
victim_0010,test
victim_0011,train
victim_0012,train
victim_0013,train
victim_0014,train
victim_0015,train
victim_0016,train
victim_0017,train
victim_0018,test
victim_0019,train
victim_0020,test
victim_0021,train
victim_0022,test
victim_0023,train
victim_0024,train
victim_0025,train
victim_0026,train
victim_0027,train
victim_0028,train
victim_0029,train
victim_0030,train
victim_0031,test
victim_0032,train
victim_0033,train
victim_0034,test
victim_0035,test
