graph_instance_id,instance_index,edge_count,graph_edges,graph_signature,phase_count
graph_0000,0,2,module_2--module_4|module_3--module_4,80a9e20f5408d4cc,4
graph_0001,1,3,module_1--module_3|module_2--module_4|module_3--module_4,5f898cd74da6005b,5
graph_0002,2,4,module_1--module_2|module_1--module_3|module_1--module_4|module_2--module_4,41d4622b11134b5f,6
graph_0003,3,2,module_1--module_4|module_3--module_4,7b3d3e8cce90c296,4
graph_0004,4,3,module_1--module_2|module_1--module_3|module_1--module_4,f1cd97e76f09d446,5
graph_0005,5,4,module_1--module_3|module_1--module_4|module_2--module_3|module_3--module_4,9d9f099cd4646622,6
graph_0006,6,2,module_1--module_2|module_1--module_3,2b3a2d7ca75982fa,4
graph_0007,7,3,module_1--module_3|module_2--module_3|module_2--module_4,b20076c4b4ed957c,5
graph_0008,8,4,module_1--module_2|module_1--module_3|module_2--module_4|module_3--module_4,8f3dae0d6489065a,6
graph_0009,9,2,module_1--module_3|module_2--module_4,1ec2d27f8a593275,4
graph_0010,10,3,module_1--module_4|module_2--module_3|module_3--module_4,c3aff83658b99b2d,5
graph_0011,11,4,module_1--module_3|module_2--module_3|module_2--module_4|module_3--module_4,08acdc0c914d7252,6
graph_0012,12,2,module_1--module_4|module_2--module_3,f52dc041ddc555ee,4
graph_0013,13,3,module_1--module_3|module_1--module_4|module_2--module_3,600b96d14d43e5a5,5
graph_0014,14,4,module_1--module_2|module_1--module_4|module_2--module_3|module_2--module_4,9af0ec84a385a8ff,6
graph_0015,15,2,module_1--module_2|module_3--module_4,8e0e488c363f0077,4
graph_0016,16,3,module_1--module_3|module_1--module_4|module_3--module_4,7c913c5ee478c009,5
graph_0017,17,4,module_1--module_2|module_1--module_3|module_2--module_3|module_3--module_4,31e6d6d1ee732325,6
graph_0018,18,2,module_2--module_3|module_2--module_4,d40e7527e8162b94,4
graph_0019,19,3,module_1--module_3|module_2--module_3|module_3--module_4,424e405c1cec39d7,5
graph_0020,20,4,module_1--module_2|module_1--module_3|module_1--module_4|module_2--module_3,22fecc5a1ab66042,6
graph_0021,21,2,module_1--module_2|module_2--module_4,3621c5382878cc53,4
graph_0022,22,3,module_1--module_2|module_2--module_3|module_3--module_4,d6d93d465ffd1780,5
graph_0023,23,4,module_1--module_3|module_1--module_4|module_2--module_4|module_3--module_4,698767a5fe41c427,6
graph_0024,24,2,module_1--module_3|module_2--module_3,63b47b131c039a8a,4
graph_0025,25,3,module_1--module_2|module_1--module_3|module_2--module_4,add7daaa771d787f,5
graph_0026,26,4,module_1--module_2|module_2--module_3|module_2--module_4|module_3--module_4,5ce3d0398f122b88,6
graph_0027,27,2,module_1--module_3|module_3--module_4,0060b87087cfdc47,4
graph_0028,28,3,module_1--module_2|module_1--module_4|module_2--module_4,5a85e71d7653a8ca,5
graph_0029,29,4,module_1--module_2|module_1--module_3|module_2--module_3|module_2--module_4,83cc9e054fd88cb2,6
