graph_instance_id,repeat_id,phase_index,active_edge,remote_profile,phase_local_request_index,victim_request_index,release_ns,protocol_context,graph_mode
graph_0000,0,1,module_3--module_4,sparse_periodic,0,0,6497.478287821791,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,1,module_3--module_4,sparse_periodic,1,1,7548.78346197158,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,1,module_3--module_4,sparse_periodic,2,2,8606.099928014108,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,1,module_3--module_4,sparse_periodic,3,3,9668.667153965442,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,1,module_3--module_4,sparse_periodic,4,4,10719.442949138363,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,1,module_3--module_4,sparse_periodic,5,5,11777.782912705612,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,1,module_3--module_4,sparse_periodic,6,6,12840.505009323682,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,1,module_3--module_4,sparse_periodic,7,7,13897.12001368247,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,1,module_3--module_4,sparse_periodic,8,8,14954.59107799581,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,1,module_3--module_4,sparse_periodic,9,9,16014.154199835055,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,1,module_3--module_4,sparse_periodic,10,10,17072.56041716478,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,0,11,17773.531026331177,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,1,12,17839.181255170926,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,2,13,17913.96136898679,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,3,14,17981.500531052723,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,4,15,19380.661086883152,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,5,16,19447.044614181876,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,6,17,19512.51199126468,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,7,18,19584.854557414783,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,8,19,20982.083176610748,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,9,20,21050.044717096436,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,10,21,21117.403315720738,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,11,22,21195.063674911533,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,12,23,22588.581953795758,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,13,24,22651.30575202924,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,14,25,22720.34458411314,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,15,26,22793.37705966972,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,16,27,24192.8637063128,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,17,28,24256.9055852381,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,18,29,24325.66191852303,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,19,30,24404.02031770833,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,20,31,25792.316521544613,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,21,32,25867.124062271934,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,22,33,25937.797072493966,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,23,34,26003.2138047729,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,24,35,27402.135802423156,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,25,36,27470.701280652807,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,26,37,27538.399943150478,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,27,38,27606.162495687335,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,28,39,29006.092929767525,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,29,40,29070.69327253956,direct_coherent_dynamic_graph,edge_localized
graph_0000,0,2,module_2--module_4,synchronization_bursty,30,41,29139.112100546707,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,0,0,6520.190407685805,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,1,1,7539.519001681401,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,2,2,8557.375009400756,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,3,3,9570.850754353787,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,4,4,10595.633267488449,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,5,5,11606.014429710833,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,6,6,12624.130481477301,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,7,7,13642.988529552102,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,8,8,14667.689340042938,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,9,9,15680.735960916778,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,1,module_3--module_4,sparse_periodic,10,10,16703.949812649247,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,0,11,17734.70185267397,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,1,12,17805.903598902532,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,2,13,17871.119343365517,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,3,14,17931.487684595228,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,4,15,19282.288523813706,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,5,16,19346.75310260605,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,6,17,19417.700337288294,direct_coherent_dynamic_graph,edge_localized
