base_schedule_id,base_index,schedule_profile,base_phase_ns,interval_ns,burst_period_ns,burst_size,burst_spacing_ns,victim_route_offset
base_0000,0,sparse_periodic,394.26468844398227,1159.195831223648,0.0,1,0.0,2
base_0001,1,dense_periodic,329.4362304283793,445.1204723738438,0.0,1,0.0,2
base_0002,2,synchronization_bursty,313.41782333394553,0.0,1500.4745621114182,3,85.06291995516521,2
base_0003,3,sparse_periodic,125.84844112593402,932.1390347650248,0.0,1,0.0,2
base_0004,4,dense_periodic,298.8165890809688,442.5261404133861,0.0,1,0.0,0
base_0005,5,synchronization_bursty,115.7246249446047,0.0,1411.165563511279,4,55.812488113899676,2
base_0006,6,sparse_periodic,151.69575436580362,933.9785708570568,0.0,1,0.0,0
base_0007,7,dense_periodic,419.93858617877663,514.0809141164932,0.0,1,0.0,1
base_0008,8,synchronization_bursty,275.0637846489577,0.0,1525.4421272229545,4,55.45055285171359,0
base_0009,9,sparse_periodic,245.22725392724848,968.8328605256596,0.0,1,0.0,0
base_0010,10,dense_periodic,201.5350381317184,437.96179053110615,0.0,1,0.0,0
base_0011,11,synchronization_bursty,277.86716203998924,0.0,1581.4483164964379,5,93.82755026450133,1
base_0012,12,sparse_periodic,418.82833239396416,1115.8125784118422,0.0,1,0.0,0
base_0013,13,dense_periodic,336.18083427956583,448.4594833363953,0.0,1,0.0,1
base_0014,14,synchronization_bursty,200.51007119489725,0.0,1467.9510023017326,5,84.64462148969369,1
base_0015,15,sparse_periodic,230.07555845917952,1098.9697933864832,0.0,1,0.0,2
base_0016,16,dense_periodic,368.39805668696397,494.1493625732505,0.0,1,0.0,1
base_0017,17,synchronization_bursty,213.40705114522325,0.0,1847.1842409050469,4,93.93880830018853,1
