trace_id,condition_id,task_name,evaluator_label,link_success_probability,combined_wait_events,combined_intervals,combined_stage_records,combined_pool_events,actual_generation_attempt_count,actual_retry_count,distillation_event_count
d764354acce908cf24c6,protocol_direct,protocol_inference,direct_transfer,0.65,325,325,325,0,0,0,0
8d13baed5bc0aa513c53,protocol_on_demand,protocol_inference,on_demand_epr,0.65,370,370,320,0,25,9,0
fd7ca1e6dfb1b8bbe194,protocol_prefetch,protocol_inference,prefetched_epr,0.65,447,447,325,96,61,15,0
a9916e5fd780da48a76d,protocol_telegate,protocol_inference,telegate,0.65,476,476,342,102,67,22,0
ba9ba7d0fb3ed57fae98,protocol_teledata,protocol_inference,teledata,0.65,486,486,342,106,72,27,0
74d213ad37598d52bc15,distill_0,distillation_depth_inference,distill_0,0.65,379,379,325,0,27,10,0
ee70ed3ba25d5d0010d6,distill_1,distillation_depth_inference,distill_1,0.65,432,432,342,0,45,11,17
c055247033ab4b77ce7e,distill_2,distillation_depth_inference,distill_2,0.65,569,569,359,0,105,37,34
b440a1bc8a8feb1397fd,retry_1,retry_policy_inference,retry_1,0.65,319,319,285,0,17,8,0
e0a2b124b11f661d2526,retry_2,retry_policy_inference,retry_2,0.65,361,361,315,0,23,8,0
4fb5d731e7cc7bb3fb88,retry_4,retry_policy_inference,retry_4,0.65,383,383,325,0,29,12,0
842f842383073d10b81c,service_low_latency,service_class_inference,low_latency,0.65,379,379,325,0,27,10,0
611878bd3bfe2cd64ff9,service_high_fidelity,service_class_inference,high_fidelity,0.65,569,569,359,0,105,37,34
289d994debd36abfd866,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,0.65,459,459,325,102,67,20,0
dca5d6778b882552b885,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,0.65,459,459,325,102,67,20,0
443b1f505c07d5ee86a5,protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,0.65,459,459,325,102,67,20,0
1f95079a7179671e7fb5,protocol_control_telegate,protocol_label_only_control,telegate,0.65,459,459,325,102,67,20,0
885a53eed3676a1a2736,protocol_control_teledata,protocol_label_only_control,teledata,0.65,459,459,325,102,67,20,0
d2eb39d9e17e2a8c8866,service_control_low_latency,service_label_only_control,low_latency,0.65,440,440,336,0,52,20,16
cdf6d89fb636ec9f790b,service_control_high_fidelity,service_label_only_control,high_fidelity,0.65,440,440,336,0,52,20,16
77b52eb3a2c14a286dfe,protocol_direct,protocol_inference,direct_transfer,0.8,325,325,325,0,0,0,0
02a827c1c4f53489d848,protocol_on_demand,protocol_inference,on_demand_epr,0.8,359,359,325,0,17,0,0
7b8630f10c1a5604ee6f,protocol_prefetch,protocol_inference,prefetched_epr,0.8,433,433,325,89,54,7,0
8f3c0e3b7c00501eb62b,protocol_telegate,protocol_inference,telegate,0.8,456,456,342,92,57,10,0
e3c24933d3966b78dca1,protocol_teledata,protocol_inference,teledata,0.8,456,456,342,92,57,10,0
7a303845c9546c539be7,distill_0,distillation_depth_inference,distill_0,0.8,369,369,325,0,22,5,0
3b212637c8a00ef4ab9b,distill_1,distillation_depth_inference,distill_1,0.8,430,430,342,0,44,10,17
d671ad109512845e4cb1,distill_2,distillation_depth_inference,distill_2,0.8,527,527,359,0,84,16,34
306ca24ecab87a3dc70e,retry_1,retry_policy_inference,retry_1,0.8,339,339,305,0,17,4,0
e3afbba3cd9a19b9f03a,retry_2,retry_policy_inference,retry_2,0.8,360,360,320,0,20,4,0
65b43974e329c829f443,retry_4,retry_policy_inference,retry_4,0.8,367,367,325,0,21,4,0
cf5c32d5b0d2bfe2766d,service_low_latency,service_class_inference,low_latency,0.8,383,383,325,0,29,12,0
f3b148e35474135d5b58,service_high_fidelity,service_class_inference,high_fidelity,0.8,519,519,359,0,80,12,34
4545e8b8b2ac3602c4b9,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,0.8,431,431,325,88,53,6,0
197cff07f6ec1d39b4b7,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,0.8,431,431,325,88,53,6,0
d01b6dadd001f61ae206,protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,0.8,431,431,325,88,53,6,0
4ef9820a40cfd14a40e6,protocol_control_telegate,protocol_label_only_control,telegate,0.8,431,431,325,88,53,6,0
a5d9fa1ae4dee33b9f3e,protocol_control_teledata,protocol_label_only_control,teledata,0.8,431,431,325,88,53,6,0
49f78931754f0de94f0e,service_control_low_latency,service_label_only_control,low_latency,0.8,418,418,336,0,41,8,16
cc5c34d1ac1e40a4090b,service_control_high_fidelity,service_label_only_control,high_fidelity,0.8,418,418,336,0,41,8,16
0f7b845dba3a0911e5f9,protocol_direct,protocol_inference,direct_transfer,0.95,325,325,325,0,0,0,0
ba86f88f1833a2f5bd61,protocol_on_demand,protocol_inference,on_demand_epr,0.95,361,361,325,0,18,1,0
bb5304dabe76626cdf1d,protocol_prefetch,protocol_inference,prefetched_epr,0.95,419,419,325,82,47,0,0
2e052b9dde6b4a832bdc,protocol_telegate,protocol_inference,telegate,0.95,444,444,342,86,51,4,0
fe10b7a131a862c724af,protocol_teledata,protocol_inference,teledata,0.95,440,440,342,84,49,2,0
736fd6b987ceb9d3a7d9,distill_0,distillation_depth_inference,distill_0,0.95,365,365,325,0,20,3,0
4d080f40edd4b1c50ecc,distill_1,distillation_depth_inference,distill_1,0.95,412,412,342,0,35,1,17
aef8e7679214f07d959b,distill_2,distillation_depth_inference,distill_2,0.95,497,497,359,0,69,1,34
2ae9bd1e2ce8cddc1a6e,retry_1,retry_policy_inference,retry_1,0.95,354,354,320,0,17,1,0
ce2026f02d1e66118a50,retry_2,retry_policy_inference,retry_2,0.95,356,356,320,0,18,2,0
1a5061647d368ce677f1,retry_4,retry_policy_inference,retry_4,0.95,361,361,325,0,18,1,0
3c044a233a993adffa45,service_low_latency,service_class_inference,low_latency,0.95,361,361,325,0,18,1,0
33d757b6f44227f61fc6,service_high_fidelity,service_class_inference,high_fidelity,0.95,507,507,359,0,74,6,34
5e247565b7a827e96d8f,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,0.95,427,427,325,86,51,4,0
c87da333bef9ff1fc3e9,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,0.95,427,427,325,86,51,4,0
a928a7fd9f8c976dd45c,protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,0.95,427,427,325,86,51,4,0
24cfb924d29be173866d,protocol_control_telegate,protocol_label_only_control,telegate,0.95,427,427,325,86,51,4,0
dc5749fcce480390439e,protocol_control_teledata,protocol_label_only_control,teledata,0.95,427,427,325,86,51,4,0
97d4b49bf2a30d043f72,service_control_low_latency,service_label_only_control,low_latency,0.95,412,412,342,0,35,1,17
371e2359e1b589e3899e,service_control_high_fidelity,service_label_only_control,high_fidelity,0.95,412,412,342,0,35,1,17
879749d0b0d89b3a59ad,protocol_direct,protocol_inference,direct_transfer,0.65,325,325,325,0,0,0,0
4b4217d2258dce507137,protocol_on_demand,protocol_inference,on_demand_epr,0.65,384,384,320,0,32,16,0
a9f4dbb54ad446570e64,protocol_prefetch,protocol_inference,prefetched_epr,0.65,467,467,325,106,71,25,0
517b89f3859a31f59f5f,protocol_telegate,protocol_inference,telegate,0.65,474,474,342,101,66,21,0
68a1ec71170c2a709ed3,protocol_teledata,protocol_inference,teledata,0.65,482,482,342,105,70,23,0
f661367b392088fa9acf,distill_0,distillation_depth_inference,distill_0,0.65,363,363,325,0,19,2,0
ad6a44e2e1c02905808e,distill_1,distillation_depth_inference,distill_1,0.65,448,448,342,0,53,19,17
ff52a6d1ab4f323e5e65,distill_2,distillation_depth_inference,distill_2,0.65,559,559,359,0,100,32,34
8480f25f766b16376c5c,retry_1,retry_policy_inference,retry_1,0.65,324,324,290,0,17,7,0
1bd063aa08c6937a7136,retry_2,retry_policy_inference,retry_2,0.65,363,363,315,0,24,9,0
2c9368924293fdd70e34,retry_4,retry_policy_inference,retry_4,0.65,385,385,325,0,30,13,0
f891cec347a5a0bc3549,service_low_latency,service_class_inference,low_latency,0.65,374,374,320,0,27,11,0
c0f7bd8a8bf34a5fa767,service_high_fidelity,service_class_inference,high_fidelity,0.65,573,573,359,0,107,39,34
48c692977b76637a10bb,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,0.65,461,461,325,103,68,23,0
628da1f5d4ade6ead029,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,0.65,461,461,325,103,68,23,0
078a3e4ec6ba2942edf7,protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,0.65,461,461,325,103,68,23,0
6b468c40cdd660c4ed08,protocol_control_telegate,protocol_label_only_control,telegate,0.65,461,461,325,103,68,23,0
c9ec8b55c98966f41045,protocol_control_teledata,protocol_label_only_control,teledata,0.65,461,461,325,103,68,23,0
35222fd6bb5766f30e55,service_control_low_latency,service_label_only_control,low_latency,0.65,446,446,342,0,52,18,17
8d8f53c496e677630f66,service_control_high_fidelity,service_label_only_control,high_fidelity,0.65,446,446,342,0,52,18,17
b84caa21ceaff24dc246,protocol_direct,protocol_inference,direct_transfer,0.8,325,325,325,0,0,0,0
7fb2df7f6973b2b7de88,protocol_on_demand,protocol_inference,on_demand_epr,0.8,365,365,325,0,20,3,0
4303e46344129adea3c9,protocol_prefetch,protocol_inference,prefetched_epr,0.8,439,439,325,92,57,10,0
3de7f83f57daa6efcaba,protocol_telegate,protocol_inference,telegate,0.8,458,458,342,93,58,12,0
9ed5d0f64933722f59f9,protocol_teledata,protocol_inference,teledata,0.8,464,464,342,96,61,16,0
46867d3313858ce72d2e,distill_0,distillation_depth_inference,distill_0,0.8,373,373,325,0,24,7,0
c2c8731ab591efafe9f2,distill_1,distillation_depth_inference,distill_1,0.8,424,424,342,0,41,7,17
59bb7ba0acd1488fc015,distill_2,distillation_depth_inference,distill_2,0.8,525,525,359,0,83,15,34
b10ec4d68a8a2af5bf36,retry_1,retry_policy_inference,retry_1,0.8,344,344,310,0,17,3,0
fd1367507f4647fcfcca,retry_2,retry_policy_inference,retry_2,0.8,360,360,320,0,20,4,0
c05de75dcd5f24904541,retry_4,retry_policy_inference,retry_4,0.8,367,367,325,0,21,4,0
1f1003d1db964f831aa7,service_low_latency,service_class_inference,low_latency,0.8,369,369,325,0,22,5,0
36f369d4d199edbe5951,service_high_fidelity,service_class_inference,high_fidelity,0.8,511,511,359,0,76,8,34
84739de8ef9d3a2c1f61,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,0.8,449,449,325,97,62,15,0
b97d309e9f318b7d70a7,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,0.8,449,449,325,97,62,15,0
c4989dfd501262a2a123,protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,0.8,449,449,325,97,62,15,0
0f85c3769d5e746562fd,protocol_control_telegate,protocol_label_only_control,telegate,0.8,449,449,325,97,62,15,0
259054f73bf400406a68,protocol_control_teledata,protocol_label_only_control,teledata,0.8,449,449,325,97,62,15,0
6adc9bec893bb3c26830,service_control_low_latency,service_label_only_control,low_latency,0.8,430,430,342,0,44,10,17
d8e2af7a25d64c6cc6e7,service_control_high_fidelity,service_label_only_control,high_fidelity,0.8,430,430,342,0,44,10,17
f0c214aee87578dc2b13,protocol_direct,protocol_inference,direct_transfer,0.95,325,325,325,0,0,0,0
8b97fc79e7c754e4dab4,protocol_on_demand,protocol_inference,on_demand_epr,0.95,359,359,325,0,17,0,0
