task_name,model_name,sample_count,class_count,chance_accuracy,accuracy,balanced_accuracy,macro_f1,binary_roc_auc
distillation_depth_inference,logistic_regression,108,3,0.3333333333333333,0.5185185185185185,0.5185185185185185,0.4986657346832531,
distillation_depth_inference,random_forest,108,3,0.3333333333333333,0.6111111111111112,0.611111111111111,0.608343540106295,
distillation_depth_inference,hist_gradient_boosting,108,3,0.3333333333333333,0.6203703703703703,0.6203703703703703,0.6114033189033189,
protocol_inference,logistic_regression,180,5,0.2,0.45555555555555555,0.4555555555555556,0.4296453603456299,
protocol_inference,random_forest,180,5,0.2,0.49444444444444446,0.49444444444444446,0.4879540830112184,
protocol_inference,hist_gradient_boosting,180,5,0.2,0.42777777777777776,0.42777777777777776,0.4485702093819402,
protocol_label_only_control,logistic_regression,180,5,0.2,0.2,0.2,0.06666666666666667,
protocol_label_only_control,random_forest,180,5,0.2,0.2,0.2,0.18608905960070757,
protocol_label_only_control,hist_gradient_boosting,180,5,0.2,0.2,0.2,0.06666666666666667,
retry_policy_inference,logistic_regression,108,3,0.3333333333333333,0.4537037037037037,0.4537037037037037,0.43971052283506235,
retry_policy_inference,random_forest,108,3,0.3333333333333333,0.3888888888888889,0.3888888888888889,0.3752380952380952,
retry_policy_inference,hist_gradient_boosting,108,3,0.3333333333333333,0.37037037037037035,0.3703703703703704,0.3449101307189542,
service_class_inference,logistic_regression,72,2,0.5,0.9305555555555556,0.9305555555555556,0.9305421570519004,0.9853395061728395
service_class_inference,random_forest,72,2,0.5,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.966820987654321
service_class_inference,hist_gradient_boosting,72,2,0.5,0.9027777777777778,0.9027777777777777,0.9027590198726606,0.9714506172839507
service_label_only_control,logistic_regression,72,2,0.5,0.5,0.5,0.3333333333333333,0.5
service_label_only_control,random_forest,72,2,0.5,0.5,0.5,0.5,0.5
service_label_only_control,hist_gradient_boosting,72,2,0.5,0.5,0.5,0.3333333333333333,0.5
