task_name,model_name,held_out_link_success_probability,sample_count,chance_accuracy,accuracy,balanced_accuracy,macro_f1
distillation_depth_inference,random_forest,0.65,108,0.3333333333333333,0.7129629629629629,0.7129629629629629,0.715223447212014
distillation_depth_inference,random_forest,0.8,108,0.3333333333333333,0.9444444444444444,0.9444444444444443,0.9447815892127983
distillation_depth_inference,random_forest,0.95,108,0.3333333333333333,0.7222222222222222,0.7222222222222223,0.7186358371201996
protocol_inference,random_forest,0.65,180,0.2,0.5611111111111111,0.5611111111111111,0.5455140322246096
protocol_inference,random_forest,0.8,180,0.2,0.5833333333333334,0.5833333333333334,0.5599900890110148
protocol_inference,random_forest,0.95,180,0.2,0.5777777777777777,0.5777777777777777,0.5528257795107675
protocol_label_only_control,random_forest,0.65,180,0.2,0.2,0.19999999999999998,0.18070013684404632
protocol_label_only_control,random_forest,0.8,180,0.2,0.2,0.2,0.17890661917051362
protocol_label_only_control,random_forest,0.95,180,0.2,0.2,0.2,0.19637540939780604
retry_policy_inference,random_forest,0.65,108,0.3333333333333333,0.6388888888888888,0.6388888888888888,0.6382898367388096
retry_policy_inference,random_forest,0.8,108,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5637221072003681
retry_policy_inference,random_forest,0.95,108,0.3333333333333333,0.37962962962962965,0.3796296296296296,0.2838057999348322
service_class_inference,random_forest,0.65,72,0.5,0.8333333333333334,0.8333333333333333,0.8285714285714285
service_class_inference,random_forest,0.8,72,0.5,0.9861111111111112,0.9861111111111112,0.9861084314103801
service_class_inference,random_forest,0.95,72,0.5,0.9166666666666666,0.9166666666666667,0.916083916083916
service_label_only_control,random_forest,0.65,72,0.5,0.5,0.5,0.49016522423288755
service_label_only_control,random_forest,0.8,72,0.5,0.5,0.5,0.5
service_label_only_control,random_forest,0.95,72,0.5,0.5,0.5,0.49375
