trace_id,condition_id,task_name,evaluator_label,link_success_probability,combined_wait_events,combined_resource_intervals,combined_stage_records,combined_pool_events,actual_generation_attempt_count,actual_retry_count,distillation_event_count
9c8fce4a619c4506f2a3,protocol_direct,protocol_inference,direct_transfer,0.65,268,268,335,0,0,0,0
78667d321da43d3bc9dd,protocol_on_demand,protocol_inference,on_demand_epr,0.65,326,326,335,0,29,10,0
7c2549ddaf57836b078e,protocol_prefetch,protocol_inference,prefetched_epr,0.65,316,316,335,39,24,5,0
98b36644a7279c7ec4e8,protocol_telegate,protocol_inference,telegate,0.65,330,330,335,39,31,12,0
f028187d610bd787c1e7,protocol_teledata,protocol_inference,teledata,0.65,324,324,335,39,28,9,0
a4c42fd22c522099cdc8,distill_0,distillation_depth_inference,distill_0,0.65,332,332,335,0,32,13,0
4a58e24ed7566e25c3de,distill_1,distillation_depth_inference,distill_1,0.65,399,399,335,0,56,18,19
97ad91ae3dd95fe56bf3,distill_2,distillation_depth_inference,distill_2,0.65,528,528,335,0,111,35,38
c002c421f9fd659351a2,retry_1,retry_policy_inference,retry_1,0.65,282,282,305,0,19,6,0
35239e8e843fd7fa8b75,retry_2,retry_policy_inference,retry_2,0.65,318,318,325,0,29,12,0
7365256af0e7b5ddaa6c,retry_4,retry_policy_inference,retry_4,0.65,324,324,325,0,32,15,0
194a26b5deafc44166f5,service_low_latency,service_class_inference,low_latency,0.65,328,328,335,39,30,11,0
d6cdce7336fa69e078d0,service_high_fidelity,service_class_inference,high_fidelity,0.65,528,528,335,0,111,35,38
a565797d9078427d18a8,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,0.65,322,322,335,39,27,8,0
d2bc0bde96f167a4e26b,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,0.65,322,322,335,39,27,8,0
2e6568c8743ad744adc8,protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,0.65,322,322,335,39,27,8,0
8f16bdf68680fe1ec6ca,protocol_control_telegate,protocol_label_only_control,telegate,0.65,322,322,335,39,27,8,0
e77e0340ecd73f343fe7,protocol_control_teledata,protocol_label_only_control,teledata,0.65,322,322,335,39,27,8,0
633cfc31af71b5d82895,service_control_low_latency,service_label_only_control,low_latency,0.65,322,322,335,39,27,8,0
977e0bb1f3548b249d82,service_control_high_fidelity,service_label_only_control,high_fidelity,0.65,322,322,335,39,27,8,0
2d5d7dc1a01f95803963,protocol_direct,protocol_inference,direct_transfer,0.8,268,268,335,0,0,0,0
d317bb2b94c927c1b45c,protocol_on_demand,protocol_inference,on_demand_epr,0.8,314,314,335,0,23,4,0
3188fe0731d0147e740a,protocol_prefetch,protocol_inference,prefetched_epr,0.8,312,312,335,39,22,3,0
d4df755bcef57a0dafab,protocol_telegate,protocol_inference,telegate,0.8,316,316,335,39,24,5,0
78977169778223c49099,protocol_teledata,protocol_inference,teledata,0.8,318,318,335,39,25,6,0
6ba70a8a6f6224295430,distill_0,distillation_depth_inference,distill_0,0.8,312,312,335,0,22,3,0
b0655256fbe0093a0eda,distill_1,distillation_depth_inference,distill_1,0.8,387,387,335,0,50,12,19
ec4d4d0ecbd86ebcf25b,distill_2,distillation_depth_inference,distill_2,0.8,494,494,335,0,94,18,38
a713c1acee59a1627efb,retry_1,retry_policy_inference,retry_1,0.8,294,294,320,0,19,3,0
62fe92b150655e974a83,retry_2,retry_policy_inference,retry_2,0.8,320,320,330,0,28,10,0
b124c79e5bf16f293c91,retry_4,retry_policy_inference,retry_4,0.8,308,308,335,0,20,1,0
2543fabbe8bd830a5c10,service_low_latency,service_class_inference,low_latency,0.8,312,312,335,39,22,3,0
3e00584edea533b5666e,service_high_fidelity,service_class_inference,high_fidelity,0.8,502,502,335,0,98,22,38
17ffe23e50066cdfc337,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,0.8,312,312,335,39,22,3,0
3d47595cfb3d61459bf3,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,0.8,312,312,335,39,22,3,0
57c1965b7e54dbe2a78a,protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,0.8,312,312,335,39,22,3,0
e1c53d8e4035d884f156,protocol_control_telegate,protocol_label_only_control,telegate,0.8,312,312,335,39,22,3,0
32a0ecc90c9446fe39d1,protocol_control_teledata,protocol_label_only_control,teledata,0.8,312,312,335,39,22,3,0
e41f9f9a42dccb1e22a4,service_control_low_latency,service_label_only_control,low_latency,0.8,316,316,335,39,24,5,0
39384a52127dcf28b0c9,service_control_high_fidelity,service_label_only_control,high_fidelity,0.8,316,316,335,39,24,5,0
d48083f919ec02da922f,protocol_direct,protocol_inference,direct_transfer,0.95,268,268,335,0,0,0,0
6e0d94daf8ea9064297a,protocol_on_demand,protocol_inference,on_demand_epr,0.95,312,312,335,0,22,3,0
68b9f087249c207151ca,protocol_prefetch,protocol_inference,prefetched_epr,0.95,308,308,335,39,20,1,0
67b3d200e1b74ca367d9,protocol_telegate,protocol_inference,telegate,0.95,308,308,335,39,20,1,0
225305fbf777da9fb31b,protocol_teledata,protocol_inference,teledata,0.95,312,312,335,39,22,3,0
658426d608336775ab80,distill_0,distillation_depth_inference,distill_0,0.95,306,306,335,0,19,0,0
e5c039f80cae1c55eaff,distill_1,distillation_depth_inference,distill_1,0.95,373,373,335,0,43,5,19
9e8c6b722d9ad3465fb2,distill_2,distillation_depth_inference,distill_2,0.95,460,460,335,0,77,1,38
5411d056fdd3266552c5,retry_1,retry_policy_inference,retry_1,0.95,298,298,325,0,19,2,0
b949737222a90aa52ecd,retry_2,retry_policy_inference,retry_2,0.95,308,308,335,0,20,1,0
a317300a1cdc68e540c2,retry_4,retry_policy_inference,retry_4,0.95,310,310,335,0,21,2,0
a26a63da302f2f97fbb2,service_low_latency,service_class_inference,low_latency,0.95,308,308,335,39,20,1,0
874803f4b32431245b15,service_high_fidelity,service_class_inference,high_fidelity,0.95,468,468,335,0,81,5,38
7c2a8b6f759307bb2a72,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,0.95,306,306,335,39,19,0,0
0bd6926a62dc4fa233bc,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,0.95,306,306,335,39,19,0,0
1d3cb017b9dec63a96af,protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,0.95,306,306,335,39,19,0,0
22007ef8998826c97006,protocol_control_telegate,protocol_label_only_control,telegate,0.95,306,306,335,39,19,0,0
64a7e1fb89d288d15698,protocol_control_teledata,protocol_label_only_control,teledata,0.95,306,306,335,39,19,0,0
48f8fb819424f13e2de3,service_control_low_latency,service_label_only_control,low_latency,0.95,314,314,335,39,23,4,0
818d659e2193ecde51a4,service_control_high_fidelity,service_label_only_control,high_fidelity,0.95,314,314,335,39,23,4,0
d6ea71ef3acd00957883,protocol_direct,protocol_inference,direct_transfer,0.65,268,268,335,0,0,0,0
0af05af9631245eec789,protocol_on_demand,protocol_inference,on_demand_epr,0.65,336,336,330,0,36,18,0
252607f878863fd9be86,protocol_prefetch,protocol_inference,prefetched_epr,0.65,332,332,335,39,32,13,0
fe9da993a90362ff908a,protocol_telegate,protocol_inference,telegate,0.65,318,318,335,39,25,6,0
3aa640391ff6fbd42c79,protocol_teledata,protocol_inference,teledata,0.65,322,322,335,39,27,8,0
267cbb15780a8dc69363,distill_0,distillation_depth_inference,distill_0,0.65,328,328,335,0,30,11,0
d80b06db3b284f67c334,distill_1,distillation_depth_inference,distill_1,0.65,415,415,335,0,64,26,19
9cdd3a1b465044e91771,distill_2,distillation_depth_inference,distill_2,0.65,508,508,335,0,101,25,38
4c9eeb9c8dd588656767,retry_1,retry_policy_inference,retry_1,0.65,278,278,300,0,19,7,0
d4c438413d0649045511,retry_2,retry_policy_inference,retry_2,0.65,308,308,325,0,24,7,0
2d75d25cd74e2655d5e1,retry_4,retry_policy_inference,retry_4,0.65,322,322,330,0,29,11,0
af8e5da76ba679c8d80b,service_low_latency,service_class_inference,low_latency,0.65,316,316,335,39,24,5,0
5afa18821971369dd285,service_high_fidelity,service_class_inference,high_fidelity,0.65,548,548,335,0,121,45,38
397b79387aefbb010d4f,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,0.65,330,330,335,39,31,12,0
9e0a44ded271f3da1c4c,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,0.65,330,330,335,39,31,12,0
050cc0964c009065eaae,protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,0.65,330,330,335,39,31,12,0
5b6096fc9211cb0b85f7,protocol_control_telegate,protocol_label_only_control,telegate,0.65,330,330,335,39,31,12,0
e95e0949233ff0125cd9,protocol_control_teledata,protocol_label_only_control,teledata,0.65,330,330,335,39,31,12,0
28fa3b99e894ba4fbb50,service_control_low_latency,service_label_only_control,low_latency,0.65,320,320,335,39,26,7,0
507d0dc6655e9b9aceb3,service_control_high_fidelity,service_label_only_control,high_fidelity,0.65,320,320,335,39,26,7,0
de348eceda42a4c477b7,protocol_direct,protocol_inference,direct_transfer,0.8,268,268,335,0,0,0,0
0f067dc0279fdd7f65b8,protocol_on_demand,protocol_inference,on_demand_epr,0.8,314,314,335,0,23,4,0
580a7c88119953ab294f,protocol_prefetch,protocol_inference,prefetched_epr,0.8,314,314,335,39,23,4,0
2872e3f97f397cee59fb,protocol_telegate,protocol_inference,telegate,0.8,312,312,335,39,22,3,0
276f644c5e155efe6042,protocol_teledata,protocol_inference,teledata,0.8,310,310,335,39,21,2,0
6edc6027387f8180d8db,distill_0,distillation_depth_inference,distill_0,0.8,314,314,335,0,23,4,0
2eedf3148210262b0fb9,distill_1,distillation_depth_inference,distill_1,0.8,383,383,335,0,48,10,19
ab79f348c0875b3047a8,distill_2,distillation_depth_inference,distill_2,0.8,506,506,335,0,100,24,38
cbff18dad2fa7d9e76f5,retry_1,retry_policy_inference,retry_1,0.8,294,294,320,0,19,3,0
085403d48bb44a0f1962,retry_2,retry_policy_inference,retry_2,0.8,318,318,330,0,27,9,0
dacc130d82179fb32016,retry_4,retry_policy_inference,retry_4,0.8,314,314,335,0,23,4,0
1fa7aadefc91feaa37ed,service_low_latency,service_class_inference,low_latency,0.8,316,316,335,39,24,5,0
3840fe7afccc02c02361,service_high_fidelity,service_class_inference,high_fidelity,0.8,504,504,335,0,99,23,38
5e1dbf2ac9324bd262af,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,0.8,320,320,335,39,26,7,0
ae17fa74ee5a87c9dcb6,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,0.8,320,320,335,39,26,7,0
