task_name,model_name,held_out_schedule_profile,sample_count,chance_accuracy,accuracy,balanced_accuracy,macro_f1
distillation_depth_inference,random_forest,dense_periodic,108,0.3333333333333333,0.12037037037037036,0.12037037037037035,0.10771561073332186
distillation_depth_inference,random_forest,sparse_periodic,108,0.3333333333333333,0.3425925925925926,0.34259259259259256,0.22062732589048376
distillation_depth_inference,random_forest,synchronization_bursty,108,0.3333333333333333,0.37962962962962965,0.3796296296296296,0.27629975202790735
protocol_inference,random_forest,dense_periodic,180,0.2,0.18888888888888888,0.1888888888888889,0.1592727272727273
protocol_inference,random_forest,sparse_periodic,180,0.2,0.2111111111111111,0.2111111111111111,0.12964576074332174
protocol_inference,random_forest,synchronization_bursty,180,0.2,0.20555555555555555,0.20555555555555555,0.08071372343217004
protocol_label_only_control,random_forest,dense_periodic,180,0.2,0.2,0.2,0.18919156128122064
protocol_label_only_control,random_forest,sparse_periodic,180,0.2,0.2,0.2,0.16177118740251262
protocol_label_only_control,random_forest,synchronization_bursty,180,0.2,0.2,0.2,0.1545713357332851
retry_policy_inference,random_forest,dense_periodic,108,0.3333333333333333,0.37962962962962965,0.3796296296296296,0.3783260433752506
retry_policy_inference,random_forest,sparse_periodic,108,0.3333333333333333,0.37037037037037035,0.3703703703703703,0.24072864072864072
retry_policy_inference,random_forest,synchronization_bursty,108,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666
service_class_inference,random_forest,dense_periodic,72,0.5,0.9027777777777778,0.9027777777777778,0.9018500486854917
service_class_inference,random_forest,sparse_periodic,72,0.5,0.5277777777777778,0.5277777777777778,0.39225422045680236
service_class_inference,random_forest,synchronization_bursty,72,0.5,0.6111111111111112,0.6111111111111112,0.5418181818181818
service_label_only_control,random_forest,dense_periodic,72,0.5,0.5,0.5,0.48035284683239776
service_label_only_control,random_forest,sparse_periodic,72,0.5,0.5,0.5,0.35650446871896724
service_label_only_control,random_forest,synchronization_bursty,72,0.5,0.5,0.5,0.4375
