attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_0p50x_low,0.5,840,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_0p50x_low,0.5,840,1,1840,1870,1870,2920,3030,110,1050,1160,module_3,module_4,17,0,110,1980,1050,1050,True
2,rate_0p50x_low,0.5,840,2,2680,2710,2710,3030,3140,110,320,430,module_3,module_4,18,0,110,2820,320,320,True
3,rate_0p50x_low,0.5,840,3,3520,3550,3550,3550,3660,110,0,110,module_3,module_4,19,0,110,3660,0,0,False
4,rate_0p50x_low,0.5,840,4,4360,4390,4390,4390,4500,110,0,110,module_3,module_4,20,0,110,4500,0,0,False
5,rate_0p50x_low,0.5,840,5,5200,5230,5230,5230,5340,110,0,110,module_3,module_4,21,0,110,5340,0,0,False
6,rate_0p50x_low,0.5,840,6,6040,6070,6070,6070,6180,110,0,110,module_3,module_4,22,0,110,6180,0,0,False
7,rate_0p50x_low,0.5,840,7,6880,6910,6910,6910,7020,110,0,110,module_3,module_4,23,0,110,7020,0,0,False
8,rate_0p50x_low,0.5,840,8,7720,7750,7750,7750,7860,110,0,110,module_3,module_4,24,0,110,7860,0,0,False
9,rate_0p50x_low,0.5,840,9,8560,8590,8590,8590,8700,110,0,110,module_3,module_4,25,0,110,8700,0,0,False
10,rate_0p50x_low,0.5,840,10,9400,9430,9430,9430,9540,110,0,110,module_3,module_4,26,0,110,9540,0,0,False
11,rate_0p50x_low,0.5,840,11,10240,10270,10270,10270,10380,110,0,110,module_3,module_4,27,0,110,10380,0,0,False
12,rate_0p50x_low,0.5,840,12,11080,11110,11110,11110,11220,110,0,110,module_3,module_4,28,0,110,11220,0,0,False
13,rate_0p50x_low,0.5,840,13,11920,11950,11950,11950,12060,110,0,110,module_3,module_4,29,0,110,12060,0,0,False
14,rate_0p50x_low,0.5,840,14,12760,12790,12790,12790,12900,110,0,110,module_3,module_4,30,0,110,12900,0,0,False
15,rate_0p50x_low,0.5,840,15,13600,13630,13630,13630,13740,110,0,110,module_3,module_4,31,0,110,13740,0,0,False
16,rate_0p50x_low,0.5,840,16,14440,14470,14470,14470,14580,110,0,110,module_3,module_4,32,0,110,14580,0,0,False
17,rate_0p50x_low,0.5,840,17,15280,15310,15310,15310,15420,110,0,110,module_3,module_4,33,0,110,15420,0,0,False
18,rate_0p50x_low,0.5,840,18,16120,16150,16150,16150,16260,110,0,110,module_3,module_4,34,0,110,16260,0,0,False
19,rate_0p50x_low,0.5,840,19,16960,16990,16990,16990,17100,110,0,110,module_3,module_4,35,0,110,17100,0,0,False
20,rate_0p50x_low,0.5,840,20,17800,17830,17830,17830,17940,110,0,110,module_3,module_4,36,0,110,17940,0,0,False
21,rate_0p50x_low,0.5,840,21,18640,18670,18670,18670,18780,110,0,110,module_3,module_4,37,0,110,18780,0,0,False
22,rate_0p50x_low,0.5,840,22,19480,19510,19510,19510,19620,110,0,110,module_3,module_4,38,0,110,19620,0,0,False
23,rate_0p50x_low,0.5,840,23,20320,20350,20350,20350,20460,110,0,110,module_3,module_4,39,0,110,20460,0,0,False
