attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_0p50x_low,0.5,840,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_0p50x_low,0.5,840,1,1840,1870,1870,5770,5880,110,3900,4010,module_3,module_4,43,0,110,1980,3900,3900,True
2,rate_0p50x_low,0.5,840,2,2680,2710,2710,5880,5990,110,3170,3280,module_3,module_4,44,0,110,2820,3170,3170,True
3,rate_0p50x_low,0.5,840,3,3520,3550,3550,5990,6100,110,2440,2550,module_3,module_4,45,0,110,3660,2440,2440,True
4,rate_0p50x_low,0.5,840,4,4360,4390,4390,6100,6210,110,1710,1820,module_3,module_4,46,0,110,4500,1710,1710,True
5,rate_0p50x_low,0.5,840,5,5200,5230,5230,6210,6320,110,980,1090,module_3,module_4,47,0,110,5340,980,980,True
6,rate_0p50x_low,0.5,840,6,6040,6070,6070,6320,6430,110,250,360,module_3,module_4,48,0,110,6180,250,250,True
7,rate_0p50x_low,0.5,840,7,6880,6910,6910,6910,7020,110,0,110,module_3,module_4,49,0,110,7020,0,0,False
8,rate_0p50x_low,0.5,840,8,7720,7750,7750,7750,7860,110,0,110,module_3,module_4,50,0,110,7860,0,0,False
9,rate_0p50x_low,0.5,840,9,8560,8590,8590,8590,8700,110,0,110,module_3,module_4,51,0,110,8700,0,0,False
10,rate_0p50x_low,0.5,840,10,9400,9430,9430,9430,9540,110,0,110,module_3,module_4,52,0,110,9540,0,0,False
11,rate_0p50x_low,0.5,840,11,10240,10270,10270,10270,10380,110,0,110,module_3,module_4,53,0,110,10380,0,0,False
12,rate_0p50x_low,0.5,840,12,11080,11110,11110,11110,11220,110,0,110,module_3,module_4,54,0,110,11220,0,0,False
13,rate_0p50x_low,0.5,840,13,11920,11950,11950,11950,12060,110,0,110,module_3,module_4,55,0,110,12060,0,0,False
14,rate_0p50x_low,0.5,840,14,12760,12790,12790,12790,12900,110,0,110,module_3,module_4,56,0,110,12900,0,0,False
15,rate_0p50x_low,0.5,840,15,13600,13630,13630,13630,13740,110,0,110,module_3,module_4,57,0,110,13740,0,0,False
16,rate_0p50x_low,0.5,840,16,14440,14470,14470,14470,14580,110,0,110,module_3,module_4,58,0,110,14580,0,0,False
17,rate_0p50x_low,0.5,840,17,15280,15310,15310,15310,15420,110,0,110,module_3,module_4,59,0,110,15420,0,0,False
18,rate_0p50x_low,0.5,840,18,16120,16150,16150,16150,16260,110,0,110,module_3,module_4,60,0,110,16260,0,0,False
19,rate_0p50x_low,0.5,840,19,16960,16990,16990,16990,17100,110,0,110,module_3,module_4,61,0,110,17100,0,0,False
20,rate_0p50x_low,0.5,840,20,17800,17830,17830,17830,17940,110,0,110,module_3,module_4,62,0,110,17940,0,0,False
21,rate_0p50x_low,0.5,840,21,18640,18670,18670,18670,18780,110,0,110,module_3,module_4,63,0,110,18780,0,0,False
22,rate_0p50x_low,0.5,840,22,19480,19510,19510,19510,19620,110,0,110,module_3,module_4,64,0,110,19620,0,0,False
23,rate_0p50x_low,0.5,840,23,20320,20350,20350,20350,20460,110,0,110,module_3,module_4,65,0,110,20460,0,0,False
