attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_2p00x_high,2.0,210,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_2p00x_high,2.0,210,1,1210,1240,1240,2920,3030,110,1680,1790,module_3,module_4,17,0,110,1350,1680,1680,True
2,rate_2p00x_high,2.0,210,2,1420,1450,1450,3030,3140,110,1580,1690,module_3,module_4,18,0,110,1560,1580,1580,True
3,rate_2p00x_high,2.0,210,3,1630,1660,1660,3140,3250,110,1480,1590,module_3,module_4,19,0,110,1770,1480,1480,True
4,rate_2p00x_high,2.0,210,4,1840,1870,1870,3250,3360,110,1380,1490,module_3,module_4,20,0,110,1980,1380,1380,True
5,rate_2p00x_high,2.0,210,5,2050,2080,2080,3360,3470,110,1280,1390,module_3,module_4,21,0,110,2190,1280,1280,True
6,rate_2p00x_high,2.0,210,6,2260,2290,2290,3470,3580,110,1180,1290,module_3,module_4,22,0,110,2400,1180,1180,True
7,rate_2p00x_high,2.0,210,7,2470,2500,2500,3580,3690,110,1080,1190,module_3,module_4,23,0,110,2610,1080,1080,True
8,rate_2p00x_high,2.0,210,8,2680,2710,2710,3690,3800,110,980,1090,module_3,module_4,24,0,110,2820,980,980,True
9,rate_2p00x_high,2.0,210,9,2890,2920,2920,3800,3910,110,880,990,module_3,module_4,25,0,110,3030,880,880,True
10,rate_2p00x_high,2.0,210,10,3100,3130,3130,3910,4020,110,780,890,module_3,module_4,26,0,110,3240,780,780,True
11,rate_2p00x_high,2.0,210,11,3310,3340,3340,4020,4130,110,680,790,module_3,module_4,27,0,110,3450,680,680,True
12,rate_2p00x_high,2.0,210,12,3520,3550,3550,4130,4240,110,580,690,module_3,module_4,28,0,110,3660,580,580,True
13,rate_2p00x_high,2.0,210,13,3730,3760,3760,4240,4350,110,480,590,module_3,module_4,29,0,110,3870,480,480,True
14,rate_2p00x_high,2.0,210,14,3940,3970,3970,4350,4460,110,380,490,module_3,module_4,30,0,110,4080,380,380,True
15,rate_2p00x_high,2.0,210,15,4150,4180,4180,4460,4570,110,280,390,module_3,module_4,31,0,110,4290,280,280,True
16,rate_2p00x_high,2.0,210,16,4360,4390,4390,4570,4680,110,180,290,module_3,module_4,32,0,110,4500,180,180,True
17,rate_2p00x_high,2.0,210,17,4570,4600,4600,4680,4790,110,80,190,module_3,module_4,33,0,110,4710,80,80,True
18,rate_2p00x_high,2.0,210,18,4780,4810,4810,4810,4920,110,0,110,module_3,module_4,34,0,110,4920,0,0,False
19,rate_2p00x_high,2.0,210,19,4990,5020,5020,5020,5130,110,0,110,module_3,module_4,35,0,110,5130,0,0,False
20,rate_2p00x_high,2.0,210,20,5200,5230,5230,5230,5340,110,0,110,module_3,module_4,36,0,110,5340,0,0,False
21,rate_2p00x_high,2.0,210,21,5410,5440,5440,5440,5550,110,0,110,module_3,module_4,37,0,110,5550,0,0,False
22,rate_2p00x_high,2.0,210,22,5620,5650,5650,5650,5760,110,0,110,module_3,module_4,38,0,110,5760,0,0,False
23,rate_2p00x_high,2.0,210,23,5830,5860,5860,5860,5970,110,0,110,module_3,module_4,39,0,110,5970,0,0,False
24,rate_2p00x_high,2.0,210,24,6040,6070,6070,6070,6180,110,0,110,module_3,module_4,40,0,110,6180,0,0,False
25,rate_2p00x_high,2.0,210,25,6250,6280,6280,6280,6390,110,0,110,module_3,module_4,41,0,110,6390,0,0,False
26,rate_2p00x_high,2.0,210,26,6460,6490,6490,6490,6600,110,0,110,module_3,module_4,42,0,110,6600,0,0,False
27,rate_2p00x_high,2.0,210,27,6670,6700,6700,6700,6810,110,0,110,module_3,module_4,43,0,110,6810,0,0,False
28,rate_2p00x_high,2.0,210,28,6880,6910,6910,6910,7020,110,0,110,module_3,module_4,44,0,110,7020,0,0,False
29,rate_2p00x_high,2.0,210,29,7090,7120,7120,7120,7230,110,0,110,module_3,module_4,45,0,110,7230,0,0,False
30,rate_2p00x_high,2.0,210,30,7300,7330,7330,7330,7440,110,0,110,module_3,module_4,46,0,110,7440,0,0,False
31,rate_2p00x_high,2.0,210,31,7510,7540,7540,7540,7650,110,0,110,module_3,module_4,47,0,110,7650,0,0,False
32,rate_2p00x_high,2.0,210,32,7720,7750,7750,7750,7860,110,0,110,module_3,module_4,48,0,110,7860,0,0,False
33,rate_2p00x_high,2.0,210,33,7930,7960,7960,7960,8070,110,0,110,module_3,module_4,49,0,110,8070,0,0,False
34,rate_2p00x_high,2.0,210,34,8140,8170,8170,8170,8280,110,0,110,module_3,module_4,50,0,110,8280,0,0,False
35,rate_2p00x_high,2.0,210,35,8350,8380,8380,8380,8490,110,0,110,module_3,module_4,51,0,110,8490,0,0,False
