run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,511,cx,"5,6",module_0,module_1,3555,3660,3770,105,215,110
victim_present,1,514,cx,"6,5",module_0,module_1,3570,3770,3880,200,310,110
victim_present,2,517,cx,"5,6",module_0,module_1,3585,3880,3990,295,405,110
victim_present,3,523,cx,"5,6",module_0,module_1,3615,3990,4100,375,485,110
victim_present,4,526,cx,"6,5",module_0,module_1,3630,4100,4210,470,580,110
victim_present,5,529,cx,"5,6",module_0,module_1,3645,4210,4320,565,675,110
victim_present,6,535,cx,"5,6",module_0,module_1,3675,4320,4430,645,755,110
victim_present,7,538,cx,"6,5",module_0,module_1,3690,4430,4540,740,850,110
victim_present,8,541,cx,"5,6",module_0,module_1,3705,4540,4650,835,945,110
victim_present,9,661,cx,"11,12",module_1,module_2,4305,4980,5090,675,785,110
victim_present,10,664,cx,"12,11",module_1,module_2,4320,5090,5200,770,880,110
victim_present,11,667,cx,"11,12",module_1,module_2,4335,5200,5310,865,975,110
victim_present,12,673,cx,"11,12",module_1,module_2,4365,5310,5420,945,1055,110
victim_present,13,676,cx,"12,11",module_1,module_2,4380,5420,5530,1040,1150,110
victim_present,14,679,cx,"11,12",module_1,module_2,4395,5640,5750,1245,1355,110
victim_present,15,685,cx,"11,12",module_1,module_2,4425,5750,5860,1325,1435,110
victim_present,16,688,cx,"12,11",module_1,module_2,4440,5860,5970,1420,1530,110
victim_present,17,691,cx,"11,12",module_1,module_2,4455,5970,6080,1515,1625,110
victim_present,18,761,cx,"15,0",module_0,module_2,4805,6190,6300,1385,1495,110
victim_present,19,764,cx,"0,15",module_0,module_2,4820,6410,6520,1590,1700,110
victim_present,20,767,cx,"15,0",module_0,module_2,4835,6520,6630,1685,1795,110
victim_present,21,773,cx,"15,0",module_0,module_2,4865,6630,6740,1765,1875,110
victim_present,22,776,cx,"0,15",module_0,module_2,4880,6740,6850,1860,1970,110
victim_present,23,779,cx,"15,0",module_0,module_2,4895,6850,6960,1955,2065,110
victim_present,24,785,cx,"15,0",module_0,module_2,4925,6960,7070,2035,2145,110
victim_present,25,788,cx,"0,15",module_0,module_2,4940,7070,7180,2130,2240,110
victim_present,26,791,cx,"15,0",module_0,module_2,4955,7180,7290,2225,2335,110
victim_present,27,1040,cx,"5,6",module_0,module_1,6200,7950,8060,1750,1860,110
victim_present,28,1043,cx,"6,5",module_0,module_1,6215,8060,8170,1845,1955,110
victim_present,29,1046,cx,"5,6",module_0,module_1,6230,8170,8280,1940,2050,110
victim_present,30,1082,cx,"11,12",module_1,module_2,6410,8390,8500,1980,2090,110
victim_present,31,1085,cx,"12,11",module_1,module_2,6425,8500,8610,2075,2185,110
victim_present,32,1088,cx,"11,12",module_1,module_2,6440,8610,8720,2170,2280,110
victim_present,33,1110,cx,"15,0",module_0,module_2,6550,8830,8940,2280,2390,110
victim_present,34,1113,cx,"0,15",module_0,module_2,6565,8940,9050,2375,2485,110
victim_present,35,1116,cx,"15,0",module_0,module_2,6580,9050,9160,2470,2580,110
victim_present,36,1147,cx,"5,6",module_0,module_1,6735,9270,9380,2535,2645,110
victim_present,37,1150,cx,"6,5",module_0,module_1,6750,9380,9490,2630,2740,110
victim_present,38,1153,cx,"5,6",module_0,module_1,6765,9490,9600,2725,2835,110
victim_present,39,1183,cx,"11,12",module_1,module_2,6915,9710,9820,2795,2905,110
victim_present,40,1186,cx,"12,11",module_1,module_2,6930,9820,9930,2890,3000,110
victim_present,41,1189,cx,"11,12",module_1,module_2,6945,9930,10040,2985,3095,110
victim_present,42,1207,cx,"15,0",module_0,module_2,7035,10040,10150,3005,3115,110
victim_present,43,1210,cx,"0,15",module_0,module_2,7050,10150,10260,3100,3210,110
victim_present,44,1213,cx,"15,0",module_0,module_2,7065,10260,10370,3195,3305,110
victim_present,45,1727,cx,"5,6",module_0,module_1,9635,11690,11800,2055,2165,110
victim_present,46,1730,cx,"6,5",module_0,module_1,9650,11910,12020,2260,2370,110
victim_present,47,1733,cx,"5,6",module_0,module_1,9665,12020,12130,2355,2465,110
victim_present,48,1739,cx,"5,6",module_0,module_1,9695,12130,12240,2435,2545,110
victim_present,49,1742,cx,"6,5",module_0,module_1,9710,12240,12350,2530,2640,110
victim_present,50,1745,cx,"5,6",module_0,module_1,9725,12350,12460,2625,2735,110
victim_present,51,1751,cx,"5,6",module_0,module_1,9755,12460,12570,2705,2815,110
victim_present,52,1754,cx,"6,5",module_0,module_1,9770,12570,12680,2800,2910,110
victim_present,53,1757,cx,"5,6",module_0,module_1,9785,12680,12790,2895,3005,110
