attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_3p00x_dense,3.0,140,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_3p00x_dense,3.0,140,1,1140,1170,1170,2800,2910,110,1630,1740,module_3,module_4,16,0,110,1280,1630,1630,True
2,rate_3p00x_dense,3.0,140,2,1280,1310,1310,3030,3140,110,1720,1830,module_3,module_4,18,0,110,1420,1720,1720,True
3,rate_3p00x_dense,3.0,140,3,1420,1450,1450,3140,3250,110,1690,1800,module_3,module_4,19,0,110,1560,1690,1690,True
4,rate_3p00x_dense,3.0,140,4,1560,1590,1590,3250,3360,110,1660,1770,module_3,module_4,20,0,110,1700,1660,1660,True
5,rate_3p00x_dense,3.0,140,5,1700,1730,1730,3360,3470,110,1630,1740,module_3,module_4,21,0,110,1840,1630,1630,True
6,rate_3p00x_dense,3.0,140,6,1840,1870,1870,3470,3580,110,1600,1710,module_3,module_4,22,0,110,1980,1600,1600,True
7,rate_3p00x_dense,3.0,140,7,1980,2010,2010,3580,3690,110,1570,1680,module_3,module_4,23,0,110,2120,1570,1570,True
8,rate_3p00x_dense,3.0,140,8,2120,2150,2150,3690,3800,110,1540,1650,module_3,module_4,24,0,110,2260,1540,1540,True
9,rate_3p00x_dense,3.0,140,9,2260,2290,2290,3800,3910,110,1510,1620,module_3,module_4,25,0,110,2400,1510,1510,True
10,rate_3p00x_dense,3.0,140,10,2400,2430,2430,3910,4020,110,1480,1590,module_3,module_4,26,0,110,2540,1480,1480,True
11,rate_3p00x_dense,3.0,140,11,2540,2570,2570,4020,4130,110,1450,1560,module_3,module_4,27,0,110,2680,1450,1450,True
12,rate_3p00x_dense,3.0,140,12,2680,2710,2710,4130,4240,110,1420,1530,module_3,module_4,28,0,110,2820,1420,1420,True
