attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_4p00x_sat,4.0,105,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_4p00x_sat,4.0,105,1,1105,1135,1135,1140,1250,110,5,115,module_3,module_4,1,5,115,1250,0,0,False
2,rate_4p00x_sat,4.0,105,2,1210,1240,1240,1250,1360,110,10,120,module_3,module_4,2,10,120,1360,0,0,False
3,rate_4p00x_sat,4.0,105,3,1315,1345,1345,1360,1470,110,15,125,module_3,module_4,3,15,125,1470,0,0,False
4,rate_4p00x_sat,4.0,105,4,1420,1450,1450,1910,2020,110,460,570,module_3,module_4,8,20,130,1580,440,440,True
5,rate_4p00x_sat,4.0,105,5,1525,1555,1555,2900,3010,110,1345,1455,module_3,module_4,17,25,135,1690,1320,1320,True
6,rate_4p00x_sat,4.0,105,6,1630,1660,1660,3890,4000,110,2230,2340,module_3,module_4,26,30,140,1800,2200,2200,True
7,rate_4p00x_sat,4.0,105,7,1735,1765,1765,4660,4770,110,2895,3005,module_3,module_4,33,35,145,1910,2860,2860,True
8,rate_4p00x_sat,4.0,105,8,1840,1870,1870,5760,5870,110,3890,4000,module_3,module_4,43,40,150,2020,3850,3850,True
9,rate_4p00x_sat,4.0,105,9,1945,1975,1975,6310,6420,110,4335,4445,module_3,module_4,48,45,155,2130,4290,4290,True
10,rate_4p00x_sat,4.0,105,10,2050,2080,2080,7300,7410,110,5220,5330,module_3,module_4,57,50,160,2240,5170,5170,True
11,rate_4p00x_sat,4.0,105,11,2155,2185,2185,7630,7740,110,5445,5555,module_3,module_4,60,55,165,2350,5390,5390,True
12,rate_4p00x_sat,4.0,105,12,2260,2290,2290,8730,8840,110,6440,6550,module_3,module_4,70,60,170,2460,6380,6380,True
13,rate_4p00x_sat,4.0,105,13,2365,2395,2395,9060,9170,110,6665,6775,module_3,module_4,73,65,175,2570,6600,6600,True
14,rate_4p00x_sat,4.0,105,14,2470,2500,2500,9830,9940,110,7330,7440,module_3,module_4,80,70,180,2680,7260,7260,True
15,rate_4p00x_sat,4.0,105,15,2575,2605,2605,10600,10710,110,7995,8105,module_3,module_4,87,75,185,2790,7920,7920,True
16,rate_4p00x_sat,4.0,105,16,2680,2710,2710,10710,10820,110,8000,8110,module_3,module_4,88,80,190,2900,7920,7920,True
17,rate_4p00x_sat,4.0,105,17,2785,2815,2815,11810,11920,110,8995,9105,module_3,module_4,98,85,195,3010,8910,8910,True
18,rate_4p00x_sat,4.0,105,18,2890,2920,2920,12800,12910,110,9880,9990,module_3,module_4,107,90,200,3120,9790,9790,True
19,rate_4p00x_sat,4.0,105,19,2995,3025,3025,13790,13900,110,10765,10875,module_3,module_4,116,95,205,3230,10670,10670,True
20,rate_4p00x_sat,4.0,105,20,3100,3130,3130,14890,15000,110,11760,11870,module_3,module_4,126,100,210,3340,11660,11660,True
21,rate_4p00x_sat,4.0,105,21,3205,3235,3235,15880,15990,110,12645,12755,module_3,module_4,135,105,215,3450,12540,12540,True
22,rate_4p00x_sat,4.0,105,22,3310,3340,3340,16650,16760,110,13310,13420,module_3,module_4,142,110,220,3560,13200,13200,True
23,rate_4p00x_sat,4.0,105,23,3415,3445,3445,17640,17750,110,14195,14305,module_3,module_4,151,115,225,3670,14080,14080,True
24,rate_4p00x_sat,4.0,105,24,3520,3550,3550,18740,18850,110,15190,15300,module_3,module_4,161,120,230,3780,15070,15070,True
25,rate_4p00x_sat,4.0,105,25,3625,3655,3655,19620,19730,110,15965,16075,module_3,module_4,169,125,235,3890,15840,15840,True
26,rate_4p00x_sat,4.0,105,26,3730,3760,3760,20280,20390,110,16520,16630,module_3,module_4,175,130,240,4000,16390,16390,True
27,rate_4p00x_sat,4.0,105,27,3835,3865,3865,21380,21490,110,17515,17625,module_3,module_4,185,135,245,4110,17380,17380,True
28,rate_4p00x_sat,4.0,105,28,3940,3970,3970,22370,22480,110,18400,18510,module_3,module_4,194,140,250,4220,18260,18260,True
29,rate_4p00x_sat,4.0,105,29,4045,4075,4075,22700,22810,110,18625,18735,module_3,module_4,197,145,255,4330,18480,18480,True
30,rate_4p00x_sat,4.0,105,30,4150,4180,4180,23690,23800,110,19510,19620,module_3,module_4,206,150,260,4440,19360,19360,True
31,rate_4p00x_sat,4.0,105,31,4255,4285,4285,24790,24900,110,20505,20615,module_3,module_4,216,155,265,4550,20350,20350,True
32,rate_4p00x_sat,4.0,105,32,4360,4390,4390,25670,25780,110,21280,21390,module_3,module_4,224,160,270,4660,21120,21120,True
33,rate_4p00x_sat,4.0,105,33,4465,4495,4495,25890,26000,110,21395,21505,module_3,module_4,226,165,275,4770,21230,21230,True
34,rate_4p00x_sat,4.0,105,34,4570,4600,4600,26990,27100,110,22390,22500,module_3,module_4,236,170,280,4880,22220,22220,True
35,rate_4p00x_sat,4.0,105,35,4675,4705,4705,27980,28090,110,23275,23385,module_3,module_4,245,175,285,4990,23100,23100,True
36,rate_4p00x_sat,4.0,105,36,4780,4810,4810,28750,28860,110,23940,24050,module_3,module_4,252,180,290,5100,23760,23760,True
37,rate_4p00x_sat,4.0,105,37,4885,4915,4915,28980,29090,110,24065,24175,module_3,module_4,254,185,295,5210,23880,23880,True
38,rate_4p00x_sat,4.0,105,38,4990,5020,5020,29090,29200,110,24070,24180,module_3,module_4,255,190,300,5320,23880,23880,True
39,rate_4p00x_sat,4.0,105,39,5095,5125,5125,29200,29310,110,24075,24185,module_3,module_4,256,195,305,5430,23880,23880,True
40,rate_4p00x_sat,4.0,105,40,5200,5230,5230,29310,29420,110,24080,24190,module_3,module_4,257,200,310,5540,23880,23880,True
41,rate_4p00x_sat,4.0,105,41,5305,5335,5335,29420,29530,110,24085,24195,module_3,module_4,258,205,315,5650,23880,23880,True
42,rate_4p00x_sat,4.0,105,42,5410,5440,5440,29530,29640,110,24090,24200,module_3,module_4,259,210,320,5760,23880,23880,True
43,rate_4p00x_sat,4.0,105,43,5515,5545,5545,29640,29750,110,24095,24205,module_3,module_4,260,215,325,5870,23880,23880,True
44,rate_4p00x_sat,4.0,105,44,5620,5650,5650,29750,29860,110,24100,24210,module_3,module_4,261,220,330,5980,23880,23880,True
45,rate_4p00x_sat,4.0,105,45,5725,5755,5755,29860,29970,110,24105,24215,module_3,module_4,262,225,335,6090,23880,23880,True
46,rate_4p00x_sat,4.0,105,46,5830,5860,5860,29970,30080,110,24110,24220,module_3,module_4,263,230,340,6200,23880,23880,True
47,rate_4p00x_sat,4.0,105,47,5935,5965,5965,30080,30190,110,24115,24225,module_3,module_4,264,235,345,6310,23880,23880,True
48,rate_4p00x_sat,4.0,105,48,6040,6070,6070,30190,30300,110,24120,24230,module_3,module_4,265,240,350,6420,23880,23880,True
49,rate_4p00x_sat,4.0,105,49,6145,6175,6175,30300,30410,110,24125,24235,module_3,module_4,266,245,355,6530,23880,23880,True
50,rate_4p00x_sat,4.0,105,50,6250,6280,6280,30410,30520,110,24130,24240,module_3,module_4,267,250,360,6640,23880,23880,True
51,rate_4p00x_sat,4.0,105,51,6355,6385,6385,30520,30630,110,24135,24245,module_3,module_4,268,255,365,6750,23880,23880,True
52,rate_4p00x_sat,4.0,105,52,6460,6490,6490,30630,30740,110,24140,24250,module_3,module_4,269,260,370,6860,23880,23880,True
53,rate_4p00x_sat,4.0,105,53,6565,6595,6595,30740,30850,110,24145,24255,module_3,module_4,270,265,375,6970,23880,23880,True
54,rate_4p00x_sat,4.0,105,54,6670,6700,6700,30850,30960,110,24150,24260,module_3,module_4,271,270,380,7080,23880,23880,True
55,rate_4p00x_sat,4.0,105,55,6775,6805,6805,30960,31070,110,24155,24265,module_3,module_4,272,275,385,7190,23880,23880,True
56,rate_4p00x_sat,4.0,105,56,6880,6910,6910,31070,31180,110,24160,24270,module_3,module_4,273,280,390,7300,23880,23880,True
57,rate_4p00x_sat,4.0,105,57,6985,7015,7015,31180,31290,110,24165,24275,module_3,module_4,274,285,395,7410,23880,23880,True
58,rate_4p00x_sat,4.0,105,58,7090,7120,7120,31290,31400,110,24170,24280,module_3,module_4,275,290,400,7520,23880,23880,True
