attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_4p00x_sat,4.0,105,0,1000,1030,1030,1140,1250,110,110,220,module_3,module_4,1,0,110,1140,110,110,True
1,rate_4p00x_sat,4.0,105,1,1105,1135,1135,2460,2570,110,1325,1435,module_3,module_4,13,5,115,1250,1320,1320,True
2,rate_4p00x_sat,4.0,105,2,1210,1240,1240,4220,4330,110,2980,3090,module_3,module_4,29,10,120,1360,2970,2970,True
3,rate_4p00x_sat,4.0,105,3,1315,1345,1345,4770,4880,110,3425,3535,module_3,module_4,34,15,125,1470,3410,3410,True
4,rate_4p00x_sat,4.0,105,4,1420,1450,1450,5760,5870,110,4310,4420,module_3,module_4,43,20,130,1580,4290,4290,True
5,rate_4p00x_sat,4.0,105,5,1525,1555,1555,7080,7190,110,5525,5635,module_3,module_4,55,25,135,1690,5500,5500,True
6,rate_4p00x_sat,4.0,105,6,1630,1660,1660,8840,8950,110,7180,7290,module_3,module_4,71,30,140,1800,7150,7150,True
7,rate_4p00x_sat,4.0,105,7,1735,1765,1765,9390,9500,110,7625,7735,module_3,module_4,76,35,145,1910,7590,7590,True
8,rate_4p00x_sat,4.0,105,8,1840,1870,1870,10380,10490,110,8510,8620,module_3,module_4,85,40,150,2020,8470,8470,True
9,rate_4p00x_sat,4.0,105,9,1945,1975,1975,11700,11810,110,9725,9835,module_3,module_4,97,45,155,2130,9680,9680,True
10,rate_4p00x_sat,4.0,105,10,2050,2080,2080,13460,13570,110,11380,11490,module_3,module_4,113,50,160,2240,11330,11330,True
11,rate_4p00x_sat,4.0,105,11,2155,2185,2185,14010,14120,110,11825,11935,module_3,module_4,118,55,165,2350,11770,11770,True
12,rate_4p00x_sat,4.0,105,12,2260,2290,2290,15000,15110,110,12710,12820,module_3,module_4,127,60,170,2460,12650,12650,True
13,rate_4p00x_sat,4.0,105,13,2365,2395,2395,16320,16430,110,13925,14035,module_3,module_4,139,65,175,2570,13860,13860,True
14,rate_4p00x_sat,4.0,105,14,2470,2500,2500,18080,18190,110,15580,15690,module_3,module_4,155,70,180,2680,15510,15510,True
15,rate_4p00x_sat,4.0,105,15,2575,2605,2605,18630,18740,110,16025,16135,module_3,module_4,160,75,185,2790,15950,15950,True
16,rate_4p00x_sat,4.0,105,16,2680,2710,2710,19620,19730,110,16910,17020,module_3,module_4,169,80,190,2900,16830,16830,True
17,rate_4p00x_sat,4.0,105,17,2785,2815,2815,20940,21050,110,18125,18235,module_3,module_4,181,85,195,3010,18040,18040,True
18,rate_4p00x_sat,4.0,105,18,2890,2920,2920,22700,22810,110,19780,19890,module_3,module_4,197,90,200,3120,19690,19690,True
19,rate_4p00x_sat,4.0,105,19,2995,3025,3025,23250,23360,110,20225,20335,module_3,module_4,202,95,205,3230,20130,20130,True
20,rate_4p00x_sat,4.0,105,20,3100,3130,3130,24240,24350,110,21110,21220,module_3,module_4,211,100,210,3340,21010,21010,True
21,rate_4p00x_sat,4.0,105,21,3205,3235,3235,25560,25670,110,22325,22435,module_3,module_4,223,105,215,3450,22220,22220,True
22,rate_4p00x_sat,4.0,105,22,3310,3340,3340,27320,27430,110,23980,24090,module_3,module_4,239,110,220,3560,23870,23870,True
23,rate_4p00x_sat,4.0,105,23,3415,3445,3445,27870,27980,110,24425,24535,module_3,module_4,244,115,225,3670,24310,24310,True
24,rate_4p00x_sat,4.0,105,24,3520,3550,3550,28860,28970,110,25310,25420,module_3,module_4,253,120,230,3780,25190,25190,True
25,rate_4p00x_sat,4.0,105,25,3625,3655,3655,30180,30290,110,26525,26635,module_3,module_4,265,125,235,3890,26400,26400,True
26,rate_4p00x_sat,4.0,105,26,3730,3760,3760,31060,31170,110,27300,27410,module_3,module_4,273,130,240,4000,27170,27170,True
27,rate_4p00x_sat,4.0,105,27,3835,3865,3865,31170,31280,110,27305,27415,module_3,module_4,274,135,245,4110,27170,27170,True
28,rate_4p00x_sat,4.0,105,28,3940,3970,3970,31280,31390,110,27310,27420,module_3,module_4,275,140,250,4220,27170,27170,True
29,rate_4p00x_sat,4.0,105,29,4045,4075,4075,31390,31500,110,27315,27425,module_3,module_4,276,145,255,4330,27170,27170,True
30,rate_4p00x_sat,4.0,105,30,4150,4180,4180,31500,31610,110,27320,27430,module_3,module_4,277,150,260,4440,27170,27170,True
31,rate_4p00x_sat,4.0,105,31,4255,4285,4285,31610,31720,110,27325,27435,module_3,module_4,278,155,265,4550,27170,27170,True
32,rate_4p00x_sat,4.0,105,32,4360,4390,4390,31720,31830,110,27330,27440,module_3,module_4,279,160,270,4660,27170,27170,True
33,rate_4p00x_sat,4.0,105,33,4465,4495,4495,31830,31940,110,27335,27445,module_3,module_4,280,165,275,4770,27170,27170,True
34,rate_4p00x_sat,4.0,105,34,4570,4600,4600,31940,32050,110,27340,27450,module_3,module_4,281,170,280,4880,27170,27170,True
35,rate_4p00x_sat,4.0,105,35,4675,4705,4705,32050,32160,110,27345,27455,module_3,module_4,282,175,285,4990,27170,27170,True
36,rate_4p00x_sat,4.0,105,36,4780,4810,4810,32160,32270,110,27350,27460,module_3,module_4,283,180,290,5100,27170,27170,True
37,rate_4p00x_sat,4.0,105,37,4885,4915,4915,32270,32380,110,27355,27465,module_3,module_4,284,185,295,5210,27170,27170,True
