run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,6,cx,"0,6",module_0,module_1,1030,1030,1140,0,110,110
victim_present,1,7,cx,"1,8",module_0,module_1,1035,1250,1360,215,325,110
victim_present,2,8,cx,"2,10",module_0,module_1,1040,1360,1470,320,430,110
victim_present,3,9,cx,"3,6",module_0,module_1,1045,1470,1580,425,535,110
victim_present,4,10,cx,"3,7",module_0,module_1,1050,1580,1690,530,640,110
victim_present,5,11,cx,"4,8",module_0,module_1,1055,1690,1800,635,745,110
victim_present,6,12,cx,"4,9",module_0,module_1,1060,1800,1910,740,850,110
victim_present,7,13,cx,"5,10",module_0,module_1,1065,1910,2020,845,955,110
victim_present,8,14,cx,"5,11",module_0,module_1,1070,2020,2130,950,1060,110
victim_present,9,25,ccx,"7,6,13",module_1,module_2,1125,2130,2240,1005,1115,110
victim_present,10,26,ccx,"13,8,14",module_1,module_2,1130,2240,2350,1110,1220,110
victim_present,11,27,ccx,"14,9,15",module_1,module_2,1135,2350,2460,1215,1325,110
victim_present,12,28,ccx,"15,10,16",module_1,module_2,1140,2570,2680,1430,1540,110
victim_present,13,29,ccx,"16,11,17",module_1,module_2,1145,2680,2790,1535,1645,110
victim_present,14,31,ccx,"16,11,17",module_1,module_2,1155,2790,2900,1635,1745,110
victim_present,15,32,ccx,"15,10,16",module_1,module_2,1160,2900,3010,1740,1850,110
victim_present,16,33,ccx,"14,9,15",module_1,module_2,1165,3010,3120,1845,1955,110
victim_present,17,34,ccx,"13,8,14",module_1,module_2,1170,3120,3230,1950,2060,110
victim_present,18,35,ccx,"7,6,13",module_1,module_2,1175,3230,3340,2055,2165,110
victim_present,19,41,cx,"0,6",module_0,module_1,1205,3340,3450,2135,2245,110
victim_present,20,42,cx,"1,8",module_0,module_1,1210,3450,3560,2240,2350,110
victim_present,21,43,cx,"2,10",module_0,module_1,1215,3560,3670,2345,2455,110
victim_present,22,44,cx,"3,6",module_0,module_1,1220,3670,3780,2450,2560,110
victim_present,23,45,cx,"3,7",module_0,module_1,1225,3780,3890,2555,2665,110
victim_present,24,46,cx,"4,8",module_0,module_1,1230,3890,4000,2660,2770,110
victim_present,25,47,cx,"4,9",module_0,module_1,1235,4000,4110,2765,2875,110
victim_present,26,48,cx,"5,10",module_0,module_1,1240,4110,4220,2870,2980,110
victim_present,27,49,cx,"5,11",module_0,module_1,1245,4330,4440,3085,3195,110
victim_present,28,67,ccx,"1,0,13",module_0,module_2,1335,4440,4550,3105,3215,110
victim_present,29,68,ccx,"13,2,14",module_0,module_2,1340,4550,4660,3210,3320,110
victim_present,30,69,ccx,"14,3,15",module_0,module_2,1345,4660,4770,3315,3425,110
victim_present,31,70,ccx,"15,4,16",module_0,module_2,1350,4880,4990,3530,3640,110
victim_present,32,71,ccx,"16,5,17",module_0,module_2,1355,4990,5100,3635,3745,110
victim_present,33,73,ccx,"16,5,17",module_0,module_2,1365,5100,5210,3735,3845,110
victim_present,34,74,ccx,"15,4,16",module_0,module_2,1370,5210,5320,3840,3950,110
victim_present,35,75,ccx,"14,3,15",module_0,module_2,1375,5320,5430,3945,4055,110
victim_present,36,76,ccx,"13,2,14",module_0,module_2,1380,5430,5540,4050,4160,110
victim_present,37,77,ccx,"1,0,13",module_0,module_2,1385,5540,5650,4155,4265,110
victim_present,38,90,cx,"0,6",module_0,module_1,1450,5650,5760,4200,4310,110
victim_present,39,91,cx,"1,8",module_0,module_1,1455,5870,5980,4415,4525,110
