attacker_request_id,probe_name,probe_round_id,cross_index_in_round,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,probe_1_cx_chain,0,0,1000,1000,1000,1000,1110,110,0,110,module_3,module_4,0,0,110,1110,0,0,False
1,probe_1_cx_chain,0,1,1000,1005,1005,1110,1220,110,105,215,module_3,module_4,1,105,215,1220,0,0,False
2,probe_1_cx_chain,1,0,1420,1420,1420,3000,3110,110,1580,1690,module_3,module_4,18,0,110,1530,1580,1580,True
3,probe_1_cx_chain,1,1,1420,1425,1425,3110,3220,110,1685,1795,module_3,module_4,19,105,215,1640,1580,1580,True
4,probe_1_cx_chain,2,0,1840,1840,1840,3220,3330,110,1380,1490,module_3,module_4,20,0,110,1950,1380,1380,True
5,probe_1_cx_chain,2,1,1840,1845,1845,3330,3440,110,1485,1595,module_3,module_4,21,105,215,2060,1380,1380,True
6,probe_1_cx_chain,3,0,2260,2260,2260,3440,3550,110,1180,1290,module_3,module_4,22,0,110,2370,1180,1180,True
7,probe_1_cx_chain,3,1,2260,2265,2265,3550,3660,110,1285,1395,module_3,module_4,23,105,215,2480,1180,1180,True
8,probe_1_cx_chain,4,0,2680,2680,2680,3660,3770,110,980,1090,module_3,module_4,24,0,110,2790,980,980,True
9,probe_1_cx_chain,4,1,2680,2685,2685,3770,3880,110,1085,1195,module_3,module_4,25,105,215,2900,980,980,True
10,probe_1_cx_chain,5,0,3100,3100,3100,3880,3990,110,780,890,module_3,module_4,26,0,110,3210,780,780,True
11,probe_1_cx_chain,5,1,3100,3105,3105,3990,4100,110,885,995,module_3,module_4,27,105,215,3320,780,780,True
12,probe_1_cx_chain,6,0,3520,3520,3520,4100,4210,110,580,690,module_3,module_4,28,0,110,3630,580,580,True
13,probe_1_cx_chain,6,1,3520,3525,3525,4210,4320,110,685,795,module_3,module_4,29,105,215,3740,580,580,True
