run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,511,cx,"5,6",module_0,module_1,3555,3740,3850,185,295,110
victim_present,1,514,cx,"6,5",module_0,module_1,3570,3850,3960,280,390,110
victim_present,2,517,cx,"5,6",module_0,module_1,3585,3960,4070,375,485,110
victim_present,3,523,cx,"5,6",module_0,module_1,3615,4070,4180,455,565,110
victim_present,4,526,cx,"6,5",module_0,module_1,3630,4180,4290,550,660,110
victim_present,5,529,cx,"5,6",module_0,module_1,3645,4290,4400,645,755,110
victim_present,6,535,cx,"5,6",module_0,module_1,3675,4400,4510,725,835,110
victim_present,7,538,cx,"6,5",module_0,module_1,3690,4510,4620,820,930,110
victim_present,8,541,cx,"5,6",module_0,module_1,3705,4620,4730,915,1025,110
victim_present,9,661,cx,"11,12",module_1,module_2,4305,4950,5060,645,755,110
victim_present,10,664,cx,"12,11",module_1,module_2,4320,5060,5170,740,850,110
victim_present,11,667,cx,"11,12",module_1,module_2,4335,5170,5280,835,945,110
victim_present,12,673,cx,"11,12",module_1,module_2,4365,5390,5500,1025,1135,110
victim_present,13,676,cx,"12,11",module_1,module_2,4380,5610,5720,1230,1340,110
victim_present,14,679,cx,"11,12",module_1,module_2,4395,5720,5830,1325,1435,110
victim_present,15,685,cx,"11,12",module_1,module_2,4425,5830,5940,1405,1515,110
victim_present,16,688,cx,"12,11",module_1,module_2,4440,5940,6050,1500,1610,110
victim_present,17,691,cx,"11,12",module_1,module_2,4455,6050,6160,1595,1705,110
victim_present,18,761,cx,"15,0",module_0,module_2,4805,6380,6490,1575,1685,110
victim_present,19,764,cx,"0,15",module_0,module_2,4820,6490,6600,1670,1780,110
victim_present,20,767,cx,"15,0",module_0,module_2,4835,6600,6710,1765,1875,110
victim_present,21,773,cx,"15,0",module_0,module_2,4865,6710,6820,1845,1955,110
victim_present,22,776,cx,"0,15",module_0,module_2,4880,6820,6930,1940,2050,110
victim_present,23,779,cx,"15,0",module_0,module_2,4895,6930,7040,2035,2145,110
victim_present,24,785,cx,"15,0",module_0,module_2,4925,7040,7150,2115,2225,110
victim_present,25,788,cx,"0,15",module_0,module_2,4940,7150,7260,2210,2320,110
victim_present,26,791,cx,"15,0",module_0,module_2,4955,7260,7370,2305,2415,110
victim_present,27,1040,cx,"5,6",module_0,module_1,6200,8030,8140,1830,1940,110
victim_present,28,1043,cx,"6,5",module_0,module_1,6215,8140,8250,1925,2035,110
victim_present,29,1046,cx,"5,6",module_0,module_1,6230,8250,8360,2020,2130,110
victim_present,30,1082,cx,"11,12",module_1,module_2,6410,8360,8470,1950,2060,110
victim_present,31,1085,cx,"12,11",module_1,module_2,6425,8470,8580,2045,2155,110
victim_present,32,1088,cx,"11,12",module_1,module_2,6440,8580,8690,2140,2250,110
victim_present,33,1110,cx,"15,0",module_0,module_2,6550,8910,9020,2360,2470,110
victim_present,34,1113,cx,"0,15",module_0,module_2,6565,9020,9130,2455,2565,110
victim_present,35,1116,cx,"15,0",module_0,module_2,6580,9130,9240,2550,2660,110
victim_present,36,1147,cx,"5,6",module_0,module_1,6735,9240,9350,2505,2615,110
victim_present,37,1150,cx,"6,5",module_0,module_1,6750,9350,9460,2600,2710,110
victim_present,38,1153,cx,"5,6",module_0,module_1,6765,9460,9570,2695,2805,110
victim_present,39,1183,cx,"11,12",module_1,module_2,6915,9790,9900,2875,2985,110
victim_present,40,1186,cx,"12,11",module_1,module_2,6930,9900,10010,2970,3080,110
victim_present,41,1189,cx,"11,12",module_1,module_2,6945,10010,10120,3065,3175,110
victim_present,42,1207,cx,"15,0",module_0,module_2,7035,10120,10230,3085,3195,110
victim_present,43,1210,cx,"0,15",module_0,module_2,7050,10230,10340,3180,3290,110
victim_present,44,1213,cx,"15,0",module_0,module_2,7065,10340,10450,3275,3385,110
victim_present,45,1727,cx,"5,6",module_0,module_1,9635,11770,11880,2135,2245,110
victim_present,46,1730,cx,"6,5",module_0,module_1,9650,11880,11990,2230,2340,110
victim_present,47,1733,cx,"5,6",module_0,module_1,9665,11990,12100,2325,2435,110
victim_present,48,1739,cx,"5,6",module_0,module_1,9695,12100,12210,2405,2515,110
victim_present,49,1742,cx,"6,5",module_0,module_1,9710,12210,12320,2500,2610,110
victim_present,50,1745,cx,"5,6",module_0,module_1,9725,12320,12430,2595,2705,110
victim_present,51,1751,cx,"5,6",module_0,module_1,9755,12430,12540,2675,2785,110
victim_present,52,1754,cx,"6,5",module_0,module_1,9770,12540,12650,2770,2880,110
victim_present,53,1757,cx,"5,6",module_0,module_1,9785,12650,12760,2865,2975,110
victim_present,54,1877,cx,"11,12",module_1,module_2,10385,13200,13310,2815,2925,110
victim_present,55,1880,cx,"12,11",module_1,module_2,10400,13310,13420,2910,3020,110
victim_present,56,1883,cx,"11,12",module_1,module_2,10415,13420,13530,3005,3115,110
victim_present,57,1889,cx,"11,12",module_1,module_2,10445,13530,13640,3085,3195,110
victim_present,58,1892,cx,"12,11",module_1,module_2,10460,13640,13750,3180,3290,110
victim_present,59,1895,cx,"11,12",module_1,module_2,10475,13750,13860,3275,3385,110
victim_present,60,1901,cx,"11,12",module_1,module_2,10505,13860,13970,3355,3465,110
victim_present,61,1904,cx,"12,11",module_1,module_2,10520,13970,14080,3450,3560,110
victim_present,62,1907,cx,"11,12",module_1,module_2,10535,14080,14190,3545,3655,110
victim_present,63,1977,cx,"15,0",module_0,module_2,10885,14410,14520,3525,3635,110
victim_present,64,1980,cx,"0,15",module_0,module_2,10900,14520,14630,3620,3730,110
victim_present,65,1983,cx,"15,0",module_0,module_2,10915,14630,14740,3715,3825,110
victim_present,66,1989,cx,"15,0",module_0,module_2,10945,14740,14850,3795,3905,110
victim_present,67,1992,cx,"0,15",module_0,module_2,10960,14850,14960,3890,4000,110
victim_present,68,1995,cx,"15,0",module_0,module_2,10975,14960,15070,3985,4095,110
victim_present,69,2001,cx,"15,0",module_0,module_2,11005,15070,15180,4065,4175,110
victim_present,70,2004,cx,"0,15",module_0,module_2,11020,15180,15290,4160,4270,110
victim_present,71,2007,cx,"15,0",module_0,module_2,11035,15290,15400,4255,4365,110
