attacker_request_id,probe_name,probe_round_id,cross_index_in_round,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,probe_1_cx_chain,0,0,1000,1000,1000,1000,1110,110,0,110,module_3,module_4,0,0,110,1110,0,0,False
1,probe_1_cx_chain,0,1,1000,1005,1005,1110,1220,110,105,215,module_3,module_4,1,105,215,1220,0,0,False
2,probe_1_cx_chain,1,0,1420,1420,1420,1630,1740,110,210,320,module_3,module_4,4,0,110,1530,210,210,True
3,probe_1_cx_chain,1,1,1420,1425,1425,1740,1850,110,315,425,module_3,module_4,5,105,215,1640,210,210,True
4,probe_1_cx_chain,2,0,1840,1840,1840,5150,5260,110,3310,3420,module_3,module_4,36,0,110,1950,3310,3310,True
5,probe_1_cx_chain,2,1,1840,1845,1845,5370,5480,110,3525,3635,module_3,module_4,38,105,215,2060,3420,3420,True
6,probe_1_cx_chain,3,0,2260,2260,2260,7900,8010,110,5640,5750,module_3,module_4,61,0,110,2370,5640,5640,True
7,probe_1_cx_chain,3,1,2260,2265,2265,8120,8230,110,5855,5965,module_3,module_4,63,105,215,2480,5750,5750,True
8,probe_1_cx_chain,4,0,2680,2680,2680,9990,10100,110,7310,7420,module_3,module_4,80,0,110,2790,7310,7310,True
9,probe_1_cx_chain,4,1,2680,2685,2685,10100,10210,110,7415,7525,module_3,module_4,81,105,215,2900,7310,7310,True
10,probe_1_cx_chain,5,0,3100,3100,3100,13620,13730,110,10520,10630,module_3,module_4,113,0,110,3210,10520,10520,True
11,probe_1_cx_chain,5,1,3100,3105,3105,13840,13950,110,10735,10845,module_3,module_4,115,105,215,3320,10630,10630,True
12,probe_1_cx_chain,6,0,3520,3520,3520,17250,17360,110,13730,13840,module_3,module_4,146,0,110,3630,13730,13730,True
13,probe_1_cx_chain,6,1,3520,3525,3525,17470,17580,110,13945,14055,module_3,module_4,148,105,215,3740,13840,13840,True
