run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,20,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",1100,1660,1780,560,680,120
victim_present,1,21,cx,"0,18",module_0,module_2,1105,1780,1890,675,785,110
victim_present,2,22,cx,"1,18",module_0,module_2,1110,1890,2000,780,890,110
victim_present,3,23,cx,"2,18",module_0,module_2,1115,2000,2110,885,995,110
victim_present,4,24,cx,"3,18",module_0,module_2,1120,2110,2220,990,1100,110
victim_present,5,25,cx,"4,18",module_0,module_2,1125,2220,2330,1095,1205,110
victim_present,6,26,cx,"5,18",module_0,module_2,1130,2330,2440,1200,1310,110
victim_present,7,27,cx,"6,18",module_0,module_2,1135,2440,2550,1305,1415,110
victim_present,8,28,cx,"7,18",module_1,module_2,1140,2550,2660,1410,1520,110
victim_present,9,29,cx,"8,18",module_1,module_2,1145,2660,2770,1515,1625,110
victim_present,10,30,cx,"9,18",module_1,module_2,1150,2770,2880,1620,1730,110
victim_present,11,31,cx,"10,18",module_1,module_2,1155,2880,2990,1725,1835,110
victim_present,12,32,cx,"11,18",module_1,module_2,1160,2990,3100,1830,1940,110
victim_present,13,33,cx,"12,18",module_1,module_2,1165,3100,3210,1935,2045,110
victim_present,14,34,cx,"13,18",module_1,module_2,1170,3210,3320,2040,2150,110
victim_present,15,39,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",1195,3320,3440,2125,2245,120
