victim_qasm,victim_tag,probe_name,workload_type,placement,threat_model,hub_max_concurrent_transfers,victim_true_start_ns,attacker_estimated_window_start_ns,attacker_observation_duration_ns,probe_round_period_ns,within_round_event_spacing_ns,operations_per_round,cross_requests_per_round,total_rounds,total_attacker_events,total_attacker_remote_requests,victim_total_events,victim_cross_module_ops_evaluator_only,victim_completed_remote_requests,baseline_avg_waiting_time_ns,baseline_max_waiting_time_ns,baseline_avg_turnaround_time_ns,victim_on_avg_waiting_time_ns,victim_on_max_waiting_time_ns,victim_on_avg_turnaround_time_ns,victim_on_waited_fraction,avg_excess_waiting_time_ns,avg_excess_turnaround_time_ns,median_excess_turnaround_time_ns,max_excess_turnaround_time_ns,contention_observed_fraction,victim_only_completion_offset_ns,victim_on_completion_offset_ns,victim_slowdown_ns,victim_slowdown_ratio,attacker_only_hub_makespan_ns,victim_only_hub_makespan_ns,victim_on_hub_makespan_ns
square_root_n18.qasm,square_root_n18,probe_1_cx_chain,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,20000,420,5,4,2,48,192,96,558,247,247,52.5,105.0,162.5,20388.958333333332,25875.0,20498.958333333332,0.9895833333333334,20336.458333333332,20336.458333333332,21270.0,25770.0,0.9791666666666666,27200.0,28710.0,1510.0,1.0555147058823529,20960,28200,38730
qft_n18.qasm,qft_n18,probe_1_cx_chain,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,20000,420,5,4,2,48,192,96,802,217,217,52.5,105.0,162.5,16668.75,22255.0,16778.75,0.9895833333333334,16616.25,16616.25,17770.0,22150.0,0.9791666666666666,24290.0,26270.0,1980.0,1.0815150267599836,20960,25290,35630
dnn_n16.qasm,dnn_n16,probe_1_cx_chain,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,20000,420,5,4,2,48,192,96,2032,72,72,52.5,105.0,162.5,1884.2708333333333,4425.0,1994.2708333333333,0.90625,1831.7708333333333,1831.7708333333333,2045.0,4320.0,0.8125,11605.0,14400.0,2795.0,1.2408444635932787,20960,12605,20960
sat_n11.qasm,sat_n11,probe_1_cx_chain,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,20000,420,5,4,2,48,192,96,95,42,42,52.5,105.0,162.5,1121.0416666666667,4535.0,1231.0416666666667,0.7395833333333334,1068.5416666666667,1068.5416666666667,0.0,4430.0,0.4791666666666667,4675.0,4850.0,175.0,1.0374331550802138,20960,5675,20960
bv_n19.qasm,bv_n19,probe_1_cx_chain,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,20000,420,5,4,2,48,192,96,76,16,16,52.5,105.0,162.5,199.16666666666666,1685.0,309.1666666666667,0.5833333333333334,146.66666666666666,146.66666666666666,0.0,1580.0,0.16666666666666666,1880.0,2000.0,120.0,1.0638297872340425,20960,2880,20960
square_root_n18.qasm,square_root_n18,probe_2_bursty_entangling,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,20000,420,5,10,6,48,480,288,558,247,247,5902.5,11805.0,6012.5,30938.958333333332,38975.0,31048.958333333332,0.9965277777777778,25036.458333333332,25036.458333333332,27170.0,27170.0,0.9791666666666666,27200.0,31790.0,4590.0,1.16875,32680,28200,59850
qft_n18.qasm,qft_n18,probe_2_bursty_entangling,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,20000,420,5,10,6,48,480,288,802,217,217,5902.5,11805.0,6012.5,27044.166666666668,35685.0,27154.166666666668,0.9965277777777778,21141.666666666668,21141.666666666668,23880.0,23880.0,0.9791666666666666,24290.0,30480.0,6190.0,1.2548373816385343,32680,25290,56560
dnn_n16.qasm,dnn_n16,probe_2_bursty_entangling,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,20000,420,5,10,6,48,480,288,2032,72,72,5902.5,11805.0,6012.5,11316.180555555555,19725.0,11426.180555555555,0.9965277777777778,5413.680555555556,5413.680555555556,7425.0,7920.0,0.8541666666666666,11605.0,23760.0,12155.0,2.0473933649289098,32680,12605,40600
sat_n11.qasm,sat_n11,probe_2_bursty_entangling,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,20000,420,5,10,6,48,480,288,95,42,42,5902.5,11805.0,6012.5,10436.041666666666,16435.0,10546.041666666666,0.9965277777777778,4533.541666666667,4533.541666666667,4630.0,4630.0,0.9791666666666666,4675.0,5290.0,615.0,1.1315508021390375,32680,5675,37310
bv_n19.qasm,bv_n19,probe_2_bursty_entangling,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,20000,420,5,10,6,48,480,288,76,16,16,5902.5,11805.0,6012.5,7645.416666666667,13585.0,7755.416666666667,0.9965277777777778,1742.9166666666667,1742.9166666666667,1780.0,1780.0,0.9791666666666666,1880.0,2440.0,560.0,1.297872340425532,32680,2880,34460
