qaoa_label,num_qubits,qasm_file,start_offset_ns,actual_victim_start_ns,attacker_estimated_start_ns,observation_duration_ns,probe_round_period_ns,probe_name,spacing_pattern,placement,execution_mode,hub_max_concurrent_transfers,total_attacker_probes,baseline_avg_waiting_time_ns,baseline_max_waiting_time_ns,avg_excess_turnaround_time_ns,median_excess_turnaround_time_ns,max_excess_turnaround_time_ns,total_excess_turnaround_time_ns,delayed_probe_count,contention_observed_fraction,victim_only_duration_ns,victim_on_duration_ns,victim_slowdown_ns,victim_slowdown_ratio,trace_event_count_evaluator_only,cross_module_operation_count_evaluator_only,cx_count_evaluator_only,circuit_depth_evaluator_only
qaoa_n5,5,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,-1000,0,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,37.5,0.0,910.0,1800.0,3,0.0625,1940.0,1940.0,0.0,1.0,99,17,20,32
qaoa_n5,5,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,-750,250,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,57.916666666666664,0.0,1160.0,2780.0,4,0.08333333333333333,1940.0,1940.0,0.0,1.0,99,17,20,32
qaoa_n5,5,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,-500,500,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,82.29166666666667,0.0,1410.0,3950.0,5,0.10416666666666667,1940.0,1940.0,0.0,1.0,99,17,20,32
qaoa_n5,5,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,-250,750,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,94.375,0.0,1350.0,4530.0,6,0.125,1940.0,2050.0,110.0,1.056701030927835,99,17,20,32
qaoa_n5,5,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,0,1000,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,96.875,0.0,1450.0,4650.0,6,0.125,1940.0,2130.0,190.0,1.097938144329897,99,17,20,32
qaoa_n5,5,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,250,1250,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,95.20833333333333,0.0,1430.0,4570.0,6,0.125,1940.0,2050.0,110.0,1.056701030927835,99,17,20,32
qaoa_n5,5,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,500,1500,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,92.29166666666667,0.0,1260.0,4430.0,6,0.125,1940.0,2050.0,110.0,1.056701030927835,99,17,20,32
qaoa_n5,5,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,750,1750,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,100.625,0.0,1510.0,4830.0,6,0.125,1940.0,2050.0,110.0,1.056701030927835,99,17,20,32
qaoa_n5,5,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,1000,2000,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,93.125,0.0,1340.0,4470.0,6,0.125,1940.0,2050.0,110.0,1.056701030927835,99,17,20,32
qaoa_n6,6,qaoa_nativegates_ibm_qiskit_opt3_6.qasm,-1000,0,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,125.0,0.0,1775.0,6000.0,6,0.125,2805.0,2805.0,0.0,1.0,117,25,24,29
qaoa_n6,6,qaoa_nativegates_ibm_qiskit_opt3_6.qasm,-750,250,1000,20000,420,probe_3_light_periodic,uniform,P1_disjoint,static_distributed,1,48,0.0,0.0,159.6875,0.0,2025.0,7665.0,7,0.14583333333333334,2805.0,2805.0,0.0,1.0,117,25,24,29
