run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,21,cx,"1,4",module_0,module_1,1105,1140,1250,35,145,110
victim_present,1,23,cx,"1,4",module_0,module_1,1115,1250,1360,135,245,110
victim_present,2,31,cx,"2,5",module_0,module_1,1155,1360,1470,205,315,110
victim_present,3,33,cx,"2,5",module_0,module_1,1165,1470,1580,305,415,110
victim_present,4,45,cx,"3,6",module_0,module_1,1225,1580,1690,355,465,110
victim_present,5,47,cx,"3,6",module_0,module_1,1235,1690,1800,455,565,110
victim_present,6,59,cx,"0,8",module_0,module_2,1295,1800,1910,505,615,110
victim_present,7,61,cx,"0,8",module_0,module_2,1305,1910,2020,605,715,110
victim_present,8,69,cx,"7,8",module_1,module_2,1345,2020,2130,675,785,110
victim_present,9,71,cx,"7,8",module_1,module_2,1355,2130,2240,775,885,110
victim_present,10,77,cx,"0,8",module_0,module_2,1385,2240,2350,855,965,110
victim_present,11,79,cx,"0,8",module_0,module_2,1395,2350,2460,955,1065,110
victim_present,12,87,cx,"5,9",module_1,module_2,1435,2460,2570,1025,1135,110
victim_present,13,89,cx,"5,9",module_1,module_2,1445,2570,2680,1125,1235,110
victim_present,14,95,cx,"2,5",module_0,module_1,1475,2790,2900,1315,1425,110
victim_present,15,97,cx,"2,5",module_0,module_1,1485,2900,3010,1415,1525,110
victim_present,16,103,cx,"7,9",module_1,module_2,1515,3010,3120,1495,1605,110
victim_present,17,105,cx,"7,9",module_1,module_2,1525,3120,3230,1595,1705,110
victim_present,18,110,cx,"7,8",module_1,module_2,1550,3230,3340,1680,1790,110
victim_present,19,112,cx,"7,8",module_1,module_2,1560,3340,3450,1780,1890,110
victim_present,20,123,cx,"5,9",module_1,module_2,1615,3450,3560,1835,1945,110
victim_present,21,125,cx,"5,9",module_1,module_2,1625,3560,3670,1935,2045,110
victim_present,22,131,cx,"7,9",module_1,module_2,1655,3670,3780,2015,2125,110
victim_present,23,133,cx,"7,9",module_1,module_2,1665,3780,3890,2115,2225,110
victim_present,24,146,cx,"4,10",module_1,module_2,1730,3890,4000,2160,2270,110
victim_present,25,148,cx,"4,10",module_1,module_2,1740,4000,4110,2260,2370,110
victim_present,26,154,cx,"1,4",module_0,module_1,1770,4110,4220,2340,2450,110
victim_present,27,156,cx,"1,4",module_0,module_1,1780,4220,4330,2440,2550,110
victim_present,28,161,cx,"6,10",module_1,module_2,1805,4330,4440,2525,2635,110
victim_present,29,163,cx,"6,10",module_1,module_2,1815,4440,4550,2625,2735,110
victim_present,30,169,cx,"3,6",module_0,module_1,1845,4550,4660,2705,2815,110
victim_present,31,171,cx,"3,6",module_0,module_1,1855,4660,4770,2805,2915,110
victim_present,32,182,cx,"4,10",module_1,module_2,1910,4880,4990,2970,3080,110
victim_present,33,184,cx,"4,10",module_1,module_2,1920,4990,5100,3070,3180,110
victim_present,34,190,cx,"6,10",module_1,module_2,1950,5100,5210,3150,3260,110
victim_present,35,192,cx,"6,10",module_1,module_2,1960,5210,5320,3250,3360,110
victim_present,36,203,barrier,"0,1,2,3,4,5,6,7,8,9,10",module_0,"module_1,module_2",2015,5320,5440,3305,3425,120
