run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_only,0,21,cx,"4,5",module_0,module_1,1105,1105,1215,0,110,110
victim_only,1,23,cx,"4,5",module_0,module_1,1115,1215,1325,100,210,110
victim_only,2,38,cx,"4,7",module_0,module_1,1190,1325,1435,135,245,110
victim_only,3,40,cx,"4,7",module_0,module_1,1200,1435,1545,235,345,110
victim_only,4,45,cx,"4,5",module_0,module_1,1225,1545,1655,320,430,110
victim_only,5,47,cx,"4,5",module_0,module_1,1235,1655,1765,420,530,110
victim_only,6,69,cx,"4,7",module_0,module_1,1345,1765,1875,420,530,110
victim_only,7,71,cx,"4,7",module_0,module_1,1355,1875,1985,520,630,110
victim_only,8,95,cx,"1,9",module_0,module_1,1475,1985,2095,510,620,110
victim_only,9,97,cx,"1,9",module_0,module_1,1485,2095,2205,610,720,110
victim_only,10,109,cx,"0,10",module_0,module_2,1545,2205,2315,660,770,110
victim_only,11,111,cx,"0,10",module_0,module_2,1555,2315,2425,760,870,110
victim_only,12,115,cx,"0,11",module_0,module_2,1575,2425,2535,850,960,110
victim_only,13,117,cx,"0,11",module_0,module_2,1585,2535,2645,950,1060,110
victim_only,14,122,cx,"3,11",module_0,module_2,1610,2645,2755,1035,1145,110
victim_only,15,124,cx,"3,11",module_0,module_2,1620,2755,2865,1135,1245,110
victim_only,16,138,cx,"1,12",module_0,module_2,1690,2865,2975,1175,1285,110
victim_only,17,140,cx,"1,12",module_0,module_2,1700,2975,3085,1275,1385,110
victim_only,18,145,cx,"1,9",module_0,module_1,1725,3085,3195,1360,1470,110
victim_only,19,146,cx,"8,12",module_1,module_2,1730,3195,3305,1465,1575,110
victim_only,20,148,cx,"1,9",module_0,module_1,1740,3305,3415,1565,1675,110
victim_only,21,150,cx,"8,12",module_1,module_2,1750,3415,3525,1665,1775,110
victim_only,22,168,cx,"1,12",module_0,module_2,1840,3525,3635,1685,1795,110
victim_only,23,170,cx,"1,12",module_0,module_2,1850,3635,3745,1785,1895,110
victim_only,24,175,cx,"8,12",module_1,module_2,1875,3745,3855,1870,1980,110
victim_only,25,177,cx,"8,12",module_1,module_2,1885,3855,3965,1970,2080,110
victim_only,26,190,cx,"2,13",module_0,module_2,1950,3965,4075,2015,2125,110
victim_only,27,192,cx,"2,13",module_0,module_2,1960,4075,4185,2115,2225,110
victim_only,28,208,cx,"0,10",module_0,module_2,2040,4185,4295,2145,2255,110
victim_only,29,210,cx,"0,10",module_0,module_2,2050,4295,4405,2245,2355,110
victim_only,30,211,cx,"0,11",module_0,module_2,2055,4405,4515,2350,2460,110
victim_only,31,213,cx,"0,11",module_0,module_2,2065,4515,4625,2450,2560,110
victim_only,32,218,cx,"3,11",module_0,module_2,2090,4625,4735,2535,2645,110
victim_only,33,220,cx,"3,11",module_0,module_2,2100,4735,4845,2635,2745,110
victim_only,34,236,cx,"2,13",module_0,module_2,2180,4845,4955,2665,2775,110
victim_only,35,238,cx,"2,13",module_0,module_2,2190,4955,5065,2765,2875,110
victim_only,36,256,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",module_0,"module_1,module_2",2280,5065,5185,2785,2905,120
