step,op_name,qubits,modules_touched,is_cross_module,params
0,rz,0,module_0,False,[1.5707963267948966]
1,sx,0,module_0,False,[]
2,rz,0,module_0,False,[3.141592653589793]
3,rz,1,module_0,False,[1.5707963267948966]
4,sx,1,module_0,False,[]
5,rz,1,module_0,False,[3.141592653589793]
6,rz,2,module_1,False,[1.5707963267948966]
7,sx,2,module_1,False,[]
8,rz,2,module_1,False,[1.5707963267948966]
9,cx,"0,2","module_0,module_1",True,[]
10,rz,2,module_1,False,[3.7975700874367213]
11,cx,"0,2","module_0,module_1",True,[]
12,rz,3,module_1,False,[1.5707963267948966]
13,sx,3,module_1,False,[]
14,rz,3,module_1,False,[1.5707963267948966]
15,cx,"0,3","module_0,module_1",True,[]
16,rz,3,module_1,False,[3.7975700874367213]
17,cx,"0,3","module_0,module_1",True,[]
18,sx,0,module_0,False,[]
19,rz,0,module_0,False,[1.8987285138091536]
20,sx,0,module_0,False,[]
21,rz,0,module_0,False,[9.42477796076938]
22,rz,4,module_2,False,[1.5707963267948966]
23,sx,4,module_2,False,[]
24,rz,4,module_2,False,[1.5707963267948966]
25,cx,"1,4","module_0,module_2",True,[]
26,rz,4,module_2,False,[3.7975700874367213]
27,cx,"1,4","module_0,module_2",True,[]
28,cx,"2,4","module_1,module_2",True,[]
29,rz,4,module_2,False,[3.7975700874367213]
30,cx,"2,4","module_1,module_2",True,[]
31,rz,2,module_1,False,[1.5707963267948966]
32,sx,2,module_1,False,[]
33,rz,2,module_1,False,[1.8987285138091536]
34,sx,2,module_1,False,[]
35,rz,2,module_1,False,[7.853981633974483]
36,cx,"0,2","module_0,module_1",True,[]
37,rz,2,module_1,False,[-1.8984481477522133]
38,cx,"0,2","module_0,module_1",True,[]
39,rz,4,module_2,False,[1.5707963267948966]
40,sx,4,module_2,False,[]
41,rz,4,module_2,False,[1.8987285138091536]
42,sx,4,module_2,False,[]
43,rz,4,module_2,False,[7.853981633974483]
44,rz,5,module_2,False,[1.5707963267948966]
45,sx,5,module_2,False,[]
46,rz,5,module_2,False,[1.5707963267948966]
47,cx,"1,5","module_0,module_2",True,[]
48,rz,5,module_2,False,[3.7975700874367213]
49,cx,"1,5","module_0,module_2",True,[]
50,sx,1,module_0,False,[]
51,rz,1,module_0,False,[1.8987285138091536]
52,sx,1,module_0,False,[]
53,rz,1,module_0,False,[9.42477796076938]
54,cx,"1,4","module_0,module_2",True,[]
55,cx,"3,5","module_1,module_2",True,[]
56,rz,4,module_2,False,[-1.8984481477522133]
57,cx,"1,4","module_0,module_2",True,[]
58,cx,"2,4","module_1,module_2",True,[]
59,rz,4,module_2,False,[-1.8984481477522133]
60,cx,"2,4","module_1,module_2",True,[]
61,rz,2,module_1,False,[1.5707963267948966]
62,sx,2,module_1,False,[]
63,rz,2,module_1,False,[8.76910950146025]
64,sx,2,module_1,False,[]
65,rz,2,module_1,False,[7.853981633974483]
66,rz,4,module_2,False,[1.5707963267948966]
67,sx,4,module_2,False,[]
68,rz,4,module_2,False,[8.76910950146025]
69,sx,4,module_2,False,[]
70,rz,4,module_2,False,[7.853981633974483]
71,rz,5,module_2,False,[3.7975700874367213]
72,cx,"3,5","module_1,module_2",True,[]
73,rz,3,module_1,False,[1.5707963267948966]
74,sx,3,module_1,False,[]
75,rz,3,module_1,False,[1.8987285138091536]
76,sx,3,module_1,False,[]
77,rz,3,module_1,False,[7.853981633974483]
78,cx,"0,3","module_0,module_1",True,[]
79,rz,3,module_1,False,[-1.8984481477522133]
80,cx,"0,3","module_0,module_1",True,[]
81,sx,0,module_0,False,[]
82,rz,0,module_0,False,[8.76910950146025]
83,sx,0,module_0,False,[]
84,rz,0,module_0,False,[7.853981633974483]
85,rz,5,module_2,False,[1.5707963267948966]
86,sx,5,module_2,False,[]
87,rz,5,module_2,False,[1.8987285138091536]
88,sx,5,module_2,False,[]
89,rz,5,module_2,False,[7.853981633974483]
90,cx,"1,5","module_0,module_2",True,[]
91,rz,5,module_2,False,[-1.8984481477522133]
92,cx,"1,5","module_0,module_2",True,[]
93,sx,1,module_0,False,[]
94,rz,1,module_0,False,[8.76910950146025]
95,sx,1,module_0,False,[]
96,rz,1,module_0,False,[7.853981633974483]
97,cx,"3,5","module_1,module_2",True,[]
98,rz,5,module_2,False,[-1.8984481477522133]
99,cx,"3,5","module_1,module_2",True,[]
100,rz,3,module_1,False,[1.5707963267948966]
101,sx,3,module_1,False,[]
102,rz,3,module_1,False,[8.76910950146025]
103,sx,3,module_1,False,[]
104,rz,3,module_1,False,[7.853981633974483]
105,rz,5,module_2,False,[1.5707963267948966]
106,sx,5,module_2,False,[]
107,rz,5,module_2,False,[8.76910950146025]
108,sx,5,module_2,False,[]
109,rz,5,module_2,False,[7.853981633974483]
110,barrier,"0,1,2,3,4,5","module_0,module_1,module_2",True,[]
111,measure,0,module_0,False,[]
112,measure,1,module_0,False,[]
113,measure,2,module_1,False,[]
114,measure,3,module_1,False,[]
115,measure,4,module_2,False,[]
116,measure,5,module_2,False,[]
