run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,15,cx,"0,3",module_0,module_1,1325,1325,1435,0,110,110
victim_present,1,17,cx,"0,3",module_0,module_1,1335,1435,1545,100,210,110
victim_present,2,21,cx,"1,4",module_0,module_1,1355,1545,1655,190,300,110
victim_present,3,23,cx,"1,4",module_0,module_1,1365,1655,1765,290,400,110
victim_present,4,28,cx,"2,4",module_0,module_1,1390,1765,1875,375,485,110
victim_present,5,30,cx,"2,4",module_0,module_1,1400,1875,1985,475,585,110
victim_present,6,44,cx,"1,4",module_0,module_1,1470,2095,2205,625,735,110
victim_present,7,46,cx,"1,4",module_0,module_1,1480,2205,2315,725,835,110
victim_present,8,51,cx,"2,4",module_0,module_1,1505,2315,2425,810,920,110
victim_present,9,53,cx,"2,4",module_0,module_1,1515,2425,2535,910,1020,110
victim_present,10,67,cx,"0,5",module_0,module_1,1585,2535,2645,950,1060,110
victim_present,11,69,cx,"0,5",module_0,module_1,1595,2645,2755,1050,1160,110
victim_present,12,77,cx,"3,6",module_1,module_2,1635,2755,2865,1120,1230,110
victim_present,13,79,cx,"3,6",module_1,module_2,1645,2865,2975,1220,1330,110
victim_present,14,85,cx,"0,3",module_0,module_1,1675,2975,3085,1300,1410,110
victim_present,15,87,cx,"0,3",module_0,module_1,1685,3085,3195,1400,1510,110
victim_present,16,88,cx,"5,6",module_1,module_2,1690,3195,3305,1505,1615,110
victim_present,17,90,cx,"5,6",module_1,module_2,1700,3305,3415,1605,1715,110
victim_present,18,96,cx,"0,5",module_0,module_1,1730,3415,3525,1685,1795,110
victim_present,19,98,cx,"0,5",module_0,module_1,1740,3525,3635,1785,1895,110
victim_present,20,108,cx,"3,6",module_1,module_2,1790,3635,3745,1845,1955,110
victim_present,21,110,cx,"3,6",module_1,module_2,1800,3745,3855,1945,2055,110
victim_present,22,116,cx,"5,6",module_1,module_2,1830,3855,3965,2025,2135,110
victim_present,23,118,cx,"5,6",module_1,module_2,1840,3965,4075,2125,2235,110
victim_present,24,129,barrier,"0,1,2,3,4,5,6",module_0,"module_1,module_2",1895,4185,4305,2290,2410,120
