run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,15,cx,"0,4",module_0,module_1,575,575,685,0,110,110
victim_present,1,17,cx,"0,4",module_0,module_1,585,685,795,100,210,110
victim_present,2,21,cx,"1,5",module_0,module_1,605,795,905,190,300,110
victim_present,3,23,cx,"1,5",module_0,module_1,615,905,1015,290,400,110
victim_present,4,35,cx,"2,6",module_0,module_2,675,1015,1125,340,450,110
victim_present,5,37,cx,"2,6",module_0,module_2,685,1125,1235,440,550,110
victim_present,6,38,cx,"4,6",module_1,module_2,690,1235,1345,545,655,110
victim_present,7,40,cx,"4,6",module_1,module_2,700,1345,1455,645,755,110
victim_present,8,54,cx,"2,7",module_0,module_2,770,1455,1565,685,795,110
victim_present,9,56,cx,"2,7",module_0,module_2,780,1565,1675,785,895,110
victim_present,10,61,cx,"2,6",module_0,module_2,805,1675,1785,870,980,110
victim_present,11,62,cx,"3,7",module_1,module_2,810,1785,1895,975,1085,110
victim_present,12,64,cx,"2,6",module_0,module_2,820,1895,2005,1075,1185,110
victim_present,13,66,cx,"3,7",module_1,module_2,830,2005,2115,1175,1285,110
victim_present,14,76,cx,"2,7",module_0,module_2,880,2115,2225,1235,1345,110
victim_present,15,78,cx,"2,7",module_0,module_2,890,2225,2335,1335,1445,110
victim_present,16,86,cx,"0,8",module_0,module_2,930,2335,2445,1405,1515,110
victim_present,17,88,cx,"0,8",module_0,module_2,940,2445,2555,1505,1615,110
victim_present,18,93,cx,"0,4",module_0,module_1,965,2555,2665,1590,1700,110
victim_present,19,94,cx,"1,8",module_0,module_2,970,2665,2775,1695,1805,110
victim_present,20,96,cx,"0,4",module_0,module_1,980,2775,2885,1795,1905,110
victim_present,21,97,cx,"4,6",module_1,module_2,985,2885,2995,1900,2010,110
victim_present,22,99,cx,"4,6",module_1,module_2,995,2995,3105,2000,2110,110
victim_present,23,111,cx,"1,8",module_0,module_2,1055,3215,3325,2160,2270,110
victim_present,24,116,cx,"1,5",module_0,module_1,1080,3325,3435,2245,2355,110
victim_present,25,118,cx,"1,5",module_0,module_1,1090,3435,3545,2345,2455,110
victim_present,26,122,cx,"3,7",module_1,module_2,1110,3545,3655,2435,2545,110
victim_present,27,129,cx,"3,7",module_1,module_2,1145,3655,3765,2510,2620,110
victim_present,28,144,cx,"0,8",module_0,module_2,1220,3765,3875,2545,2655,110
victim_present,29,146,cx,"0,8",module_0,module_2,1230,3875,3985,2645,2755,110
victim_present,30,151,cx,"1,8",module_0,module_2,1255,3985,4095,2730,2840,110
victim_present,31,153,cx,"1,8",module_0,module_2,1265,4095,4205,2830,2940,110
victim_present,32,163,barrier,"0,1,2,3,4,5,6,7,8",module_0,"module_1,module_2",1315,4205,4325,2890,3010,120
