qaoa_label,num_qubits,probe_000_excess_ns,probe_001_excess_ns,probe_002_excess_ns,probe_003_excess_ns,probe_004_excess_ns,probe_005_excess_ns,probe_006_excess_ns,probe_007_excess_ns,probe_008_excess_ns,probe_009_excess_ns,probe_010_excess_ns,probe_011_excess_ns,probe_012_excess_ns,probe_013_excess_ns,probe_014_excess_ns,probe_015_excess_ns,probe_016_excess_ns,probe_017_excess_ns,probe_018_excess_ns,probe_019_excess_ns,probe_020_excess_ns,probe_021_excess_ns,probe_022_excess_ns,probe_023_excess_ns,probe_024_excess_ns,probe_025_excess_ns,probe_026_excess_ns,probe_027_excess_ns,probe_028_excess_ns,probe_029_excess_ns,probe_030_excess_ns,probe_031_excess_ns,probe_032_excess_ns,probe_033_excess_ns,probe_034_excess_ns,probe_035_excess_ns,probe_036_excess_ns,probe_037_excess_ns,probe_038_excess_ns,probe_039_excess_ns,probe_040_excess_ns,probe_041_excess_ns,probe_042_excess_ns,probe_043_excess_ns,probe_044_excess_ns,probe_045_excess_ns,probe_046_excess_ns,probe_047_excess_ns
qaoa_n5,5,0.0,1450.0,1260.0,950.0,640.0,330.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaoa_n6,6,0.0,2000.0,2140.0,1830.0,1520.0,1210.0,900.0,590.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaoa_n7,7,0.0,1670.0,2140.0,1830.0,1520.0,1210.0,900.0,590.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaoa_n8,8,0.0,1450.0,2140.0,1830.0,1520.0,1210.0,900.0,590.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaoa_n9,9,0.0,1670.0,3020.0,2710.0,2400.0,2090.0,1780.0,1470.0,1160.0,850.0,540.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaoa_n10,10,0.0,1010.0,2460.0,2270.0,1960.0,1650.0,1340.0,1030.0,720.0,410.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaoa_n11,11,0.0,1230.0,2900.0,3150.0,2840.0,2530.0,2220.0,1910.0,1600.0,1290.0,980.0,670.0,360.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaoa_n12,12,0.0,570.0,1470.0,1830.0,1520.0,1210.0,900.0,590.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaoa_n13,13,0.0,1230.0,2020.0,3150.0,2840.0,2530.0,2220.0,1910.0,1600.0,1290.0,980.0,670.0,360.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaoa_n14,14,0.0,570.0,2020.0,3150.0,2840.0,2530.0,2220.0,1910.0,1600.0,1290.0,980.0,670.0,360.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
